Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CHX,2020-08-05,Y,10.35,10.58,10.98,10.14,6.08,10.36,0.09,16,12.15,9.49,17.39,9.86,-4.73
CHX,2020-10-28,Y,7.15,7.23,8.1,6.91,13.28,8.0,11.88,23,12.48,6.91,74.54,11.79,64.89
CHX,2021-04-28,Y,21.7,21.01,21.92,20.54,-5.34,21.33,-1.7,23,27.1,20.54,24.88,25.28,16.49
CHX,2021-07-28,Y,22.46,22.69,24.22,22.49,7.83,23.74,5.69,23,24.23,20.58,-8.37,21.44,-4.54
CHX,2021-10-27,Y,24.4,26.15,26.27,24.88,7.66,26.06,6.8,23,28.08,21.02,15.08,21.83,-10.53
CHX,2022-02-09,Y,24.46,23.84,24.87,22.23,-9.11,22.72,-7.11,9,24.87,19.88,-18.72,20.79,-15.0
CHX,2022-04-26,Y,21.09,21.64,22.46,20.92,6.49,21.29,0.94,24,23.64,19.53,12.09,21.46,1.75
CHX,2022-07-26,Y,20.36,20.43,20.72,19.63,-3.58,20.18,-0.88,24,22.57,19.09,10.85,22.2,9.03
CHX,2022-10-25,Y,24.67,27.0,29.34,26.89,18.92,29.15,18.15,24,33.13,26.89,34.29,31.41,27.32
CHX,2023-02-01,Y,32.5,29.88,30.33,27.6,-15.07,29.11,-10.43,16,32.58,27.6,-15.07,31.09,-4.33
