Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CIB,2013-08-05,Y,59.04,57.23,58.28,57.23,-3.06,57.76,-2.16,11,60.11,57.12,-3.25,57.73,-2.21
CIB,2013-11-01,Y,56.15,56.07,56.1,54.11,-3.63,54.71,-2.56,14,56.1,51.41,-8.44,53.28,-5.11
CIB,2014-05-06,Y,56.95,57.03,57.18,56.68,-0.47,56.85,-0.17,10,57.8,54.35,-4.56,54.8,-3.77
CIB,2014-08-05,Y,63.29,63.02,63.24,62.48,-1.27,62.67,-0.97,10,66.09,62.28,4.42,65.0,2.7
CIB,2014-11-10,Y,56.83,56.91,57.02,55.86,-1.7,56.75,-0.14,12,57.58,55.09,-3.06,55.78,-1.84
CIB,2015-02-17,Y,44.08,44.1,44.9,43.73,1.86,43.99,-0.2,3,44.9,42.95,-2.56,43.17,-2.06
CIB,2015-05-28,Y,40.89,40.9,41.15,40.67,0.63,40.72,-0.39,22,44.18,39.01,8.04,43.51,6.4
CIB,2015-08-13,Y,36.27,36.54,36.95,34.43,-5.07,35.64,-1.73,8,36.95,30.96,-14.64,31.0,-14.52
CIB,2015-11-12,Y,32.33,31.9,31.9,30.44,-5.84,30.83,-4.63,8,31.9,29.5,-8.75,30.53,-5.56
CIB,2016-03-09,Y,33.36,33.54,33.95,31.72,-4.91,33.02,-1.01,9,34.56,31.35,-6.02,33.78,1.25
CIB,2016-05-23,Y,35.56,35.9,35.92,34.85,-1.99,34.9,-1.85,25,35.92,31.77,-10.65,34.11,-4.07
CIB,2016-08-18,Y,37.83,37.4,39.04,37.4,3.19,38.94,2.93,1,39.04,37.4,3.19,38.94,2.93
CIB,2016-11-21,Y,33.69,33.79,33.79,32.86,-2.46,32.96,-2.16,25,37.57,32.02,11.51,36.97,9.73
CIB,2017-05-23,Y,44.28,44.24,44.9,44.06,1.4,44.33,0.11,24,45.97,43.38,3.81,45.83,3.5
CIB,2017-08-17,Y,43.01,43.03,44.27,42.97,2.92,44.05,2.41,1,44.27,42.97,2.92,44.05,2.41
CIB,2019-08-05,Y,46.39,47.98,49.47,47.98,6.63,48.65,4.87,11,52.09,47.98,12.28,50.78,9.46
CIB,2020-02-20,Y,54.4,48.14,52.82,47.87,-12.0,50.21,-7.7,1,52.82,47.87,-12.0,50.21,-7.7
CIB,2020-08-05,Y,26.39,25.68,26.68,25.55,-3.18,26.24,-0.56,16,27.57,24.9,-5.64,26.59,0.75
CIB,2020-11-12,Y,28.84,29.27,29.69,28.98,2.94,29.22,1.31,8,31.14,28.98,7.97,30.18,4.64
CIB,2021-02-24,Y,35.88,35.72,35.72,33.3,-7.19,33.41,-6.88,23,35.72,32.83,-8.5,33.47,-6.71
CIB,2021-05-04,Y,28.72,30.28,30.41,28.71,5.88,29.15,1.49,17,32.17,28.71,12.01,29.48,2.64
CIB,2021-08-11,Y,28.98,30.99,31.93,30.14,10.17,30.4,4.89,9,32.98,30.14,13.8,32.61,12.52
CIB,2021-11-02,Y,35.61,35.65,35.91,35.2,-1.15,35.68,0.19,17,36.03,30.72,-13.73,30.73,-13.7
CIB,2022-02-22,Y,34.18,35.72,36.35,35.2,6.34,35.25,3.13,24,39.07,34.1,14.3,38.44,12.46
CIB,2022-05-11,Y,36.88,37.0,37.03,36.36,-1.4,36.77,-0.29,9,38.8,34.46,-6.56,36.9,0.05
CIB,2022-08-09,Y,30.67,31.23,32.16,31.07,4.85,31.71,3.39,10,33.23,30.85,8.34,30.93,0.84
