Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CIEN,2002-02-21,N,60.9,56.56,58.17,52.5,-13.79,53.2,-12.64,22,76.65,49.91,25.86,62.65,2.87
CIEN,2002-05-23,N,45.08,42.42,43.54,41.3,-8.38,42.56,-5.59,29,43.75,26.46,-41.3,27.65,-38.66
CIEN,2002-08-22,N,31.43,28.56,32.13,28.14,-10.46,28.84,-8.24,29,34.29,23.1,-26.5,24.43,-22.27
CIEN,2002-12-12,N,36.26,42.84,43.96,41.16,21.23,43.4,19.69,8,43.96,36.26,21.23,37.31,2.89
CIEN,2003-02-20,N,40.53,39.97,40.74,38.07,-6.06,38.64,-4.66,1,40.74,37.52,-7.42,37.86,-6.56
CIEN,2003-05-22,N,35.27,34.93,37.65,33.67,6.74,37.59,6.57,29,42.85,33.59,21.49,36.61,3.79
CIEN,2003-08-21,N,41.93,39.61,41.86,40.25,-4.0,40.81,-2.67,29,52.15,38.5,24.37,49.35,17.69
CIEN,2003-12-11,N,46.14,42.35,46.41,42.98,-6.84,44.38,-3.81,8,46.41,39.4,-14.6,42.7,-7.45
CIEN,2004-02-19,N,44.94,43.61,45.29,43.68,-2.8,44.17,-1.71,1,45.29,42.77,-4.82,43.26,-3.73
CIEN,2004-05-20,N,25.69,25.06,27.23,25.97,5.99,27.16,5.72,1,27.23,23.09,-10.12,23.59,-8.17
CIEN,2004-08-19,N,13.58,13.3,14.14,13.16,4.12,13.79,1.54,1,14.98,13.16,10.3,14.49,6.7
CIEN,2004-12-09,N,16.38,18.69,20.93,18.62,27.77,20.16,23.07,8,21.35,18.62,30.34,19.46,18.8
CIEN,2005-02-23,N,19.25,19.53,19.88,16.8,-12.72,16.8,-12.72,23,19.88,12.39,-35.63,12.95,-32.72
CIEN,2005-06-02,N,17.14,18.09,18.55,16.45,8.16,16.87,-1.63,15,18.55,15.4,-10.2,16.8,-2.04
CIEN,2005-09-01,N,15.75,16.23,16.38,14.63,-7.11,15.05,-4.44,15,16.38,14.63,-7.11,15.19,-3.55
CIEN,2005-12-08,N,21.42,22.4,22.61,21.14,5.55,21.28,-0.65,8,22.61,19.32,-9.8,20.58,-3.92
CIEN,2006-03-02,Y,32.47,32.4,34.51,30.94,6.25,31.85,-1.93,15,38.29,30.24,17.88,35.77,10.12
CIEN,2006-06-01,Y,31.43,32.83,33.32,32.13,6.01,32.54,3.56,15,33.32,26.46,-15.81,28.84,-8.24
CIEN,2006-08-31,N,30.17,29.47,29.75,27.02,-10.44,27.65,-8.35,15,30.87,25.69,-14.84,30.1,-0.23
CIEN,2006-12-14,N,24.96,27.23,28.15,26.63,12.78,27.83,11.49,1,29.73,26.63,19.11,28.81,15.42
CIEN,2007-03-01,N,31.47,28.16,29.3,27.69,-12.01,28.28,-10.13,15,29.3,24.75,-21.35,25.06,-20.36
CIEN,2007-05-31,N,29.28,32.33,34.47,32.33,17.72,34.32,17.21,15,35.54,32.33,21.37,34.36,17.34
CIEN,2007-08-30,N,38.42,36.54,37.5,35.79,-6.84,37.2,-3.17,22,39.2,35.79,-6.84,37.78,-1.66
CIEN,2007-12-13,N,42.12,40.36,40.44,36.33,-13.74,37.04,-12.06,8,40.44,33.46,-20.56,34.59,-17.87
CIEN,2008-03-07,N,24.94,26.91,29.04,25.99,16.43,27.8,11.46,14,30.32,25.83,21.57,30.08,20.6
CIEN,2008-06-05,N,30.46,29.26,29.5,27.68,-9.12,28.07,-7.84,15,29.5,25.21,-17.23,25.62,-15.88
CIEN,2008-09-04,N,17.43,14.13,14.16,13.0,-25.41,13.09,-24.89,15,14.16,9.52,-45.38,11.28,-35.28
CIEN,2008-12-11,N,7.56,6.65,6.73,6.01,-20.5,6.05,-19.97,8,7.0,5.75,-23.94,6.71,-11.24
CIEN,2009-03-05,N,5.34,5.55,6.24,5.45,16.85,5.93,11.04,15,7.49,5.45,40.26,6.75,26.4
CIEN,2009-06-04,N,11.02,10.45,11.88,10.45,7.8,11.63,5.53,15,11.95,9.66,-12.34,10.61,-3.72
CIEN,2009-09-03,N,12.27,12.69,13.47,12.57,9.77,13.0,5.94,15,16.63,12.57,35.53,16.03,30.64
CIEN,2009-12-10,N,13.23,12.71,12.9,11.65,-11.94,11.72,-11.41,8,12.9,10.53,-20.4,11.05,-16.47
CIEN,2010-03-04,N,14.55,13.54,14.03,13.04,-10.37,13.97,-3.98,15,16.29,13.04,11.95,14.93,2.61
CIEN,2010-06-09,N,13.84,15.01,15.2,13.95,9.82,13.95,0.79,9,15.2,13.64,9.82,14.57,5.27
CIEN,2010-09-08,N,13.43,13.34,14.34,13.34,6.77,14.12,5.13,9,15.3,13.34,13.92,15.14,12.73
