Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CIG,2013-08-14,N,6.32,6.35,6.37,6.11,-3.32,6.16,-2.53,2,6.37,5.76,-8.86,5.81,-8.06
CIG,2013-11-15,N,6.44,6.5,6.68,6.45,3.72,6.61,2.63,0,6.68,6.45,3.72,6.61,2.63
CIG,2014-03-24,N,5.96,6.03,6.08,5.89,2.01,6.03,1.17,29,7.38,5.89,23.82,7.24,21.47
CIG,2014-05-19,N,7.29,7.28,7.32,7.18,-1.5,7.31,0.27,36,8.4,6.88,15.22,8.22,12.75
CIG,2014-08-13,N,8.59,8.64,8.66,8.28,-3.6,8.3,-3.37,4,8.66,8.28,-3.6,8.63,0.46
CIG,2014-11-13,Y,5.07,4.91,5.06,4.81,-5.12,4.82,-4.93,9,5.38,4.8,6.11,5.36,5.71
CIG,2015-03-26,Y,4.03,4.01,4.05,3.9,-3.22,3.97,-1.48,22,4.86,3.9,20.59,4.78,18.61
CIG,2015-05-13,Y,5.05,5.09,5.23,5.07,3.56,5.23,3.56,2,5.34,5.07,5.74,5.28,4.55
CIG,2015-08-14,Y,2.6,2.62,2.69,2.61,3.46,2.65,1.92,7,2.74,2.48,5.38,2.48,-4.61
CIG,2015-11-13,Y,1.91,1.92,1.94,1.89,1.57,1.94,1.57,7,2.06,1.86,7.85,2.04,6.8
CIG,2016-03-29,Y,2.31,2.33,2.41,2.3,4.32,2.31,0.0,17,2.42,1.74,-24.67,2.21,-4.32
CIG,2016-05-13,Y,1.73,1.74,1.78,1.68,2.89,1.71,-1.15,7,1.78,1.42,-17.91,1.52,-12.13
CIG,2016-08-12,Y,2.98,2.92,3.05,2.9,-2.68,3.04,2.01,7,3.06,2.75,-7.71,2.89,-3.02
CIG,2016-11-11,Y,2.36,2.36,2.45,2.29,3.81,2.36,0.0,7,2.53,2.27,7.2,2.33,-1.27
CIG,2017-03-28,Y,3.24,3.16,3.3,3.13,-3.39,3.27,0.92,24,3.3,2.8,-13.58,2.93,-9.56
CIG,2017-05-12,Y,2.87,2.83,2.87,2.8,-2.43,2.82,-1.74,7,2.88,2.09,-27.17,2.23,-22.29
CIG,2017-08-11,Y,2.52,2.53,2.59,2.51,2.77,2.55,1.19,7,2.61,2.47,3.57,2.54,0.79
CIG,2017-11-14,Y,1.98,1.95,2.01,1.95,1.51,1.98,0.0,3,2.06,1.95,4.04,2.06,4.04
CIG,2018-03-29,Y,2.58,2.58,2.6,2.45,-5.03,2.49,-3.48,22,2.6,2.28,-11.62,2.45,-5.03
CIG,2018-08-13,Y,1.96,1.99,2.03,1.96,3.57,2.0,2.04,4,2.11,1.94,7.65,2.03,3.57
CIG,2018-11-14,Y,2.96,2.99,3.04,2.95,2.7,3.0,1.35,2,3.13,2.95,5.74,3.08,4.05
CIG,2019-04-01,Y,3.56,3.59,3.62,3.48,-2.24,3.49,-1.96,17,3.85,3.45,8.14,3.56,0.0
CIG,2019-05-15,Y,3.24,3.19,3.27,3.12,-3.7,3.14,-3.08,2,3.27,3.01,-7.09,3.06,-5.55
CIG,2019-08-14,Y,3.54,3.58,3.58,3.42,-3.38,3.51,-0.84,2,3.67,3.42,3.67,3.58,1.12
CIG,2020-03-19,Y,1.83,1.93,1.94,1.68,-8.19,1.72,-6.01,1,1.94,1.68,-8.19,1.72,-6.01
CIG,2020-05-14,Y,1.48,1.5,1.5,1.41,-4.72,1.45,-2.02,1,1.5,1.41,-4.72,1.45,-2.02
CIG,2020-08-14,Y,1.97,1.95,1.95,1.86,-5.58,1.88,-4.56,7,1.98,1.83,-7.1,1.96,-0.5
CIG,2020-11-13,Y,2.14,2.2,2.23,2.16,4.2,2.22,3.73,7,2.34,2.16,9.34,2.22,3.73
CIG,2021-05-14,Y,2.25,2.3,2.34,2.26,3.99,2.3,2.22,7,2.47,2.26,9.77,2.41,7.11
CIG,2021-08-13,Y,2.15,2.16,2.16,2.09,-2.79,2.11,-1.86,7,2.29,2.09,6.51,2.27,5.58
CIG,2021-11-11,Y,2.54,2.5,2.53,2.46,-3.14,2.5,-1.57,8,2.58,2.35,-7.48,2.4,-5.51
CIG,2022-03-29,Y,3.16,3.14,3.21,3.11,1.58,3.11,-1.58,16,3.35,3.11,6.01,3.33,5.37
CIG,2022-05-13,Y,2.65,2.67,2.74,2.65,3.39,2.72,2.64,7,2.93,2.23,-15.84,2.36,-10.94
CIG,2022-08-12,Y,2.48,2.44,2.48,2.41,-2.82,2.47,-0.4,7,2.6,2.41,4.83,2.51,1.2
CIG,2022-11-11,Y,2.01,2.01,2.05,1.98,1.99,2.0,-0.49,7,2.05,1.82,-9.45,1.92,-4.47
CIG,2023-03-24,Y,1.98,2.01,2.06,2.01,4.04,2.05,3.53,28,2.5,2.01,26.26,2.39,20.7
