Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CLFD,2002-02-06,Y,2.93,3.0,3.0,2.94,2.38,3.0,2.38,9,3.3,2.8,12.62,2.8,-4.43
CLFD,2002-06-14,Y,2.0,2.2,2.39,1.92,19.5,2.39,19.5,7,2.39,1.9,19.5,1.95,-2.5
CLFD,2002-08-01,Y,2.25,2.25,2.27,2.25,0.88,2.25,0.44,15,2.35,1.75,-22.22,2.02,-9.77
CLFD,2002-10-29,Y,1.5,1.4,1.63,1.4,8.66,1.55,3.33,17,2.04,1.31,36.0,1.67,11.33
CLFD,2003-02-14,Y,1.36,1.45,1.47,1.35,8.08,1.47,8.08,7,1.55,1.3,13.97,1.37,0.73
CLFD,2003-06-02,Y,2.2,2.81,2.9,2.52,31.81,2.7,22.72,18,2.9,2.0,31.81,2.02,-7.72
CLFD,2003-08-13,Y,2.99,3.01,3.01,3.0,0.66,3.01,0.66,2,3.02,3.0,1.0,3.0,0.33
CLFD,2003-11-05,Y,2.69,2.67,2.76,2.54,-5.57,2.61,-2.97,16,2.85,2.37,-11.89,2.65,-1.48
CLFD,2004-06-29,Y,2.22,2.22,2.35,2.15,5.85,2.31,4.05,17,2.35,1.71,-22.97,1.71,-22.97
CLFD,2004-08-12,Y,1.52,1.8,1.8,1.46,18.42,1.46,-3.94,8,1.8,1.43,18.42,1.61,5.92
CLFD,2004-11-05,Y,1.51,1.44,1.6,1.44,5.96,1.52,0.66,14,2.24,1.44,48.34,2.2,45.69
CLFD,2005-02-10,Y,1.8,1.78,2.0,1.78,11.11,1.79,-0.55,8,2.0,1.7,11.11,1.74,-3.33
CLFD,2005-06-28,Y,1.31,1.36,1.39,1.36,6.1,1.39,6.1,17,1.5,1.12,14.5,1.3,-0.76
CLFD,2005-08-12,Y,1.3,1.48,1.54,1.47,18.46,1.48,13.84,7,1.54,1.25,18.46,1.41,8.46
CLFD,2005-11-14,Y,1.15,1.14,1.2,1.13,3.44,1.2,3.44,4,1.25,1.13,7.75,1.22,5.17
CLFD,2006-02-14,Y,1.44,1.35,1.44,1.35,-6.24,1.41,-2.08,3,1.49,1.34,-6.94,1.37,-4.86
CLFD,2006-06-28,Y,1.26,1.3,1.3,1.26,3.17,1.26,,23,2.25,1.2,78.57,1.21,-3.96
CLFD,2006-08-10,Y,1.22,1.22,1.43,1.22,17.21,1.37,12.29,8,1.69,1.22,38.52,1.28,4.91
CLFD,2006-11-09,Y,1.56,1.46,1.55,1.4,-10.25,1.45,-7.05,8,1.56,1.3,-16.66,1.5,-3.84
CLFD,2007-02-13,Y,1.38,1.42,1.43,1.35,3.62,1.4,1.44,3,1.43,1.35,3.62,1.42,2.89
CLFD,2007-12-17,Y,1.07,1.01,1.13,1.0,6.54,1.05,-1.86,4,1.13,0.98,-8.41,1.04,-2.8
CLFD,2008-05-12,Y,1.85,1.61,1.8,1.61,-12.97,1.61,-12.97,4,1.93,1.55,-16.21,1.87,1.08
CLFD,2008-08-11,Y,1.21,1.15,1.24,1.05,-13.22,1.09,-9.91,4,1.24,1.03,-14.87,1.19,-1.65
CLFD,2008-12-15,Y,0.86,0.95,1.14,0.95,33.72,1.15,34.88,4,1.35,0.95,56.97,1.14,33.72
CLFD,2009-02-09,Y,1.23,1.22,1.23,1.14,-6.5,1.23,,11,1.23,1.01,-17.88,1.15,-5.69
