Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CMBM,2019-08-08,Y,9.3,9.2,9.27,8.3,-10.75,8.88,-4.51,8,9.55,8.1,-12.9,8.98,-3.44
CMBM,2020-02-11,N,7.15,6.97,7.0,5.81,-18.74,6.65,-6.99,11,7.0,5.81,-18.74,6.52,-8.81
CMBM,2020-05-13,N,5.13,5.16,5.97,4.5,16.37,4.52,-11.89,3,5.97,3.57,-30.4,4.11,-19.88
CMBM,2020-08-11,Y,11.97,13.1,13.25,12.01,10.69,12.84,7.26,10,15.97,12.01,33.41,14.45,20.71
CMBM,2020-11-05,Y,22.78,22.78,26.3,22.63,15.45,25.32,11.15,15,27.61,20.56,21.2,22.36,-1.84
CMBM,2021-02-18,Y,40.95,43.05,47.0,41.82,14.77,43.04,5.1,1,47.0,41.82,14.77,43.04,5.1
CMBM,2021-05-06,Y,56.39,57.41,61.41,55.9,8.9,58.61,3.93,15,61.41,44.22,-21.58,53.16,-5.72
CMBM,2021-08-09,Y,42.75,41.41,43.33,38.25,-10.52,42.98,0.53,11,43.33,34.5,-19.29,35.41,-17.16
CMBM,2021-11-04,Y,30.61,29.55,31.65,28.05,-8.36,29.47,-3.72,15,31.73,27.46,-10.29,27.61,-9.8
CMBM,2022-02-17,Y,24.17,26.25,29.1,24.25,20.39,28.0,15.84,1,29.1,24.25,20.39,28.0,15.84
CMBM,2022-05-05,Y,16.15,15.32,15.42,13.57,-15.97,13.62,-15.66,15,15.42,12.4,-23.21,13.1,-18.88
CMBM,2022-08-04,Y,19.28,19.0,20.5,18.25,6.32,19.08,-1.03,15,20.88,18.25,8.29,20.5,6.32
CMBM,2023-02-16,Y,21.47,21.88,22.58,18.61,-13.32,22.4,4.33,1,22.58,18.61,-13.32,22.4,4.33
