Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CMTL,2002-03-13,N,5.22,5.13,5.38,5.13,3.06,5.29,1.34,2,5.74,5.13,9.96,5.38,3.06
CMTL,2002-06-12,N,4.16,3.95,4.04,3.56,-14.42,3.96,-4.8,9,4.04,3.52,-15.38,3.54,-14.9
CMTL,2002-10-16,N,3.11,2.89,3.11,2.89,-7.07,2.98,-4.18,2,3.17,2.89,-7.07,3.16,1.6
CMTL,2002-12-10,N,4.51,4.49,4.49,4.4,-2.65,4.4,-2.65,10,4.8,4.05,-10.39,4.63,2.65
CMTL,2003-03-12,N,5.11,5.14,5.22,5.12,2.15,5.22,2.15,9,5.61,5.12,9.78,5.47,7.04
CMTL,2003-06-05,N,10.31,10.5,10.64,9.08,-11.93,9.77,-5.23,15,13.96,9.08,35.4,12.48,21.04
CMTL,2003-12-08,Y,18.11,20.1,21.25,19.87,17.33,20.25,11.81,11,22.0,18.77,21.47,19.73,8.94
CMTL,2004-03-10,N,18.76,19.39,19.47,17.19,-8.36,17.22,-8.2,9,19.47,15.41,-17.85,15.51,-17.32
CMTL,2004-06-08,N,13.22,13.7,15.21,13.55,15.05,14.9,12.7,10,15.92,13.55,20.42,14.9,12.7
CMTL,2004-09-22,N,14.64,16.67,16.8,15.4,14.75,16.11,10.04,23,19.71,15.4,34.63,18.19,24.24
CMTL,2004-12-07,N,21.47,22.8,23.55,22.23,9.68,22.87,6.52,10,25.0,21.6,16.44,24.53,14.25
CMTL,2005-03-09,N,24.25,25.91,28.57,25.49,17.81,28.11,15.91,9,32.53,25.49,34.14,29.91,23.34
CMTL,2005-06-08,N,35.79,39.57,39.7,36.38,10.92,37.67,5.25,9,39.7,36.0,10.92,37.24,4.05
CMTL,2005-09-22,N,37.28,40.24,41.15,38.6,10.38,40.65,9.03,29,43.36,37.11,16.3,41.04,10.08
CMTL,2005-12-06,N,41.5,43.0,43.5,33.82,-18.5,34.72,-16.33,10,43.5,29.42,-29.1,29.9,-27.95
CMTL,2006-03-08,Y,32.36,30.54,32.85,30.26,-6.51,30.87,-4.63,9,32.85,28.76,-11.15,30.17,-6.79
CMTL,2006-06-07,Y,31.08,31.88,33.79,31.32,8.71,32.88,5.79,9,33.79,29.2,8.71,29.99,-3.5
CMTL,2006-09-20,Y,34.02,33.69,34.65,31.4,-7.7,31.59,-7.14,30,36.67,31.35,-7.84,36.36,6.9
CMTL,2006-12-04,Y,35.26,38.0,39.79,37.15,12.84,38.06,7.94,11,39.86,37.15,13.04,38.96,10.49
CMTL,2007-03-08,Y,35.38,37.29,37.75,35.09,6.69,35.89,1.44,8,37.75,35.09,6.69,36.9,4.32
CMTL,2007-06-06,Y,44.93,42.09,42.63,39.74,-11.55,40.72,-9.34,9,44.08,39.74,-11.55,42.9,-4.51
CMTL,2007-09-19,Y,50.15,50.64,53.44,50.2,6.56,51.4,2.49,2,53.44,50.2,6.56,52.77,5.22
CMTL,2007-12-05,Y,51.65,49.05,50.75,47.27,-8.48,50.02,-3.15,16,55.15,47.27,-8.48,53.84,4.24
