Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CNXC,2015-10-26,Y,12.46,12.4,13.42,12.32,7.7,12.96,4.01,25,13.71,11.6,10.03,11.74,-5.77
CNXC,2016-01-28,Y,7.25,7.18,7.94,7.18,9.51,7.9,8.96,22,8.06,5.98,-17.51,6.15,-15.17
CNXC,2016-04-25,Y,9.17,9.01,9.34,8.48,-7.52,9.32,1.63,25,10.29,7.61,-17.01,7.69,-16.13
CNXC,2016-07-25,Y,10.98,11.4,13.6,11.4,23.86,13.53,23.22,25,14.65,11.4,33.42,12.69,15.57
CNXC,2016-10-31,Y,18.0,18.1,19.0,16.7,-7.22,17.5,-2.77,18,22.3,16.7,23.88,19.45,8.05
CNXC,2017-01-30,Y,19.55,18.5,19.3,18.5,-5.37,18.95,-3.06,18,19.3,16.0,-18.15,17.14,-12.27
CNXC,2017-05-01,Y,16.85,17.0,17.55,16.25,4.15,17.3,2.67,18,17.55,15.08,-10.5,16.0,-5.04
CNXC,2017-07-31,Y,16.64,16.55,16.88,16.5,1.38,16.64,,18,16.88,15.25,-8.4,15.3,-8.1
CNXC,2017-10-30,Y,15.0,14.95,14.98,14.7,-2.0,14.7,-2.0,18,15.14,12.56,-16.26,13.6,-9.33
CNXC,2018-01-29,Y,16.1,16.2,16.2,15.75,-2.17,15.95,-0.93,18,16.2,14.1,-12.42,14.75,-8.38
CNXC,2021-01-11,Y,111.8,111.59,119.17,111.55,6.59,118.5,5.99,4,123.3,111.55,10.28,120.23,7.54
CNXC,2021-03-24,Y,128.65,129.0,141.4,125.6,9.91,139.85,8.7,23,157.25,125.6,22.23,154.54,20.12
CNXC,2021-06-23,Y,156.87,152.87,155.0,141.38,-9.87,152.0,-3.1,23,166.65,141.38,-9.87,159.11,1.42
CNXC,2021-09-27,Y,167.39,172.0,175.94,169.14,5.1,172.96,3.32,18,185.74,169.14,10.96,182.4,8.96
CNXC,2022-01-18,Y,164.4,167.48,172.9,165.49,5.17,169.12,2.87,3,175.84,164.83,6.95,169.84,3.3
CNXC,2022-03-29,Y,196.75,191.28,192.31,171.7,-12.73,174.18,-11.47,16,192.31,149.5,-24.01,152.49,-22.49
CNXC,2022-06-27,Y,147.6,144.99,148.54,139.55,-5.45,139.58,-5.43,18,148.54,121.6,-17.61,125.29,-15.11
CNXC,2023-03-29,Y,121.77,116.0,125.8,110.85,-8.96,120.0,-1.45,23,125.8,105.25,-13.56,105.45,-13.4
