Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
COMM,2014-02-20,Y,18.97,23.5,24.38,21.82,28.51,21.92,15.55,1,24.38,21.82,28.51,21.92,15.55
COMM,2014-04-30,N,25.34,25.67,26.84,24.81,5.91,26.68,5.28,16,27.96,24.1,10.33,24.41,-3.67
COMM,2014-07-31,N,24.07,24.56,25.8,24.38,7.18,24.64,2.36,15,25.8,23.99,7.18,24.97,3.73
COMM,2014-10-31,N,23.25,21.6,22.66,20.76,-10.7,21.54,-7.35,22,22.79,20.21,-13.07,22.05,-5.16
COMM,2015-02-20,N,30.24,30.64,31.95,29.76,5.65,31.1,2.84,0,31.95,29.76,5.65,31.1,2.84
COMM,2015-04-30,N,27.77,29.8,29.93,29.3,7.77,29.51,6.26,15,30.98,28.29,11.55,30.95,11.45
COMM,2015-07-28,N,29.9,29.07,31.87,29.07,6.58,31.14,4.14,24,31.95,29.07,6.85,29.31,-1.97
COMM,2015-11-09,N,32.31,30.4,30.65,26.56,-17.79,28.49,-11.82,11,30.65,25.99,-19.56,28.3,-12.41
COMM,2016-02-19,N,22.53,24.68,24.89,23.46,10.47,24.05,6.74,0,24.89,23.46,10.47,24.05,6.74
COMM,2016-04-28,N,26.73,30.0,31.7,29.74,18.59,30.54,14.25,22,31.7,28.6,18.59,29.88,11.78
COMM,2016-07-28,N,31.82,30.5,31.63,28.84,-9.36,29.98,-5.78,22,31.63,28.28,-11.12,28.58,-10.18
COMM,2016-11-03,N,30.26,31.25,32.75,31.25,8.22,31.91,5.45,15,35.92,31.25,18.7,35.45,17.15
COMM,2017-02-23,N,40.31,39.0,39.54,37.27,-7.54,37.72,-6.42,22,40.15,37.14,-7.86,39.64,-1.66
COMM,2017-05-04,N,41.16,35.04,35.69,33.35,-18.97,35.11,-14.69,16,37.74,33.35,-18.97,37.0,-10.1
COMM,2017-08-03,N,37.16,31.9,33.77,31.03,-16.49,33.54,-9.74,16,34.11,31.03,-16.49,33.0,-11.19
COMM,2017-11-01,N,32.14,33.25,35.36,33.25,10.01,34.22,6.5,17,35.36,33.05,10.01,33.92,5.53
COMM,2018-02-15,N,38.88,37.38,39.28,37.1,-4.57,39.26,0.97,2,39.64,37.1,-4.57,39.02,0.36
COMM,2018-05-01,N,38.22,30.96,31.2,26.29,-31.21,27.59,-27.81,18,31.2,26.29,-31.21,29.76,-22.13
COMM,2018-07-31,N,30.64,31.04,32.38,30.41,5.67,32.11,4.79,18,32.48,30.15,6.0,30.88,0.78
COMM,2018-11-08,N,24.49,20.35,21.06,18.52,-24.37,19.56,-20.13,9,21.06,18.11,-26.05,18.46,-24.62
COMM,2019-02-21,N,23.45,24.03,24.03,22.54,-3.88,23.6,0.63,23,24.29,21.56,-8.05,21.8,-7.03
COMM,2019-05-09,N,23.06,19.68,20.58,18.66,-19.08,18.86,-18.21,9,20.58,17.82,-22.72,18.8,-18.47
COMM,2019-08-08,N,12.9,12.8,13.89,12.63,7.67,12.95,0.38,9,13.89,10.12,-21.55,10.83,-16.04
COMM,2020-02-20,N,14.49,12.74,13.34,12.19,-15.87,12.59,-13.11,2,13.34,12.06,-16.77,12.62,-12.9
COMM,2020-05-07,N,10.2,11.0,11.62,10.76,13.92,11.02,8.03,9,11.62,8.53,-16.37,8.78,-13.92
COMM,2020-08-06,N,9.48,10.99,11.5,10.41,21.3,11.07,16.77,16,11.5,10.19,21.3,10.37,9.38
COMM,2020-11-05,N,9.67,9.9,10.31,9.56,6.61,10.03,3.72,16,11.34,9.56,17.26,10.89,12.61
COMM,2021-02-17,N,15.83,15.5,15.61,13.71,-13.39,13.83,-12.63,3,15.61,13.46,-14.97,13.68,-13.58
COMM,2021-05-06,N,16.67,17.38,17.82,16.83,6.89,17.21,3.23,16,19.23,16.83,15.35,18.63,11.75
COMM,2021-08-05,N,20.69,18.14,19.16,15.94,-22.95,16.41,-20.68,16,19.16,14.41,-30.35,15.07,-27.16
COMM,2021-11-04,N,11.55,10.61,10.69,9.36,-18.96,9.71,-15.93,16,10.69,9.25,-19.91,9.68,-16.19
COMM,2022-02-17,N,9.46,9.84,10.07,9.31,6.44,9.82,3.8,2,10.62,9.31,12.26,10.35,9.4
COMM,2022-05-05,N,6.54,7.37,8.19,7.05,25.22,7.31,11.77,16,8.19,6.32,25.22,6.78,3.66
COMM,2022-08-04,N,9.68,9.8,9.99,9.38,3.2,9.83,1.54,16,11.05,9.14,14.15,10.74,10.95
COMM,2022-11-03,N,12.87,12.17,12.27,9.2,-28.51,9.53,-25.95,16,12.27,8.57,-33.41,9.12,-29.13
COMM,2023-02-23,N,7.36,7.69,8.7,7.61,18.2,8.58,16.57,23,8.7,5.91,-19.7,6.04,-17.93
