Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
COP,2002-01-24,N,29.42,29.16,29.72,29.08,-1.15,29.6,0.61,22,29.75,28.36,-3.6,29.08,-1.15
COP,2002-04-25,N,30.04,30.0,30.5,29.82,1.53,30.34,0.99,22,30.67,29.65,2.09,30.24,0.66
COP,2002-07-23,Y,22.87,22.92,24.02,22.38,5.02,23.89,4.45,24,26.48,22.38,15.78,25.92,13.33
COP,2002-10-24,N,23.98,24.3,24.32,23.48,-2.08,23.6,-1.58,22,25.0,22.96,4.25,24.38,1.66
COP,2003-01-29,N,22.96,23.15,24.04,22.85,4.7,24.0,4.52,23,25.22,22.85,9.84,24.97,8.75
COP,2003-04-30,N,25.02,26.1,25.26,24.96,0.95,25.15,0.51,16,26.17,24.94,4.59,26.04,4.07
COP,2003-07-30,N,25.98,26.85,26.42,26.0,1.69,26.0,0.07,16,27.46,25.64,5.69,27.33,5.19
COP,2003-10-29,N,28.7,28.78,28.88,27.54,-4.04,28.48,-0.76,23,29.1,27.54,-4.04,28.22,-1.67
COP,2004-01-28,N,33.86,33.72,33.74,33.04,-2.42,33.15,-2.06,23,34.75,32.52,-3.95,34.06,0.59
COP,2004-04-28,N,36.93,37.0,37.18,36.08,-2.3,36.88,-0.13,23,37.78,34.86,-5.6,35.24,-4.57
COP,2004-07-28,N,38.45,38.36,38.5,38.03,-1.09,38.33,-0.31,23,39.96,36.11,-6.08,37.08,-3.56
COP,2004-10-27,N,43.22,43.6,43.38,42.1,-2.59,42.46,-1.75,23,44.36,41.08,-4.95,43.72,1.15
COP,2005-01-26,N,44.45,45.0,45.47,44.67,2.29,45.24,1.77,23,53.42,44.67,20.17,53.12,19.5
COP,2005-04-27,N,53.38,54.02,54.02,51.81,-2.94,51.85,-2.86,23,54.02,47.55,-10.92,50.56,-5.28
COP,2005-07-27,N,61.73,62.24,62.39,61.6,1.06,62.26,0.85,23,67.23,60.24,8.9,63.07,2.17
COP,2005-10-26,N,62.44,62.98,65.22,61.78,4.45,62.8,0.57,23,68.8,60.0,10.18,62.23,-0.33
COP,2006-01-25,N,64.48,65.55,65.87,62.5,-3.07,63.54,-1.45,23,65.95,58.01,-10.03,61.09,-5.25
COP,2006-04-26,N,68.25,67.5,69.08,67.01,-1.81,67.15,-1.61,23,69.4,61.15,-10.4,62.72,-8.1
COP,2006-07-26,N,67.45,67.7,69.93,67.09,3.67,68.59,1.7,23,70.75,65.64,4.89,66.4,-1.55
COP,2006-10-25,N,61.4,61.15,63.2,61.15,2.93,62.75,2.19,23,64.55,58.83,5.13,62.7,2.11
COP,2007-01-24,N,64.97,65.0,65.81,64.45,1.29,65.62,1.0,23,68.09,63.92,4.8,66.15,1.81
COP,2007-04-25,N,69.64,69.88,71.23,69.04,2.28,70.81,1.69,23,75.11,68.7,7.85,74.84,7.48
COP,2007-07-25,N,82.33,82.59,84.95,81.29,3.18,84.29,2.38,23,84.95,73.75,-10.42,79.13,-3.88
COP,2007-10-24,N,83.22,83.22,83.22,80.5,-3.26,81.65,-1.88,23,85.52,77.06,-7.4,78.93,-5.15
COP,2008-01-23,N,71.18,70.37,72.09,67.84,-4.69,71.73,0.77,23,80.87,67.84,13.61,79.05,11.05
COP,2008-04-24,N,84.48,83.62,84.1,82.35,-2.52,82.89,-1.88,22,92.15,82.35,9.07,91.98,8.87
COP,2008-07-23,N,84.31,84.81,84.81,81.45,-3.39,81.83,-2.94,23,84.99,77.12,-8.52,77.66,-7.88
COP,2008-10-22,N,53.96,52.29,52.87,46.86,-13.15,49.06,-9.08,30,56.38,41.27,-23.51,46.84,-13.19
COP,2009-01-28,N,49.51,50.62,50.62,49.22,2.24,50.16,1.31,23,50.62,38.97,-21.28,39.44,-20.33
COP,2009-04-23,N,38.06,39.22,40.0,38.71,5.09,39.93,4.91,22,47.27,38.71,24.19,43.93,15.42
COP,2009-07-29,N,44.9,43.9,43.93,42.37,-5.63,42.86,-4.54,23,45.34,42.05,-6.34,44.2,-1.55
COP,2009-10-28,N,51.4,50.92,51.3,49.27,-4.14,49.49,-3.71,23,54.13,49.13,5.31,52.08,1.32
COP,2010-01-27,N,50.43,50.43,51.04,48.99,-2.85,49.81,-1.22,23,51.04,46.63,-7.53,48.9,-3.03
COP,2010-04-29,N,58.55,59.0,60.15,59.0,2.73,59.1,0.93,22,60.53,49.74,-15.04,51.47,-12.09
COP,2010-07-28,N,54.44,55.02,55.2,53.81,1.39,54.44,,23,58.03,53.29,6.59,53.89,-1.01
COP,2010-10-27,N,61.37,59.7,60.48,59.55,-2.96,60.08,-2.1,23,63.27,58.37,-4.88,61.92,0.89
COP,2011-01-26,N,67.48,68.04,69.81,67.58,3.45,69.25,2.62,23,76.72,67.58,13.69,76.62,13.54
COP,2011-04-27,N,81.2,80.39,80.98,78.4,-3.46,79.83,-1.69,23,80.98,70.61,-13.05,72.61,-10.58
COP,2011-07-27,N,73.61,74.19,74.48,73.12,1.18,73.13,-0.65,23,74.48,60.4,-17.94,63.59,-13.61
COP,2011-10-26,N,70.68,72.13,72.47,70.16,2.53,71.89,1.71,23,73.7,67.25,-4.85,69.27,-1.99
COP,2012-01-25,N,70.61,71.51,71.62,69.01,-2.26,69.98,-0.89,23,74.0,68.0,4.8,73.36,3.89
COP,2012-04-23,N,72.88,71.73,72.72,71.37,-2.07,72.33,-0.75,25,72.72,50.66,-30.48,50.82,-30.26
COP,2012-07-25,N,54.64,54.26,54.6,52.84,-3.29,53.24,-2.56,23,57.77,52.84,5.72,57.39,5.03
COP,2012-10-25,N,55.95,56.71,57.53,56.65,2.82,57.16,2.16,22,58.8,53.95,5.09,55.03,-1.64
COP,2013-01-31,N,61.09,59.2,59.46,57.81,-5.36,58.0,-5.05,16,59.46,56.78,-7.05,57.02,-6.66
COP,2013-04-25,N,58.26,58.37,58.77,57.72,-0.92,58.37,0.18,22,63.31,57.72,8.66,63.31,8.66
COP,2013-08-01,N,64.86,65.72,66.29,65.52,2.2,66.09,1.89,15,67.91,65.52,4.7,67.38,3.88
COP,2013-10-31,N,73.25,73.66,74.48,73.28,1.67,73.33,0.1,15,74.48,72.2,1.67,73.3,0.06
COP,2014-01-30,N,65.82,66.6,66.65,65.32,1.26,65.75,-0.1,22,66.79,62.74,-4.67,64.68,-1.73
