Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CPIX,2010-08-16,Y,6.38,5.64,6.23,5.58,-12.53,5.85,-8.3,4,6.23,5.58,-12.53,6.02,-5.64
CPIX,2010-11-11,Y,6.9,7.5,7.5,6.31,8.69,6.51,-5.65,8,7.5,6.31,8.69,6.88,-0.28
CPIX,2011-03-08,Y,6.24,6.05,6.05,5.42,-13.14,5.52,-11.53,10,6.05,4.9,-21.47,4.98,-20.19
CPIX,2011-05-04,Y,5.01,5.2,5.23,4.98,4.18,5.09,1.59,16,5.23,4.93,4.18,5.17,2.98
CPIX,2011-08-04,Y,5.91,6.46,6.46,6.02,9.3,6.18,4.56,15,6.46,5.52,9.3,5.99,1.35
CPIX,2011-11-03,Y,5.92,6.0,6.0,5.82,-1.68,5.83,-1.52,15,6.31,5.26,-11.14,5.73,-3.2
CPIX,2012-02-29,Y,7.93,7.51,7.9,7.12,-10.21,7.71,-2.77,16,7.94,7.12,-10.21,7.72,-2.64
CPIX,2012-05-03,Y,7.36,7.27,7.37,7.03,-4.48,7.06,-4.07,15,7.37,6.45,-12.36,6.59,-10.46
CPIX,2012-08-02,Y,5.98,5.71,6.05,5.5,-8.02,6.02,0.66,15,6.05,5.5,-8.02,6.0,0.33
CPIX,2012-11-01,Y,6.12,6.15,6.25,6.02,2.12,6.06,-0.98,15,6.25,4.28,-30.06,4.51,-26.14
CPIX,2013-02-28,Y,4.38,4.78,4.8,4.11,9.81,4.13,-5.47,15,5.09,4.09,16.21,5.09,16.21
CPIX,2013-05-02,Y,4.8,4.88,5.13,4.88,6.87,5.05,5.41,15,5.13,4.68,6.87,4.93,2.91
CPIX,2013-08-06,Y,5.58,5.23,5.25,4.7,-15.77,4.92,-11.82,10,5.25,4.63,-17.02,4.7,-15.77
CPIX,2013-11-05,Y,4.95,4.9,4.9,4.73,-4.44,4.86,-1.81,10,5.09,4.59,-7.27,4.9,-1.01
CPIX,2014-03-04,Y,4.76,4.63,4.71,4.6,-3.36,4.7,-1.26,18,5.1,4.37,-8.19,4.47,-6.09
CPIX,2014-05-13,Y,4.22,4.34,4.49,4.34,6.39,4.48,6.16,4,4.51,4.34,6.87,4.51,6.87
CPIX,2014-08-05,Y,4.53,4.7,4.95,4.7,9.27,4.81,6.18,11,4.96,4.7,9.49,4.93,8.83
CPIX,2014-11-04,Y,4.71,5.1,5.19,5.0,10.19,5.02,6.58,18,5.21,4.93,10.61,5.11,8.49
CPIX,2015-03-03,Y,6.4,6.5,6.73,6.3,5.15,6.63,3.59,17,7.09,6.3,10.78,6.78,5.93
CPIX,2015-05-07,Y,6.64,6.45,6.65,6.15,-7.37,6.34,-4.51,8,6.81,6.06,-8.73,6.69,0.75
CPIX,2015-08-04,Y,6.02,6.24,6.24,6.01,3.65,6.01,-0.16,17,6.24,5.66,-5.98,5.87,-2.49
CPIX,2015-11-03,Y,6.1,5.97,6.29,5.97,3.11,6.09,-0.16,17,6.45,5.55,-9.01,5.7,-6.55
CPIX,2016-03-03,Y,4.87,4.79,4.91,4.79,-1.64,4.81,-1.23,15,4.93,4.2,-13.75,4.34,-10.88
CPIX,2016-05-10,Y,4.89,4.86,4.86,4.61,-5.72,4.61,-5.72,10,4.86,4.5,-7.97,4.51,-7.77
CPIX,2016-08-02,Y,4.58,4.61,4.8,4.46,4.8,4.56,-0.43,17,5.0,4.4,9.17,4.6,0.43
CPIX,2016-11-01,Y,4.74,4.87,5.01,4.87,5.69,5.0,5.48,17,5.63,4.87,18.77,5.5,16.03
CPIX,2017-03-07,Y,5.58,5.56,5.7,5.4,-3.22,5.63,0.89,10,6.64,5.4,18.99,6.45,15.59
CPIX,2017-05-15,Y,6.36,6.5,6.66,6.36,4.71,6.64,4.4,4,7.1,6.09,11.63,6.53,2.67
CPIX,2017-08-08,Y,6.84,6.9,6.9,6.55,-4.23,6.66,-2.63,10,6.91,6.26,-8.47,6.9,0.87
CPIX,2017-11-07,Y,7.4,7.4,7.43,7.25,-2.02,7.4,0.0,10,7.95,7.25,7.43,7.77,4.99
CPIX,2018-03-06,Y,6.97,7.01,7.03,6.6,-5.3,6.81,-2.29,10,7.03,6.6,-5.3,6.62,-5.02
CPIX,2018-05-08,Y,6.36,6.27,6.27,6.08,-4.4,6.17,-2.98,10,6.31,5.53,-13.05,6.0,-5.66
CPIX,2018-08-14,Y,5.61,5.53,5.54,5.52,-1.6,5.52,-1.6,3,6.14,5.5,9.44,5.5,-1.96
CPIX,2018-11-13,Y,6.25,6.66,7.0,5.76,12.0,7.0,12.0,3,7.0,5.76,12.0,6.36,1.76
CPIX,2019-02-26,Y,5.4,5.56,5.79,5.36,7.22,5.7,5.55,17,6.15,5.06,13.88,5.62,4.07
CPIX,2019-05-14,Y,5.38,5.69,6.15,5.43,14.31,5.6,4.08,3,6.5,5.43,20.81,6.5,20.81
CPIX,2019-08-14,Y,5.55,5.65,5.74,5.41,3.42,5.51,-0.72,2,5.75,5.21,-6.12,5.63,1.44
CPIX,2019-11-12,Y,5.67,5.26,5.41,4.9,-13.58,4.9,-13.58,3,5.41,4.9,-13.58,4.98,-12.16
CPIX,2020-03-19,N,3.53,3.91,3.91,3.59,10.76,3.6,1.98,2,3.91,3.47,10.76,3.6,1.98
CPIX,2020-08-11,Y,3.38,3.59,3.59,3.38,6.21,3.48,2.95,10,3.59,3.19,6.21,3.28,-2.95
CPIX,2020-11-10,Y,3.05,3.05,3.17,2.91,-4.59,2.94,-3.6,10,3.17,2.79,-8.52,2.99,-1.96
CPIX,2021-03-09,Y,3.28,3.28,3.31,3.12,-4.87,3.19,-2.74,10,3.42,3.12,-4.87,3.3,0.6
CPIX,2021-05-11,Y,2.6,2.8,2.85,2.66,9.61,2.66,2.3,10,3.06,2.66,17.69,3.02,16.15
CPIX,2021-08-10,Y,2.92,2.77,3.0,2.77,-5.13,2.96,1.36,10,3.19,2.77,9.24,2.91,-0.34
CPIX,2021-11-09,Y,3.2,2.77,3.13,2.77,-13.43,2.88,-10.0,10,3.13,2.49,-22.18,2.49,-22.18
CPIX,2022-03-08,Y,2.73,2.75,3.02,2.43,-10.98,2.74,0.36,10,3.02,2.43,-10.98,2.75,0.73
CPIX,2022-05-10,Y,2.58,2.19,2.39,2.17,-15.89,2.21,-14.34,10,2.58,2.17,-15.89,2.21,-14.34
CPIX,2022-08-09,Y,2.1,2.2,2.41,2.17,14.76,2.37,12.85,10,2.6,2.12,23.8,2.36,12.38
CPIX,2022-11-08,Y,2.3,2.37,2.43,2.28,5.65,2.29,-0.43,10,2.43,2.2,5.65,2.22,-3.47
