Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CQP,2007-05-08,Y,20.99,21.0,21.0,20.7,-1.38,20.99,,10,21.0,20.0,-4.71,20.54,-2.14
CQP,2007-08-08,Y,18.5,18.2,19.98,17.75,8.0,17.98,-2.75,9,19.98,14.7,-20.54,17.0,-8.1
CQP,2007-11-06,Y,18.32,18.0,18.36,18.0,-1.8,18.14,-0.98,10,18.5,16.8,-8.34,17.0,-7.25
CQP,2008-02-27,N,17.39,17.17,17.57,16.97,-2.41,17.0,-2.24,23,17.57,13.57,-21.96,15.25,-12.3
CQP,2008-05-09,N,11.26,11.06,11.49,9.82,-12.78,9.85,-12.52,7,11.49,8.06,-28.41,9.52,-15.45
CQP,2008-08-11,Y,8.19,8.27,9.0,7.77,9.75,8.32,1.46,4,9.0,7.77,9.75,8.34,1.7
CQP,2008-11-07,N,5.01,5.5,5.5,4.8,9.56,4.84,-3.38,14,5.73,3.91,-22.11,3.91,-22.11
CQP,2009-02-27,N,6.57,6.8,7.0,6.52,6.54,7.0,6.54,21,7.0,4.5,-31.5,5.49,-16.43
CQP,2009-05-08,N,6.8,6.99,7.35,6.81,8.08,7.08,4.11,7,7.9,6.81,16.17,7.59,11.61
CQP,2009-08-07,N,7.61,7.82,7.93,7.61,4.2,7.92,4.07,14,8.19,7.61,7.62,8.05,5.78
CQP,2009-11-06,N,11.1,11.12,11.72,11.1,5.58,11.72,5.58,14,13.0,11.1,17.11,11.56,4.14
CQP,2010-02-26,N,14.64,14.89,15.0,14.65,2.45,15.0,2.45,21,15.5,14.65,5.87,15.02,2.59
CQP,2010-05-07,N,14.15,15.13,16.91,14.55,19.5,15.79,11.59,14,17.8,13.63,25.79,15.4,8.83
CQP,2010-08-06,N,17.52,17.39,18.02,17.39,2.85,17.89,2.11,14,18.1,16.5,-5.82,17.3,-1.25
CQP,2010-11-05,N,18.86,18.79,18.92,18.57,-1.53,18.69,-0.9,14,19.98,18.51,5.93,19.54,3.6
CQP,2011-03-03,N,22.91,23.0,23.19,19.01,-17.02,20.89,-8.81,15,23.19,15.05,-34.3,18.14,-20.82
CQP,2011-05-06,N,17.1,17.38,17.98,17.12,5.14,17.52,2.45,14,18.45,16.67,7.89,17.89,4.67
CQP,2011-08-05,N,13.06,13.28,13.53,12.36,-5.35,13.11,0.38,14,14.01,10.09,-22.74,12.84,-1.68
CQP,2011-11-07,N,14.18,14.3,14.42,13.81,-2.6,14.06,-0.84,11,15.19,13.7,7.12,14.49,2.18
CQP,2012-02-24,N,18.29,18.45,18.5,18.29,1.14,18.38,0.49,21,21.98,18.29,20.17,21.28,16.34
CQP,2012-05-04,N,22.87,22.49,22.89,21.22,-7.21,21.89,-4.28,14,23.22,20.43,-10.66,20.5,-10.36
CQP,2012-08-03,Y,22.2,21.94,22.1,21.64,-2.52,21.89,-1.39,14,23.13,21.41,4.18,22.71,2.29
CQP,2012-11-02,Y,19.29,19.11,19.39,18.73,-2.85,19.2,-0.46,14,19.71,16.29,-15.55,18.22,-5.54
CQP,2013-02-22,N,21.19,21.3,21.61,20.87,1.98,21.33,0.66,21,23.65,20.87,11.6,23.65,11.6
