Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CRON,2018-04-30,N,6.8,7.0,7.13,6.87,4.85,6.91,1.61,21,7.13,5.5,-19.11,6.23,-8.38
CRON,2018-05-15,N,6.56,6.69,6.75,6.06,-7.62,6.27,-4.42,4,6.75,5.76,-12.19,6.23,-5.03
CRON,2018-08-14,N,5.83,5.92,5.95,5.61,-3.77,5.65,-3.08,4,6.69,5.61,14.75,6.54,12.17
CRON,2018-11-13,N,8.45,7.75,8.55,7.55,-10.65,8.31,-1.65,4,9.08,7.52,-11.0,8.56,1.3
CRON,2019-03-26,N,20.53,19.65,20.74,19.3,-5.99,20.24,-1.41,24,20.74,15.47,-24.64,15.75,-23.28
CRON,2019-05-09,N,15.46,15.76,15.9,13.9,-10.09,14.09,-8.86,9,15.9,13.9,-10.09,14.93,-3.42
CRON,2019-08-08,N,14.43,15.51,15.58,13.67,7.96,13.89,-3.74,9,15.58,12.1,-16.14,12.11,-16.07
CRON,2020-03-30,Y,6.34,5.92,6.11,5.56,-12.3,5.67,-10.56,18,6.23,5.14,-18.92,5.99,-5.52
CRON,2020-05-07,Y,5.59,5.66,5.7,5.33,-4.65,5.42,-3.04,8,5.7,4.62,-17.35,5.53,-1.07
CRON,2020-08-06,N,6.98,6.63,6.66,5.81,-16.76,5.87,-15.9,16,6.66,5.26,-24.64,5.31,-23.92
CRON,2020-11-05,N,5.54,5.89,6.52,5.68,17.68,6.46,16.6,16,8.81,5.68,59.02,7.22,30.32
CRON,2021-02-26,N,10.79,10.5,11.04,10.32,-4.35,10.45,-3.15,22,11.67,8.66,-19.74,10.15,-5.93
CRON,2021-05-07,N,7.62,7.19,7.99,7.16,-6.03,7.69,0.91,15,7.99,6.99,-8.26,7.38,-3.14
CRON,2021-08-06,N,7.41,7.4,7.48,7.08,-4.45,7.31,-1.34,15,7.48,6.13,-17.27,6.17,-16.73
CRON,2022-02-18,N,3.79,3.82,3.83,3.48,-8.17,3.53,-6.86,1,3.83,3.48,-8.17,3.53,-6.86
CRON,2022-05-10,N,2.83,2.98,3.37,2.96,19.08,3.18,12.36,11,3.61,2.88,27.56,3.39,19.78
CRON,2022-08-09,N,3.58,3.34,3.36,3.07,-14.24,3.09,-13.68,11,3.48,2.94,-17.87,2.94,-17.87
CRON,2022-11-07,N,3.08,2.96,2.96,2.75,-10.71,2.79,-9.41,14,3.17,2.67,-13.31,3.12,1.29
CRON,2023-02-28,N,2.1,2.06,2.2,1.97,-6.19,2.17,3.33,18,2.2,1.89,-10.0,1.95,-7.14
