Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CSIQ,2006-12-11,N,10.93,11.4,11.98,10.21,9.6,10.3,-5.76,4,11.98,9.8,-10.33,10.0,-8.5
CSIQ,2007-03-14,N,10.82,10.77,11.15,9.23,-14.69,9.33,-13.77,2,11.15,8.76,-19.03,9.11,-15.71
CSIQ,2007-05-14,N,10.21,10.89,11.8,10.15,15.57,10.4,1.86,4,11.8,9.36,15.57,9.51,-6.85
CSIQ,2007-08-14,Y,8.38,8.35,8.35,7.84,-6.44,7.85,-6.32,3,8.35,6.5,-22.43,7.27,-13.24
CSIQ,2007-11-14,N,11.24,14.0,17.1,13.05,52.13,14.53,29.27,2,18.14,13.05,61.38,17.76,58.0
CSIQ,2008-03-05,N,18.98,20.35,22.39,20.05,17.9,22.22,17.0,16,23.5,16.3,23.74,16.71,-12.0
CSIQ,2008-05-13,N,34.1,42.79,45.08,40.11,32.19,40.78,19.58,3,46.41,40.11,36.09,44.9,31.67
CSIQ,2008-08-13,N,30.91,28.03,29.57,27.04,-12.52,29.57,-4.33,2,30.24,27.04,-12.52,28.26,-8.57
CSIQ,2008-11-21,N,3.78,3.54,4.09,3.11,-17.72,4.05,7.4,0,4.09,3.11,-17.72,4.05,7.4
CSIQ,2009-03-17,N,3.88,3.28,4.0,3.25,-16.23,4.0,3.09,3,4.58,3.25,18.04,4.5,15.97
CSIQ,2009-05-26,N,10.01,11.11,12.48,8.82,24.67,12.08,20.67,24,16.45,8.82,64.33,13.05,30.36
CSIQ,2009-08-06,N,16.12,18.11,19.64,17.28,21.83,18.95,17.55,15,19.91,15.14,23.51,15.98,-0.86
CSIQ,2009-11-17,N,19.7,20.1,21.05,19.39,6.85,20.11,2.08,3,21.96,19.39,11.47,21.01,6.64
CSIQ,2010-03-03,N,20.23,20.55,21.6,20.3,6.77,20.53,1.48,16,23.6,20.3,16.65,22.0,8.74
CSIQ,2010-08-19,Y,12.52,11.65,11.89,10.88,-13.09,11.78,-5.91,1,11.89,10.88,-13.09,11.78,-5.91
CSIQ,2010-09-02,N,12.2,11.9,12.29,11.65,-4.5,12.26,0.49,15,13.25,11.65,8.6,13.03,6.8
CSIQ,2010-11-18,N,13.26,13.9,14.75,13.33,11.23,13.54,2.11,1,14.75,13.33,11.23,14.56,9.8
CSIQ,2011-03-10,N,13.7,12.37,12.47,11.21,-18.17,11.22,-18.1,8,12.47,10.19,-25.62,10.94,-20.14
CSIQ,2011-05-11,Y,9.8,9.5,9.99,9.44,-3.67,9.86,0.71,9,9.99,9.02,-7.95,9.11,-6.93
CSIQ,2011-08-17,N,7.87,7.41,7.84,7.3,-7.24,7.42,-5.71,2,7.84,6.16,-21.72,6.28,-20.2
CSIQ,2011-11-22,N,2.2,2.11,2.49,2.06,13.18,2.48,12.72,24,3.24,2.06,47.27,2.4,9.09
CSIQ,2012-03-07,N,3.28,2.96,3.08,2.83,-13.71,2.85,-13.1,9,3.5,2.83,-13.71,3.48,6.09
CSIQ,2012-05-10,N,3.21,3.25,3.5,3.23,9.03,3.4,5.91,8,3.54,2.65,-17.44,2.7,-15.88
CSIQ,2012-08-15,N,3.04,2.69,2.73,2.54,-16.44,2.7,-11.18,2,2.96,2.54,-16.44,2.87,-5.59
