Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CSPI,2009-05-06,N,3.06,3.07,3.16,3.05,3.26,3.09,0.98,9,3.68,2.97,20.26,3.09,0.98
CSPI,2009-08-11,N,4.25,3.92,4.0,3.62,-14.82,3.75,-11.76,10,4.0,3.38,-20.47,3.55,-16.47
CSPI,2010-12-14,N,4.86,4.21,4.21,3.61,-25.72,3.83,-21.19,3,4.21,3.61,-25.72,4.0,-17.69
CSPI,2011-02-07,Y,4.0,4.2,4.48,4.2,12.0,4.3,7.49,11,4.59,4.2,14.74,4.32,8.0
CSPI,2011-05-04,N,4.76,4.76,4.78,4.68,-1.68,4.68,-1.47,16,4.78,4.37,-8.19,4.38,-7.98
CSPI,2011-08-03,N,3.88,3.82,4.09,3.71,5.41,3.9,0.51,16,4.09,3.5,-9.79,3.5,-9.79
CSPI,2012-01-12,N,3.17,3.55,3.67,3.26,15.77,3.32,4.73,8,3.78,3.2,19.24,3.78,19.24
CSPI,2012-02-08,N,3.84,3.98,3.98,3.86,3.64,3.92,2.08,9,4.17,3.83,8.59,4.16,8.33
CSPI,2012-05-09,N,4.2,4.2,4.45,4.2,5.95,4.38,4.28,9,4.53,4.15,7.85,4.18,-0.47
CSPI,2012-08-08,N,4.15,4.92,4.99,4.65,20.24,4.93,19.03,9,4.99,4.13,20.24,4.55,9.63
CSPI,2012-12-13,N,6.29,6.64,6.65,5.5,-12.55,5.59,-11.12,8,6.65,5.21,-17.17,5.63,-10.49
CSPI,2013-02-11,Y,6.68,6.5,6.71,6.35,-4.94,6.47,-3.14,4,6.73,6.35,-4.94,6.69,0.14
CSPI,2013-05-08,N,5.83,6.61,7.76,6.61,33.1,7.45,27.78,9,8.69,6.61,49.05,8.47,45.28
CSPI,2013-08-07,N,8.75,7.4,7.75,6.62,-24.34,6.87,-21.48,9,7.75,6.62,-24.34,7.0,-20.0
CSPI,2014-12-16,N,7.8,7.12,7.76,7.07,-9.35,7.51,-3.71,4,7.98,6.97,-10.64,7.75,-0.64
CSPI,2015-02-11,N,7.1,6.95,7.07,6.9,-2.81,7.0,-1.4,9,7.73,6.9,8.87,7.73,8.87
CSPI,2015-05-13,N,6.95,6.9,7.18,6.81,3.3,7.17,3.16,2,7.3,6.81,5.03,7.28,4.74
CSPI,2015-08-12,N,6.27,6.47,6.47,6.13,3.18,6.21,-0.95,9,6.47,5.39,-14.03,6.11,-2.55
CSPI,2015-12-23,N,5.78,6.1,6.73,6.1,16.43,6.49,12.28,23,7.18,5.81,24.22,5.9,2.07
CSPI,2016-02-16,N,5.57,5.58,5.9,5.36,5.92,5.64,1.25,3,5.97,5.36,7.18,5.53,-0.71
CSPI,2016-05-11,N,6.36,6.99,7.2,6.95,13.2,7.1,11.63,9,7.45,6.95,17.13,7.42,16.66
CSPI,2016-08-18,N,8.25,8.3,8.52,8.27,3.27,8.34,1.09,1,10.19,8.27,23.51,9.35,13.33
CSPI,2017-02-25,N,9.27,9.25,9.25,8.25,-11.09,8.38,-9.69,20,11.14,8.25,20.04,10.93,17.78
CSPI,2017-05-26,N,10.5,10.71,11.19,10.71,6.57,10.97,4.47,21,11.23,10.7,6.95,10.91,3.9
CSPI,2017-08-14,Y,10.23,10.43,10.72,10.37,4.78,10.42,1.85,4,10.72,10.1,4.78,10.34,1.07
