Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CSWI,2015-11-16,Y,37.44,37.4,37.77,35.78,-4.43,36.86,-1.54,4,38.04,35.35,-5.58,36.95,-1.3
CSWI,2016-02-16,Y,29.86,29.91,30.9,28.8,-3.54,29.45,-1.37,3,30.9,28.69,-3.91,28.85,-3.38
CSWI,2016-05-16,N,32.95,32.96,33.43,32.57,1.45,33.03,0.24,4,33.43,31.49,-4.43,32.51,-1.33
CSWI,2016-06-08,N,34.44,34.15,34.84,33.96,-1.39,34.59,0.43,9,35.96,31.64,-8.13,33.09,-3.91
CSWI,2016-08-15,N,33.82,33.53,33.69,32.65,-3.45,32.86,-2.8,4,33.69,30.76,-9.04,31.24,-7.62
CSWI,2016-11-11,N,31.0,32.4,34.29,29.9,10.61,33.65,8.54,7,36.04,29.9,16.25,35.6,14.83
CSWI,2017-02-13,N,36.65,41.7,41.85,36.04,14.18,37.1,1.22,4,41.85,35.35,14.18,36.75,0.27
CSWI,2017-06-14,N,36.79,37.6,40.54,37.0,10.16,39.79,8.15,2,40.79,36.92,10.84,37.2,1.08
CSWI,2017-08-09,N,38.4,40.0,40.45,38.04,5.33,39.95,4.03,9,40.9,38.04,6.51,39.4,2.6
CSWI,2017-11-08,N,48.15,48.1,48.1,46.2,-4.04,47.0,-2.38,9,48.1,45.2,-6.12,46.55,-3.32
CSWI,2022-02-03,N,112.31,112.31,117.52,111.3,4.63,113.01,0.62,16,117.52,109.83,4.63,114.51,1.95
CSWI,2022-05-18,N,107.72,105.86,107.81,102.97,-4.4,104.83,-2.68,3,107.81,102.37,-4.96,105.68,-1.89
CSWI,2022-08-05,N,118.54,118.0,120.18,116.36,-1.83,120.0,1.23,15,144.02,116.36,21.49,138.26,16.63
