Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CTMX,2016-08-03,Y,10.46,10.4,10.62,10.25,-2.0,10.58,1.14,16,11.68,10.25,11.66,10.65,1.81
CTMX,2016-11-03,Y,10.95,10.05,11.45,10.05,-8.21,10.96,0.09,15,12.35,9.85,12.78,11.72,7.03
CTMX,2017-03-02,Y,14.5,14.52,15.78,14.49,8.82,15.57,7.37,15,15.78,12.5,-13.79,15.18,4.68
CTMX,2017-05-05,N,14.64,15.81,16.79,13.71,14.68,14.97,2.25,15,16.79,13.71,14.68,14.83,1.29
CTMX,2017-08-07,Y,13.65,13.75,14.97,13.11,9.67,14.78,8.27,11,15.28,13.11,11.94,13.53,-0.87
CTMX,2017-11-07,Y,19.7,19.6,20.14,18.72,-4.97,19.17,-2.69,10,20.67,18.72,-4.97,20.31,3.09
CTMX,2018-03-07,Y,33.87,34.03,35.0,30.42,-10.18,32.48,-4.1,9,35.0,30.42,-10.18,34.0,0.38
CTMX,2018-05-09,Y,24.4,23.06,24.72,22.78,-6.63,22.79,-6.59,9,24.92,21.4,-12.29,24.82,1.72
CTMX,2018-08-08,Y,25.4,24.77,25.16,22.84,-10.07,24.89,-2.0,9,25.34,22.0,-13.38,22.49,-11.45
CTMX,2018-11-06,Y,12.75,13.0,16.81,13.0,31.84,15.95,25.09,10,16.81,13.0,31.84,14.46,13.41
CTMX,2019-02-27,Y,12.73,12.31,12.35,10.91,-14.29,11.22,-11.86,16,12.35,9.38,-26.31,10.66,-16.26
CTMX,2019-05-09,Y,10.04,10.24,11.32,10.19,12.74,11.08,10.35,8,11.49,10.19,14.44,10.71,6.67
CTMX,2019-08-07,Y,10.92,10.13,11.66,10.02,-8.24,10.99,0.64,9,11.66,8.78,-19.59,9.34,-14.46
CTMX,2020-02-27,Y,7.12,6.85,7.15,6.07,-14.74,6.69,-6.03,22,7.54,3.6,-49.43,4.95,-30.47
CTMX,2020-05-07,Y,12.25,12.84,14.5,12.45,18.36,14.24,16.24,8,15.44,8.61,-29.71,9.01,-26.44
CTMX,2020-08-06,Y,7.55,7.36,8.1,7.27,7.28,7.62,0.92,15,8.1,6.78,-10.19,6.95,-7.94
CTMX,2020-11-05,Y,7.07,7.17,7.23,6.82,-3.53,7.02,-0.7,15,7.85,6.82,11.03,7.32,3.53
CTMX,2021-02-24,Y,8.04,8.13,8.46,7.83,5.22,7.86,-2.23,23,8.86,7.01,-12.81,8.27,2.86
CTMX,2021-05-06,Y,8.15,8.5,8.93,8.32,9.57,8.55,4.9,15,8.95,7.72,9.81,8.41,3.19
CTMX,2021-08-05,Y,5.79,5.56,5.58,5.2,-10.18,5.25,-9.32,15,5.58,4.28,-26.07,4.66,-19.51
CTMX,2021-11-04,Y,5.98,5.93,6.64,5.93,11.03,6.6,10.36,15,7.53,5.93,25.91,7.34,22.74
CTMX,2022-03-01,Y,3.54,3.89,4.28,3.77,20.9,4.04,14.12,17,4.28,2.94,20.9,3.21,-9.32
CTMX,2022-05-05,Y,1.61,1.69,1.72,1.52,6.83,1.62,0.62,15,1.87,1.51,16.14,1.62,0.62
CTMX,2022-08-04,Y,1.63,1.57,1.68,1.56,-4.29,1.66,1.84,15,1.76,1.51,7.97,1.66,1.84
CTMX,2022-11-08,Y,1.23,1.23,1.29,1.17,4.87,1.24,0.81,10,1.77,1.17,43.9,1.74,41.46
CTMX,2023-03-27,Y,1.79,1.48,1.62,1.43,-20.11,1.52,-15.08,25,1.75,1.43,-20.11,1.65,-7.82
