Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CTSH,2002-02-05,N,2.88,2.96,3.03,2.89,5.2,2.94,2.08,10,3.03,2.69,-6.59,2.91,1.04
CTSH,2002-04-16,N,3.17,3.24,3.72,3.24,17.35,3.69,16.4,3,3.99,3.24,25.86,3.85,21.45
CTSH,2002-07-15,Y,4.09,4.22,4.79,4.18,17.11,4.56,11.49,4,4.79,4.18,17.11,4.55,11.24
CTSH,2002-10-16,N,5.22,5.13,5.34,4.97,-4.78,5.25,0.57,2,5.56,4.97,6.51,5.36,2.68
CTSH,2003-02-12,Y,5.41,5.42,5.5,5.39,1.66,5.48,1.29,9,5.72,5.39,5.73,5.68,4.99
CTSH,2003-04-21,Y,5.15,5.0,5.04,4.65,-9.7,4.97,-3.49,25,5.34,4.28,-16.89,5.25,1.94
CTSH,2003-07-22,Y,7.68,7.69,7.97,7.5,3.77,7.86,2.34,24,8.19,7.08,-7.81,7.34,-4.42
CTSH,2003-10-21,Y,10.54,10.48,10.65,10.38,-1.51,10.49,-0.47,31,11.92,10.02,13.09,10.96,3.98
CTSH,2004-02-10,Y,12.7,12.66,13.1,12.62,3.14,13.02,2.51,10,13.3,11.74,-7.55,12.17,-4.17
CTSH,2004-04-20,N,12.01,11.5,12.08,11.39,-5.16,11.63,-3.16,31,12.33,9.8,-18.4,10.8,-10.07
CTSH,2004-07-26,Y,12.91,12.7,13.94,12.7,7.97,13.76,6.58,25,13.96,12.01,8.13,13.26,2.71
CTSH,2004-10-26,Y,15.4,15.97,16.48,15.5,7.01,16.42,6.62,24,19.64,15.5,27.53,18.97,23.18
CTSH,2005-02-10,Y,21.54,21.68,23.34,21.55,8.35,22.76,5.66,8,23.5,21.55,9.09,22.38,3.89
CTSH,2005-04-27,Y,21.05,20.96,21.54,20.86,2.32,20.96,-0.42,23,22.92,20.46,8.88,22.73,7.98
CTSH,2005-07-28,N,25.02,25.54,25.72,23.27,-6.99,23.58,-5.75,22,25.72,22.15,-11.47,22.86,-8.63
CTSH,2005-10-31,N,22.7,22.2,22.52,21.66,-4.58,21.99,-3.12,18,24.47,21.5,7.79,24.18,6.51
CTSH,2006-02-09,N,25.08,27.13,28.15,27.13,12.24,27.52,9.72,8,28.15,26.8,12.24,27.62,10.12
CTSH,2006-05-03,N,30.53,33.2,34.84,33.04,14.11,33.44,9.53,16,34.84,31.34,14.11,32.1,5.14
CTSH,2006-08-02,N,31.76,33.96,34.47,33.32,8.53,33.61,5.85,16,36.0,32.32,13.35,35.4,11.49
CTSH,2006-11-02,N,37.26,36.63,38.06,36.61,2.14,37.5,0.64,15,40.38,35.76,8.37,40.04,7.48
CTSH,2007-02-05,N,42.92,44.86,46.74,44.5,8.9,46.48,8.29,11,47.45,44.5,10.55,46.84,9.13
CTSH,2007-05-02,N,44.24,43.01,43.24,41.38,-6.46,42.18,-4.65,16,43.24,38.24,-13.56,39.42,-10.89
CTSH,2007-08-01,N,40.49,40.14,41.18,39.25,-3.06,40.4,-0.22,16,44.44,36.25,-10.47,37.47,-7.43
CTSH,2007-11-06,N,39.61,32.9,34.7,31.15,-21.35,32.0,-19.21,10,34.7,29.92,-24.46,31.4,-20.72
CTSH,2008-02-07,Y,27.28,31.83,32.92,31.0,20.67,31.84,16.71,8,33.99,31.0,24.59,32.56,19.35
CTSH,2008-05-07,N,33.75,30.76,31.57,30.01,-11.08,30.21,-10.48,9,31.89,28.84,-14.54,31.55,-6.51
CTSH,2008-07-31,Y,28.07,28.27,29.61,28.2,5.48,29.36,4.59,15,31.69,28.2,12.89,30.77,9.61
CTSH,2008-11-05,N,21.0,19.86,21.12,19.67,-6.33,20.17,-3.95,16,21.12,14.38,-31.52,15.58,-25.8
CTSH,2009-02-13,N,20.76,21.57,21.95,20.92,5.73,21.17,1.97,7,21.95,17.82,-14.16,19.39,-6.55
CTSH,2009-05-05,N,25.9,26.91,27.51,26.13,6.21,26.92,3.93,10,27.51,24.49,6.21,25.76,-0.54
CTSH,2009-08-04,N,30.46,33.07,33.77,32.74,10.86,33.6,10.3,17,35.0,32.74,14.9,34.46,13.13
CTSH,2009-11-03,N,38.79,41.65,42.4,40.85,9.27,41.97,8.17,17,45.75,40.85,17.91,43.68,12.57
CTSH,2010-02-09,N,43.74,45.23,46.66,44.89,6.67,46.49,6.28,10,48.34,44.89,10.51,47.51,8.61
CTSH,2010-05-04,N,52.02,53.3,53.3,50.75,2.46,51.8,-0.42,17,53.3,45.85,-11.86,49.49,-4.86
CTSH,2010-08-03,N,55.42,61.86,63.94,59.85,15.37,60.62,9.38,17,63.94,57.55,15.37,59.61,7.56
CTSH,2010-11-01,N,65.19,66.89,66.9,61.87,-5.09,65.04,-0.23,18,66.9,61.26,-6.02,65.23,0.07
CTSH,2011-02-07,N,75.42,74.02,76.44,73.63,-2.37,74.72,-0.92,11,77.73,73.59,3.06,77.73,3.06
CTSH,2011-05-03,N,82.21,78.17,78.26,73.56,-10.52,77.52,-5.7,17,78.75,72.39,-11.94,74.05,-9.92
CTSH,2011-08-02,N,70.7,72.7,73.06,70.77,3.33,72.0,1.83,17,73.06,53.54,-24.27,55.01,-22.19
CTSH,2011-11-02,N,70.92,68.14,70.93,67.77,-4.44,69.92,-1.41,16,71.92,65.7,-7.36,66.23,-6.61
CTSH,2012-02-08,N,72.01,69.76,72.67,69.65,-3.27,70.75,-1.74,9,72.67,69.59,-3.36,71.08,-1.29
CTSH,2012-05-07,N,69.66,61.0,61.25,55.7,-20.04,56.3,-19.17,11,62.04,55.7,-20.04,59.63,-14.39
CTSH,2012-08-06,N,57.86,64.0,65.48,63.25,13.16,64.2,10.97,11,65.48,63.22,13.16,64.48,11.44
CTSH,2012-11-07,N,67.34,68.11,68.81,65.9,2.16,66.94,-0.6,9,68.81,64.2,-4.67,65.73,-2.39
CTSH,2013-02-07,N,76.27,76.73,78.63,75.26,3.09,78.51,2.93,8,79.23,75.26,3.88,76.84,0.76
