Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CVLT,2006-11-06,Y,19.05,19.75,19.75,18.13,-4.87,18.27,-4.14,11,19.75,17.25,-9.49,17.85,-6.34
CVLT,2007-01-30,Y,20.05,19.63,19.82,17.89,-10.77,17.91,-10.67,17,19.82,15.93,-20.54,17.88,-10.82
CVLT,2007-05-15,Y,15.8,17.39,18.23,16.79,15.37,17.39,10.06,3,18.23,16.77,15.37,16.94,7.21
CVLT,2007-08-02,Y,17.2,17.21,17.69,16.93,2.84,17.0,-1.16,15,18.75,16.67,9.01,18.43,7.15
CVLT,2007-10-30,Y,17.57,19.28,21.19,19.0,20.53,20.34,15.69,17,23.04,19.0,31.05,20.41,16.09
CVLT,2008-02-05,Y,19.35,17.73,17.73,13.41,-30.69,14.54,-24.85,10,17.73,13.41,-30.69,15.49,-19.94
CVLT,2008-05-13,Y,14.25,15.3,16.73,15.28,17.4,16.1,12.98,3,17.14,15.28,20.28,16.45,15.43
CVLT,2008-08-04,Y,14.93,14.34,14.49,14.01,-6.16,14.2,-4.88,11,17.94,14.01,20.16,17.51,17.28
CVLT,2008-10-29,Y,10.37,10.99,11.5,10.51,10.89,10.86,4.72,23,11.59,7.42,-28.44,8.02,-22.66
CVLT,2009-02-04,N,13.45,13.15,13.65,12.95,-3.71,13.08,-2.75,16,13.65,10.65,-20.81,11.23,-16.5
CVLT,2009-05-13,Y,12.39,10.65,11.95,10.49,-15.33,11.02,-11.05,2,11.95,10.49,-15.33,11.11,-10.33
CVLT,2009-08-04,N,17.14,16.98,17.38,16.64,-2.97,17.3,0.87,17,19.46,16.64,13.46,18.45,7.58
CVLT,2009-10-28,N,20.32,20.7,20.94,19.59,-3.59,19.59,-3.59,23,22.92,19.37,12.79,21.32,4.92
CVLT,2010-02-03,N,21.85,21.9,22.47,21.33,2.83,22.39,2.47,16,22.97,20.42,-6.54,22.84,4.53
CVLT,2010-05-11,N,20.86,21.27,22.8,21.26,9.3,22.2,6.42,10,24.35,21.26,16.73,22.48,7.76
CVLT,2010-08-03,N,19.07,19.05,19.85,18.7,4.09,19.6,2.77,17,21.8,18.7,14.31,20.79,9.01
CVLT,2010-11-02,N,28.71,29.16,29.29,27.57,-3.97,29.19,1.67,17,31.1,27.57,8.32,29.91,4.17
CVLT,2011-02-01,N,30.89,31.2,32.5,30.93,5.21,32.18,4.17,17,39.93,30.74,29.26,37.67,21.94
CVLT,2011-05-10,N,36.67,38.81,40.99,38.42,11.78,39.24,7.0,10,40.99,36.63,11.78,38.65,5.42
CVLT,2011-08-02,N,38.74,40.9,42.32,41.2,9.24,41.99,8.38,17,43.17,31.12,-19.66,31.62,-18.37
CVLT,2011-11-01,N,42.58,42.1,45.0,42.1,5.68,44.78,5.16,17,50.0,42.1,17.42,45.67,7.25
CVLT,2012-02-01,N,47.0,46.77,51.73,44.0,10.06,51.0,8.51,16,55.16,44.0,17.36,54.71,16.4
CVLT,2012-05-08,N,50.72,55.28,55.49,49.81,9.4,54.13,6.72,10,55.49,49.81,9.4,50.98,0.51
CVLT,2012-07-31,N,45.38,49.88,52.22,48.2,15.07,48.52,6.91,17,53.8,47.7,18.55,52.55,15.79
CVLT,2012-10-29,N,53.47,57.6,66.0,57.19,23.43,62.37,16.64,18,66.62,57.19,24.59,62.57,17.01
CVLT,2013-01-30,N,70.5,73.48,78.87,72.81,11.87,76.9,9.07,16,79.53,72.81,12.8,76.38,8.34
CVLT,2013-05-07,N,77.81,84.16,88.14,75.48,13.26,76.33,-1.91,10,88.14,73.2,13.26,74.8,-3.88
CVLT,2013-07-30,N,77.56,81.95,87.0,81.39,12.15,85.04,9.63,17,88.57,81.39,14.18,82.07,5.8
CVLT,2013-10-29,N,82.5,80.45,80.88,73.54,-10.86,80.51,-2.41,17,80.88,73.54,-10.86,77.69,-5.83
