Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CWEN,2019-02-28,N,14.83,14.45,15.08,14.21,-4.18,14.99,1.07,16,15.39,14.21,-4.18,14.72,-0.74
CWEN,2019-05-07,N,15.63,15.51,15.68,15.2,-2.75,15.57,-0.38,11,15.76,15.15,-3.07,15.56,-0.44
CWEN,2019-08-06,N,17.64,17.18,17.47,16.96,-3.85,17.06,-3.28,11,17.96,16.47,-6.63,17.9,1.47
CWEN,2020-02-27,N,21.35,20.5,22.1,19.26,-9.78,21.25,-0.46,23,22.78,16.12,-24.49,19.63,-8.05
CWEN,2020-05-07,N,19.84,20.11,20.56,19.74,3.62,20.44,3.02,9,21.81,19.74,9.92,20.36,2.62
CWEN,2020-08-06,N,25.77,26.28,26.32,25.2,-2.21,25.77,0.0,16,27.12,25.2,5.23,25.77,0.0
CWEN,2020-11-05,N,28.47,28.75,29.95,28.17,5.19,29.92,5.09,16,32.79,28.17,15.17,29.23,2.66
CWEN,2021-03-01,N,27.46,28.15,29.09,27.78,5.93,28.81,4.91,21,29.38,25.8,6.99,26.53,-3.38
CWEN,2021-05-06,N,27.66,27.34,27.44,26.4,-4.55,27.34,-1.15,16,27.66,24.93,-9.86,26.69,-3.5
CWEN,2021-08-03,N,29.0,29.13,29.86,28.68,2.96,29.84,2.89,18,31.25,28.68,7.75,31.14,7.37
CWEN,2021-11-04,N,35.53,35.0,37.03,34.62,4.22,36.8,3.57,16,38.82,34.62,9.25,38.66,8.8
CWEN,2022-02-28,N,32.92,34.06,34.33,31.65,4.28,33.4,1.45,21,37.42,31.65,13.66,36.39,10.54
CWEN,2022-05-05,N,32.9,32.22,32.91,31.51,-4.22,32.15,-2.27,16,33.92,30.36,-7.72,32.71,-0.57
CWEN,2022-08-02,N,37.44,37.16,37.3,36.42,-2.72,36.85,-1.57,18,41.79,36.42,11.61,39.67,5.95
CWEN,2022-11-02,N,35.04,34.61,35.98,34.33,2.68,34.91,-0.37,17,36.57,34.24,4.36,35.16,0.34
CWEN,2023-02-23,N,32.04,32.44,32.6,30.52,-4.74,31.15,-2.77,23,32.6,29.36,-8.36,30.2,-5.74
