Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CYCC,2008-03-11,Y,21.91,21.7,22.68,20.02,-8.62,20.72,-5.43,10,22.96,16.8,-23.32,20.58,-6.07
CYCC,2008-05-09,Y,17.71,17.98,19.46,17.36,9.88,17.71,,7,19.46,15.89,-10.27,17.64,-0.39
CYCC,2008-08-07,Y,11.34,11.13,11.34,10.85,-4.32,11.2,-1.23,8,13.51,10.71,19.13,11.9,4.93
CYCC,2008-11-06,Y,3.85,3.85,4.34,3.5,12.72,4.26,10.9,15,5.04,1.61,-58.18,2.24,-41.81
CYCC,2009-03-31,Y,2.52,2.52,2.72,2.1,-16.66,2.14,-15.07,17,3.71,2.1,47.22,3.5,38.88
CYCC,2009-05-14,Y,5.25,6.3,7.7,5.88,46.66,6.16,17.33,1,7.7,5.88,46.66,6.16,17.33
CYCC,2009-08-06,Y,7.98,7.35,7.63,6.79,-14.91,6.79,-14.91,15,7.63,6.72,-15.78,6.87,-13.9
CYCC,2009-11-03,Y,5.67,6.23,6.23,5.69,9.87,5.95,4.93,17,6.44,5.53,13.58,5.6,-1.23
CYCC,2010-03-23,Y,17.57,17.5,17.5,16.59,-5.57,16.66,-5.17,24,19.04,14.7,-16.33,18.55,5.57
CYCC,2010-05-13,Y,15.82,15.75,15.82,14.84,-6.19,15.4,-2.65,8,15.82,11.55,-26.99,13.02,-17.69
CYCC,2010-08-05,Y,11.76,11.41,11.69,10.92,-7.14,11.48,-2.38,15,11.9,10.08,-14.28,10.85,-7.73
CYCC,2010-11-11,Y,11.2,11.83,12.18,11.27,8.75,11.69,4.37,8,12.18,10.85,8.75,11.76,5.0
CYCC,2011-03-23,Y,9.66,9.86,9.86,9.02,-6.62,9.31,-3.62,23,10.64,8.52,-11.69,8.89,-7.97
CYCC,2011-05-12,Y,10.71,11.76,12.6,11.06,17.64,11.27,5.22,8,12.6,10.99,17.64,10.99,2.61
CYCC,2011-08-11,Y,5.53,5.53,5.81,5.39,5.06,5.53,,8,6.16,5.04,11.39,5.32,-3.79
CYCC,2012-03-29,Y,4.97,4.83,5.11,4.55,-8.45,5.04,1.4,22,5.39,3.92,-21.12,4.13,-16.9
CYCC,2012-05-14,Y,3.5,3.57,3.57,3.36,-4.0,3.5,,4,3.57,2.73,-22.0,3.01,-14.0
CYCC,2012-08-08,Y,3.36,3.36,3.85,3.22,14.58,3.64,8.33,9,3.85,3.22,14.58,3.71,10.41
CYCC,2012-08-14,Y,3.57,3.36,3.5,3.36,-5.88,3.36,-5.88,3,3.71,3.28,-8.12,3.71,3.92
CYCC,2012-11-12,Y,5.28,5.32,5.33,4.59,-13.06,4.63,-12.31,4,5.33,4.3,-18.56,4.68,-11.36
CYCC,2013-03-27,Y,5.58,5.6,5.64,5.31,-4.83,5.59,0.17,23,5.65,4.84,-13.26,4.97,-10.93
CYCC,2013-05-13,Y,3.85,3.83,3.88,3.6,-6.49,3.71,-3.63,4,3.88,2.93,-23.89,3.04,-21.03
