Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CYTK,2004-06-16,N,15.34,15.4,16.0,15.15,4.3,16.0,4.3,2,16.1,15.15,4.95,16.02,4.43
CYTK,2004-07-28,N,9.17,9.0,9.02,8.44,-7.96,8.48,-7.52,23,9.38,7.1,-22.57,7.86,-14.28
CYTK,2004-10-21,Y,9.36,9.3,9.65,8.71,-7.04,8.91,-4.9,29,9.65,7.8,-16.75,9.11,-2.66
CYTK,2005-02-03,Y,9.25,9.19,9.47,9.08,2.37,9.09,-1.72,15,9.8,9.05,5.94,9.5,2.7
CYTK,2005-04-27,Y,4.99,5.01,5.32,4.96,6.61,4.96,-0.6,23,6.91,4.61,38.47,5.61,12.42
CYTK,2005-07-27,Y,8.57,8.36,9.01,8.36,5.13,9.01,5.13,23,9.59,8.36,11.9,9.23,7.7
CYTK,2005-10-26,Y,7.14,7.12,7.4,7.01,3.64,7.35,2.94,23,8.86,6.88,24.08,8.8,23.24
CYTK,2006-01-31,Y,7.13,7.03,7.18,7.0,-1.82,7.15,0.28,17,7.98,6.95,11.92,7.16,0.42
CYTK,2006-04-27,Y,7.16,7.0,7.28,7.0,-2.23,7.25,1.25,22,7.99,6.69,11.59,7.39,3.21
CYTK,2006-07-27,Y,5.5,5.6,6.03,5.6,9.63,5.9,7.27,22,6.37,5.25,15.81,6.06,10.18
CYTK,2006-10-26,Y,7.13,7.21,7.49,6.93,5.04,7.18,0.7,22,8.0,6.93,12.2,7.74,8.55
CYTK,2007-01-31,Y,7.91,7.91,8.14,7.72,2.9,7.87,-0.5,16,8.27,7.69,4.55,7.97,0.75
CYTK,2007-04-26,Y,6.75,6.7,7.13,6.69,5.62,7.09,5.03,22,7.39,6.4,9.48,6.76,0.14
CYTK,2007-07-31,Y,5.0,5.0,5.86,4.86,17.2,5.19,3.8,17,5.86,4.26,17.2,4.68,-6.4
CYTK,2007-10-31,Y,4.95,5.13,5.5,4.9,11.11,5.19,4.84,16,5.62,4.68,13.53,4.74,-4.24
CYTK,2008-01-31,Y,3.33,3.89,3.99,3.52,19.81,3.66,9.9,15,4.19,3.0,25.82,3.17,-4.8
CYTK,2008-04-29,Y,3.34,3.25,3.45,3.23,3.29,3.45,3.29,17,4.2,3.23,25.74,3.95,18.26
CYTK,2008-07-31,Y,5.28,5.21,5.8,5.01,9.84,5.69,7.76,15,5.8,4.15,-21.4,4.88,-7.38
CYTK,2008-10-30,Y,2.85,2.89,3.31,2.71,16.14,2.85,,22,3.37,1.66,-41.75,2.29,-19.64
CYTK,2009-02-10,Y,2.0,2.06,2.1,2.0,4.47,2.0,0.49,10,2.12,1.94,5.47,1.96,-2.48
CYTK,2009-04-30,Y,1.86,1.86,2.04,1.86,9.67,1.95,4.83,15,2.12,1.79,13.97,1.85,-0.53
CYTK,2009-07-29,Y,2.97,3.11,3.11,2.92,4.71,2.94,-1.01,23,3.3,2.71,11.11,2.94,-1.01
CYTK,2009-10-28,Y,4.26,4.01,4.03,3.17,-25.76,3.48,-18.5,23,4.03,2.95,-30.91,3.4,-20.37
CYTK,2010-02-03,Y,2.99,3.12,3.23,3.05,8.02,3.11,4.01,16,3.23,2.87,8.02,3.11,4.01
CYTK,2010-04-29,Y,3.17,3.17,3.3,3.14,4.1,3.22,1.57,22,3.33,2.61,-17.66,2.76,-12.93
CYTK,2010-07-28,Y,2.68,2.71,2.76,2.64,2.98,2.71,1.11,23,2.94,2.02,-24.62,2.13,-20.52
CYTK,2010-10-28,Y,2.68,2.66,2.66,2.6,-2.98,2.64,-1.49,22,2.66,2.15,-19.77,2.22,-17.16
CYTK,2011-02-14,Y,1.83,1.83,1.83,1.66,-9.28,1.67,-8.74,4,1.83,1.47,-19.67,1.52,-16.93
CYTK,2011-04-27,Y,1.48,1.52,1.52,1.47,2.7,1.5,1.35,23,1.59,1.35,-8.78,1.37,-7.43
CYTK,2011-07-28,Y,1.23,1.23,1.28,1.2,4.06,1.26,2.43,22,1.3,0.89,-27.64,1.01,-17.88
CYTK,2011-10-27,Y,1.15,1.14,1.25,1.13,7.75,1.18,1.72,22,1.25,0.89,-23.27,1.0,-13.79
CYTK,2012-02-02,Y,1.08,1.1,1.1,1.05,-2.77,1.08,,15,1.22,1.04,12.96,1.06,-1.85
CYTK,2012-04-26,Y,1.04,1.04,1.07,1.01,2.88,1.04,,22,1.08,0.85,-18.26,0.9,-13.46
CYTK,2012-07-31,Y,0.69,0.73,0.73,0.66,5.79,0.66,-4.34,17,0.8,0.62,15.94,0.79,14.49
CYTK,2012-10-30,Y,0.66,0.69,0.7,0.64,6.06,0.7,6.06,17,0.7,0.56,-13.63,0.64,-3.03
CYTK,2013-02-05,Y,1.17,1.15,1.17,1.09,-6.83,1.12,-4.27,10,1.17,1.0,-14.52,1.04,-11.11
CYTK,2013-04-30,Y,1.28,1.3,1.31,1.23,-3.9,1.23,-3.9,17,1.31,1.03,-19.53,1.2,-6.25
CYTK,2013-07-31,Y,12.44,12.36,12.83,11.36,-8.68,11.5,-7.55,16,12.83,9.76,-21.54,10.07,-19.05
CYTK,2013-10-30,Y,6.23,6.26,6.46,6.01,3.69,6.01,-3.53,16,6.87,5.99,10.27,6.69,7.38
CYTK,2014-02-06,Y,6.9,7.43,9.24,7.22,33.91,8.69,26.08,15,10.19,7.22,47.68,10.01,45.07
CYTK,2014-05-06,Y,4.43,4.41,4.44,4.09,-7.67,4.15,-6.32,10,4.73,3.96,-10.6,4.68,5.86
CYTK,2014-07-30,Y,4.16,4.19,4.44,4.17,6.73,4.23,1.68,16,4.63,4.08,11.29,4.51,8.65
CYTK,2014-10-30,Y,3.8,3.9,3.9,3.56,-6.31,3.67,-3.42,23,4.59,3.53,20.78,4.42,16.31
CYTK,2015-02-12,Y,6.49,7.43,7.95,7.34,22.49,7.78,19.87,8,8.61,7.34,32.66,7.94,22.34
CYTK,2015-04-30,Y,6.29,6.08,6.2,5.5,-12.55,5.65,-10.17,15,6.86,5.5,-12.55,5.96,-5.24
CYTK,2015-07-29,Y,7.06,6.99,6.99,6.01,-14.87,6.09,-13.73,23,7.12,5.9,-16.43,6.54,-7.36
CYTK,2015-10-29,Y,8.86,8.76,8.85,8.02,-9.48,8.61,-2.82,22,12.5,8.02,41.08,11.19,26.29
CYTK,2016-02-16,Y,7.06,7.21,7.21,6.54,-7.36,6.79,-3.82,3,7.21,6.39,-9.49,6.77,-4.1
CYTK,2016-04-28,Y,8.26,8.23,8.33,7.99,-3.26,8.14,-1.45,22,8.52,7.18,-13.07,7.65,-7.38
CYTK,2016-07-28,Y,9.94,10.01,11.16,9.86,12.16,11.12,11.75,22,12.38,9.86,24.42,11.77,18.29
CYTK,2016-10-27,Y,8.83,9.75,10.95,9.02,24.0,9.74,10.3,22,11.7,8.85,32.5,11.1,25.7
CYTK,2017-02-16,Y,11.3,11.9,11.94,10.55,-6.63,11.25,-0.44,1,11.94,10.55,-6.63,11.25,-0.44
CYTK,2017-04-27,Y,17.0,15.95,16.6,15.0,-11.76,16.39,-3.52,22,16.7,13.85,-18.52,14.2,-16.47
CYTK,2017-08-02,Y,15.0,14.95,14.98,13.08,-12.8,13.5,-10.0,16,14.98,11.78,-21.46,12.5,-16.66
CYTK,2017-10-26,Y,12.8,13.15,14.55,12.9,13.67,14.25,11.32,22,14.55,10.85,-15.23,11.8,-7.81
CYTK,2018-02-15,Y,8.65,8.35,8.55,7.5,-13.29,8.03,-7.16,1,8.55,7.5,-13.29,8.03,-7.16
CYTK,2018-04-26,Y,7.7,7.75,8.7,7.7,12.98,8.65,12.33,22,9.45,7.7,22.72,9.15,18.83
CYTK,2018-07-26,Y,7.9,8.15,8.15,7.15,-9.49,7.45,-5.69,22,8.15,6.21,-21.39,7.2,-8.86
CYTK,2018-11-01,Y,6.93,7.0,7.59,6.84,9.52,7.4,6.78,15,7.7,6.02,-13.13,6.75,-2.59
CYTK,2019-02-21,Y,7.21,7.33,7.4,7.18,2.63,7.28,0.97,22,7.89,5.75,-20.24,7.79,8.04
CYTK,2019-05-09,Y,9.01,8.88,10.39,8.79,15.31,10.07,11.76,8,11.33,8.79,25.74,10.41,15.53
CYTK,2019-08-08,Y,13.63,13.31,14.25,12.25,-10.12,13.51,-0.88,8,14.25,12.25,-10.12,13.26,-2.71
CYTK,2019-10-31,Y,11.65,11.7,12.44,10.93,6.78,11.19,-3.94,15,12.44,7.72,-33.73,8.18,-29.78
CYTK,2020-03-03,Y,14.57,14.8,16.15,13.63,10.84,14.86,1.99,17,16.15,8.0,-45.09,9.55,-34.45
CYTK,2020-05-06,Y,16.63,16.01,16.49,14.89,-10.46,15.73,-5.41,9,22.99,14.89,38.24,21.64,30.12
CYTK,2020-08-06,Y,21.64,21.01,22.0,21.0,-2.95,21.51,-0.6,15,25.08,21.0,15.89,24.24,12.01
CYTK,2020-11-04,Y,18.0,18.01,18.39,17.22,-4.33,17.57,-2.38,16,18.39,15.17,-15.72,15.99,-11.16
CYTK,2021-02-25,Y,19.85,19.51,20.36,18.34,-7.6,18.73,-5.64,22,25.82,18.0,30.07,24.86,25.23
CYTK,2021-05-06,Y,23.37,23.01,24.65,22.86,5.47,24.23,3.67,15,26.18,22.78,12.02,23.05,-1.36
CYTK,2021-08-05,Y,30.24,29.51,32.49,29.17,7.44,31.82,5.22,15,32.97,29.17,9.02,30.56,1.05
CYTK,2021-11-03,Y,36.67,36.99,39.75,36.49,8.39,38.97,6.27,16,42.87,36.49,16.9,40.86,11.42
CYTK,2022-02-24,Y,33.95,33.73,35.35,32.56,4.12,35.02,3.15,22,38.89,32.56,14.55,37.32,9.92
CYTK,2022-05-04,Y,41.03,41.33,42.37,39.31,-4.19,40.34,-1.68,16,44.85,34.5,-15.91,39.76,-3.09
CYTK,2022-08-04,Y,46.72,46.69,52.69,45.14,12.77,51.82,10.91,15,54.74,45.14,17.16,50.68,8.47
CYTK,2022-11-03,Y,39.75,39.02,40.4,36.38,-8.47,37.75,-5.03,15,41.5,35.67,-10.26,41.14,3.49
CYTK,2023-03-01,Y,43.11,41.57,42.32,39.5,-8.37,39.6,-8.14,16,42.76,34.4,-20.2,35.33,-18.04
