Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DCPH,2018-11-06,Y,20.57,20.83,21.96,20.83,6.75,21.69,5.44,10,24.25,19.06,17.89,22.75,10.59
DCPH,2019-03-27,N,24.51,24.55,24.55,23.2,-5.34,23.9,-2.48,23,24.55,21.78,-11.13,23.45,-4.32
DCPH,2019-05-07,Y,22.51,22.61,24.18,22.05,7.41,24.05,6.84,10,24.57,22.05,9.15,23.89,6.13
DCPH,2020-03-09,Y,47.19,47.0,50.0,45.02,5.95,49.99,5.93,11,50.0,33.1,-29.85,37.16,-21.25
DCPH,2020-05-05,Y,57.15,57.55,57.98,54.7,-4.28,55.29,-3.25,10,57.98,46.06,-19.4,51.74,-9.46
DCPH,2020-08-04,Y,48.53,49.59,50.33,47.52,3.7,48.4,-0.26,17,50.33,43.02,-11.35,43.8,-9.74
DCPH,2020-11-05,Y,64.94,61.4,65.83,60.05,-7.53,60.39,-7.0,15,68.4,60.05,-7.53,62.12,-4.34
DCPH,2021-02-09,Y,48.32,52.35,52.35,49.0,8.34,50.06,3.6,10,52.35,44.14,-8.65,44.46,-7.98
DCPH,2021-05-04,Y,43.29,41.72,42.46,36.05,-16.72,37.02,-14.48,17,42.46,31.77,-26.61,33.03,-23.7
DCPH,2021-08-03,Y,29.52,28.74,33.95,28.74,15.0,32.63,10.53,17,33.95,26.2,15.0,26.63,-9.78
DCPH,2021-11-02,Y,35.1,33.02,37.99,33.02,8.23,37.13,5.78,17,37.99,8.31,-76.32,8.5,-75.78
DCPH,2022-02-08,Y,8.16,8.4,9.73,8.03,19.24,9.41,15.31,10,9.92,7.95,21.56,8.01,-1.83
DCPH,2022-05-04,N,10.55,10.67,10.8,9.72,-7.86,10.77,2.08,17,11.87,9.01,-14.59,11.84,12.22
DCPH,2022-08-04,N,13.57,13.35,16.97,13.35,25.05,16.81,23.87,16,17.33,13.35,27.7,14.83,9.28
DCPH,2022-11-03,N,16.64,15.98,17.77,15.44,-7.21,16.43,-1.26,16,17.77,15.05,-9.55,15.96,-4.08
DCPH,2023-02-07,N,16.71,16.54,17.16,16.15,-3.35,16.58,-0.77,11,17.16,14.47,-13.4,14.84,-11.19
