Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DE,2002-02-12,N,22.25,22.48,22.82,22.15,2.56,22.4,0.67,3,23.14,22.15,4.0,22.52,1.21
DE,2002-02-25,N,23.46,23.68,24.44,23.52,4.17,24.35,3.79,18,24.99,23.08,6.52,23.95,2.08
DE,2002-04-24,N,21.48,21.5,21.98,21.05,2.32,21.05,-2.0,23,24.2,20.82,12.66,23.5,9.4
DE,2002-05-14,N,21.26,22.72,23.29,22.4,9.54,22.85,7.47,3,24.2,22.4,13.82,23.5,10.53
DE,2002-07-29,N,20.98,21.35,21.65,20.92,3.19,21.51,2.52,18,23.67,19.75,12.82,23.06,9.91
DE,2002-08-13,N,21.01,22.5,23.67,22.4,12.66,23.1,9.94,3,23.67,22.4,12.66,23.06,9.75
DE,2002-10-29,N,23.02,23.02,23.16,22.45,-2.47,23.02,,17,24.82,22.45,7.81,23.96,4.08
DE,2002-11-19,N,24.03,24.5,25.02,23.66,4.11,24.95,3.82,31,25.8,22.52,7.36,23.78,-1.04
DE,2003-02-11,N,20.25,20.38,21.1,20.58,4.19,20.9,3.2,10,21.86,20.3,7.95,21.36,5.48
DE,2003-02-25,N,20.7,20.82,20.88,20.25,-2.17,20.88,0.86,24,21.9,18.78,-9.27,21.54,4.05
DE,2003-04-24,N,21.51,21.4,21.75,21.34,1.11,21.42,-0.41,22,22.75,21.06,5.76,22.2,3.2
DE,2003-05-13,N,22.35,22.84,22.75,21.42,-4.16,22.09,-1.16,3,22.75,21.42,-4.16,22.2,-0.67
DE,2003-07-29,N,24.7,24.9,25.15,24.75,1.82,25.05,1.41,17,27.85,24.12,12.75,27.54,11.49
DE,2003-08-12,N,25.49,26.2,26.78,25.3,5.06,26.76,4.98,3,27.85,25.3,9.25,27.54,8.04
DE,2003-10-28,N,28.6,28.88,29.16,28.48,1.95,29.14,1.88,24,31.9,28.48,11.53,29.82,4.26
DE,2003-11-25,N,30.1,30.75,31.55,30.62,4.81,30.72,2.05,24,33.7,30.22,11.96,33.54,11.46
DE,2004-02-17,N,32.0,34.0,33.9,33.1,5.93,33.32,4.12,3,33.9,32.35,5.93,32.65,2.06
DE,2004-04-29,Y,33.84,34.0,34.54,33.57,2.06,34.02,0.53,22,34.82,31.0,-8.39,31.45,-7.06
DE,2004-08-03,Y,31.24,31.16,31.36,30.81,-1.37,31.03,-0.67,17,31.83,28.61,-8.41,30.77,-1.5
DE,2004-10-27,Y,30.21,30.1,30.1,29.68,-1.75,29.85,-1.19,23,35.64,29.68,17.97,34.63,14.63
DE,2004-11-23,N,34.36,35.61,35.75,34.64,4.04,35.1,2.15,24,36.76,34.11,6.98,36.51,6.25
DE,2005-02-15,N,34.68,33.85,34.0,32.82,-5.36,33.04,-4.7,3,34.0,32.7,-5.7,33.28,-4.03
DE,2005-04-28,Y,30.67,30.9,31.34,30.64,2.18,31.27,1.95,22,32.58,29.35,6.22,32.22,5.05
DE,2005-07-27,Y,36.29,36.49,36.74,36.22,1.21,36.71,1.12,23,36.99,32.0,-11.84,32.47,-10.52
DE,2005-10-26,Y,29.57,29.57,29.66,29.01,-1.89,29.08,-1.65,23,32.2,29.01,8.89,31.55,6.69
DE,2005-11-22,Y,33.7,33.47,33.96,33.32,-1.12,33.9,0.59,24,35.46,33.32,5.22,35.01,3.88
DE,2006-02-14,N,36.9,36.74,37.67,35.85,-2.84,37.34,1.19,3,38.11,35.85,3.27,38.1,3.25
DE,2006-03-03,N,38.82,38.83,39.32,38.38,1.28,39.18,0.92,14,39.68,36.84,-5.1,39.2,0.97
DE,2006-04-28,N,42.94,42.94,43.95,42.68,2.35,43.89,2.21,21,45.99,41.12,7.1,42.08,-2.0
DE,2006-05-16,N,43.76,43.78,45.42,43.7,3.79,44.66,2.05,3,45.42,41.12,-6.03,42.08,-3.83
DE,2006-07-28,N,36.28,36.28,37.08,36.06,2.2,36.96,1.87,21,37.32,33.45,-7.8,36.36,0.22
DE,2006-08-15,N,34.34,33.74,35.04,33.45,-2.59,34.5,0.46,3,36.7,33.45,6.87,36.36,5.88
DE,2006-10-27,N,44.2,43.9,44.2,43.41,-1.78,43.5,-1.58,21,45.46,41.63,-5.81,45.18,2.21
DE,2006-11-21,N,44.7,43.26,47.77,43.26,6.86,47.64,6.57,24,50.7,43.26,13.42,47.79,6.91
DE,2007-02-14,Y,55.96,56.26,57.0,55.51,1.85,56.76,1.42,2,57.14,55.51,2.1,56.96,1.78
DE,2007-03-16,Y,55.02,55.44,56.88,55.39,3.38,56.4,2.5,35,57.79,51.58,-6.25,55.78,1.38
DE,2007-05-16,Y,59.2,59.38,59.42,58.35,-1.43,58.78,-0.7,2,59.42,57.78,-2.39,58.26,-1.58
DE,2007-08-15,N,58.54,60.38,63.46,59.67,8.4,60.3,3.0,2,63.46,56.96,8.4,62.3,6.42
DE,2007-11-21,Y,76.03,77.5,78.31,76.52,2.99,78.31,3.01,30,90.95,76.52,19.62,89.83,18.15
DE,2008-02-13,Y,85.54,86.64,87.79,85.26,2.63,86.34,0.93,2,87.79,83.74,2.63,85.0,-0.63
DE,2008-05-14,Y,81.25,82.2,83.69,81.63,3.0,83.61,2.9,2,84.14,81.63,3.55,83.53,2.8
DE,2008-08-13,Y,67.09,67.66,68.04,66.55,1.4,66.9,-0.29,2,68.28,65.55,-2.3,66.65,-0.67
DE,2008-11-26,N,33.1,30.09,36.0,28.87,-12.77,35.76,8.03,23,41.53,28.87,25.46,39.38,18.97
DE,2009-02-18,N,33.49,32.54,33.75,31.7,-5.34,32.22,-3.76,2,33.75,28.34,-15.37,28.89,-13.73
DE,2009-05-20,N,43.82,44.52,47.5,44.0,8.39,44.33,1.16,30,47.66,39.15,-10.65,40.06,-8.58
DE,2009-08-19,N,45.09,43.22,44.36,42.61,-5.5,43.78,-2.9,2,45.11,42.61,-5.5,44.8,-0.64
DE,2009-11-25,N,52.29,51.68,54.15,51.27,3.55,53.7,2.69,23,55.4,51.27,5.94,54.83,4.85
DE,2010-02-17,Y,56.48,56.92,57.52,56.45,1.84,57.26,1.38,2,57.72,56.45,2.19,57.28,1.41
DE,2010-05-19,Y,58.87,57.04,58.56,56.35,-4.28,56.67,-3.73,2,59.05,55.23,-6.18,58.73,-0.23
DE,2010-08-18,Y,65.98,66.7,66.9,64.78,-1.81,65.7,-0.4,2,66.9,64.78,-1.81,65.13,-1.28
DE,2010-11-24,Y,76.23,75.69,76.3,75.26,-1.27,76.0,-0.3,23,83.39,74.06,9.39,81.55,6.97
DE,2011-02-16,N,93.62,97.2,97.36,94.02,3.99,95.86,2.39,2,97.36,93.84,3.99,95.0,1.47
DE,2011-05-18,N,86.96,86.0,86.67,84.65,-2.65,86.5,-0.52,2,87.73,84.27,-3.09,84.75,-2.54
DE,2011-08-17,N,75.16,73.45,75.48,73.0,-2.87,74.26,-1.19,2,75.48,68.89,-8.34,69.01,-8.18
DE,2011-11-23,N,71.92,75.56,75.98,73.59,5.64,74.72,3.89,23,79.7,73.23,10.81,73.65,2.4
DE,2012-02-15,N,89.05,87.19,87.64,84.04,-5.62,84.28,-5.35,2,87.64,82.52,-7.33,83.87,-5.81
DE,2012-05-16,N,76.62,76.48,76.73,74.05,-3.35,74.18,-3.18,2,76.73,71.86,-6.21,73.19,-4.47
DE,2012-08-15,N,80.13,76.11,76.14,73.75,-7.96,75.09,-6.27,2,77.0,73.75,-7.96,76.94,-3.98
DE,2012-11-21,N,85.99,83.16,84.33,82.06,-4.57,82.83,-3.67,30,87.15,82.06,-4.57,86.19,0.23
DE,2013-02-13,N,93.97,93.69,93.9,90.52,-3.67,90.68,-3.5,2,93.9,89.52,-4.73,89.75,-4.49
DE,2013-05-15,N,93.77,89.22,90.6,88.56,-5.55,89.64,-4.4,2,90.6,86.53,-7.72,86.97,-7.25
DE,2013-08-14,N,83.91,84.06,84.19,81.5,-2.87,82.34,-1.87,2,84.65,81.0,-3.46,84.11,0.23
DE,2013-11-20,N,82.81,85.3,85.49,84.18,3.23,84.52,2.06,30,90.19,82.2,8.91,90.08,8.77
DE,2014-02-12,N,87.46,86.92,87.95,86.05,-1.61,86.9,-0.64,9,87.95,84.2,-3.72,84.69,-3.16
DE,2014-05-14,N,93.61,92.49,93.22,91.05,-2.73,91.7,-2.04,2,93.22,90.49,-3.33,91.27,-2.49
DE,2014-08-13,N,86.48,85.51,86.98,84.37,-2.43,84.49,-2.3,2,86.98,83.5,-3.44,84.8,-1.94
DE,2014-11-26,N,87.79,85.74,87.94,84.41,-3.85,86.99,-0.91,24,90.51,84.41,-3.85,90.24,2.79
DE,2015-02-20,N,91.71,90.45,92.47,89.91,-1.96,92.43,0.78,0,92.47,89.91,-1.96,92.43,0.78
DE,2015-05-22,N,89.46,91.81,93.54,91.76,4.56,93.35,4.34,28,94.88,91.24,6.05,92.56,3.46
DE,2015-08-21,N,90.65,85.91,86.39,81.89,-9.66,83.29,-8.11,0,86.39,81.89,-9.66,83.29,-8.11
DE,2015-11-25,N,76.34,80.19,80.48,77.2,5.42,80.0,4.79,23,80.55,74.95,5.51,74.97,-1.79
DE,2016-02-19,N,80.33,76.65,78.36,76.5,-4.76,77.0,-4.14,0,78.36,76.5,-4.76,77.0,-4.14
DE,2016-05-20,N,82.25,80.8,80.95,77.5,-5.77,77.73,-5.48,0,80.95,77.5,-5.77,77.73,-5.48
DE,2016-08-19,N,76.94,79.51,88.09,79.37,14.49,87.32,13.49,0,88.09,79.37,14.49,87.32,13.49
DE,2016-11-23,N,92.01,99.53,102.5,98.57,11.4,102.17,11.04,23,104.83,98.57,13.93,101.76,10.59
DE,2017-02-17,N,109.17,111.77,112.16,107.78,2.73,110.27,1.0,0,112.16,107.78,2.73,110.27,1.0
DE,2017-05-19,N,112.67,120.37,122.24,119.0,8.49,120.9,7.3,1,122.24,119.0,8.49,120.9,7.3
DE,2017-08-18,N,123.98,115.43,118.41,112.87,-8.96,117.31,-5.37,1,118.41,112.87,-8.96,117.31,-5.37
DE,2017-11-22,N,139.23,145.53,146.0,142.36,4.86,145.25,4.32,24,153.34,142.36,10.13,150.87,8.36
DE,2018-02-16,N,166.81,165.1,174.57,161.37,5.06,168.77,1.57,1,175.26,162.01,5.06,169.44,1.57
DE,2018-05-18,N,146.81,146.5,157.1,146.11,7.0,155.25,5.74,1,157.1,146.11,7.0,155.25,5.74
DE,2018-08-17,N,137.35,134.18,142.39,132.32,3.66,140.59,2.35,1,142.39,132.32,3.66,140.59,2.35
DE,2018-11-21,N,138.52,136.56,146.48,136.56,5.74,141.88,2.42,31,164.37,136.56,18.66,144.64,4.41
DE,2019-02-15,N,162.42,159.47,163.4,157.31,-3.14,158.99,-2.11,1,163.4,157.31,-3.14,158.99,-2.11
DE,2019-05-17,N,145.99,140.0,141.37,133.17,-8.78,134.82,-7.65,1,141.37,133.17,-8.78,134.82,-7.65
DE,2019-08-16,N,143.71,143.78,150.99,141.25,5.06,149.23,3.84,1,150.99,141.25,5.06,149.23,3.84
DE,2019-11-27,N,176.65,168.5,172.37,167.05,-5.43,169.06,-4.29,24,176.58,162.04,-8.27,174.65,-1.13
DE,2020-02-21,N,165.83,177.91,181.99,176.0,9.74,177.43,6.99,1,181.99,176.0,9.74,177.43,6.99
DE,2020-05-22,N,142.81,148.0,148.41,138.76,3.92,140.71,-1.47,29,170.41,138.76,19.32,154.87,8.44
DE,2020-08-21,N,191.1,196.76,202.95,196.0,6.2,199.5,4.39,1,202.95,196.0,6.2,199.5,4.39
DE,2020-11-25,N,261.51,263.01,265.87,254.51,-2.67,256.43,-1.94,24,271.45,250.54,-4.19,270.7,3.51
DE,2021-02-19,N,300.25,320.0,335.21,315.87,11.64,330.0,9.9,1,335.21,315.87,11.64,330.0,9.9
DE,2021-05-21,N,355.22,357.8,368.39,352.17,3.7,359.75,1.27,1,368.39,352.17,3.7,359.75,1.27
DE,2021-08-20,N,358.98,363.0,367.17,344.76,-3.96,351.43,-2.1,1,367.17,344.76,-3.96,351.43,-2.1
DE,2021-11-24,N,349.28,359.27,374.64,358.83,7.26,367.86,5.31,24,374.64,338.02,7.26,347.03,-0.64
DE,2022-02-18,N,380.53,379.77,392.96,366.0,-3.81,369.1,-3.0,1,392.96,366.0,-3.81,369.1,-3.0
DE,2022-05-20,N,364.62,339.63,344.37,307.64,-15.62,313.31,-14.07,1,344.37,307.64,-15.62,313.31,-14.07
DE,2022-08-19,N,367.99,358.63,369.92,353.05,-4.05,369.66,0.45,1,369.92,353.05,-4.05,369.66,0.45
DE,2022-11-23,N,416.56,429.52,448.4,428.88,7.64,437.52,5.03,24,448.4,421.66,7.64,431.09,3.48
DE,2023-02-17,N,402.96,419.0,436.38,415.5,8.29,433.31,7.53,1,436.38,415.5,8.29,433.31,7.53
