Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DECK,2002-02-21,N,1.6,1.56,1.78,1.53,11.24,1.65,3.12,22,1.78,1.53,11.24,1.71,6.87
DECK,2002-04-25,N,1.81,1.81,1.9,1.73,-4.94,1.83,0.54,22,1.93,1.5,-17.58,1.5,-17.58
DECK,2002-07-25,N,1.46,1.46,1.55,1.45,6.16,1.54,5.47,22,1.63,1.4,11.64,1.59,8.9
DECK,2002-10-24,N,1.09,1.05,1.09,1.02,-6.42,1.08,-0.91,22,1.33,1.02,22.01,1.17,7.33
DECK,2003-02-27,N,1.5,1.53,1.65,1.53,9.99,1.65,9.99,22,1.65,1.28,-14.66,1.35,-9.99
DECK,2003-04-24,N,1.55,1.63,2.14,1.61,38.06,2.02,30.32,22,2.27,1.61,47.09,2.04,32.25
DECK,2003-07-24,N,2.2,2.33,2.41,2.27,9.54,2.31,5.45,22,3.15,2.27,43.18,3.05,38.63
DECK,2003-10-22,Y,4.8,4.57,4.8,4.57,-4.79,4.78,-0.41,30,5.67,4.12,18.12,5.67,18.12
DECK,2004-02-26,N,8.08,8.49,8.97,8.08,11.01,8.96,10.89,22,9.27,7.46,14.72,8.49,5.07
DECK,2004-04-15,N,9.42,9.88,10.07,9.46,6.9,9.69,2.86,1,10.19,9.46,8.17,9.94,5.52
DECK,2004-07-22,N,9.49,9.98,10.01,8.52,-10.22,9.24,-2.63,29,10.7,8.52,12.75,9.85,3.79
DECK,2004-10-21,N,11.8,12.39,12.8,11.14,8.47,12.64,7.11,29,14.33,11.14,21.44,13.44,13.89
DECK,2005-02-24,N,13.66,14.97,15.13,13.1,10.76,13.72,0.43,22,15.13,12.55,10.76,12.95,-5.19
DECK,2005-04-21,Y,8.52,8.58,8.86,8.42,3.99,8.58,0.7,29,8.86,6.94,-18.54,7.33,-13.96
DECK,2005-07-21,N,8.93,10.0,10.0,8.49,11.98,9.18,2.79,29,10.0,8.36,11.98,8.44,-5.48
DECK,2005-10-27,Y,7.08,5.68,6.28,5.67,-19.91,5.99,-15.39,22,6.65,5.64,-20.33,6.62,-6.49
DECK,2006-02-28,Y,11.3,11.8,12.42,11.8,9.91,12.24,8.31,17,12.55,11.43,11.06,12.11,7.16
DECK,2006-04-27,Y,14.02,13.42,14.5,13.42,-4.27,14.23,1.49,22,14.5,11.68,-16.69,12.26,-12.55
DECK,2006-07-27,Y,12.38,12.96,14.61,12.83,18.01,14.44,16.63,22,15.08,12.83,21.8,14.57,17.68
DECK,2006-10-26,Y,16.47,17.59,18.32,17.46,11.23,17.96,9.04,22,18.79,17.0,14.08,18.18,10.38
DECK,2007-02-27,Y,20.48,21.78,22.15,21.47,8.15,21.73,6.1,17,23.58,20.7,15.13,23.3,13.76
DECK,2007-04-26,Y,24.26,23.73,25.91,23.73,6.8,25.6,5.52,22,27.27,23.73,12.4,27.08,11.62
DECK,2007-07-26,Y,31.52,33.33,36.63,33.33,16.21,35.93,13.99,22,37.83,27.84,20.01,29.78,-5.52
DECK,2007-10-25,Y,37.7,47.22,48.25,43.74,27.98,48.07,27.5,22,49.23,38.11,30.58,42.95,13.92
DECK,2008-02-28,Y,42.15,39.27,40.6,36.43,-13.57,36.88,-12.5,22,40.6,29.96,-28.92,35.29,-16.25
DECK,2008-04-24,Y,39.15,44.98,47.63,44.06,21.66,47.59,21.55,22,48.87,44.06,24.82,46.93,19.87
DECK,2008-08-07,Y,38.39,36.94,40.59,36.09,-5.99,40.54,5.6,8,42.65,36.09,11.09,41.7,8.62
DECK,2008-10-23,Y,26.15,22.0,25.67,21.91,-16.21,24.58,-6.0,29,29.09,15.42,-41.03,18.0,-31.16
DECK,2009-02-26,Y,17.66,15.23,15.33,13.42,-24.0,13.76,-22.08,22,17.21,12.41,-29.72,16.07,-8.94
DECK,2009-04-23,Y,21.27,20.51,21.31,19.54,-8.13,19.82,-6.81,22,21.31,16.23,-23.69,16.28,-23.46
DECK,2009-07-23,Y,25.74,22.34,23.5,21.83,-15.19,23.09,-10.29,29,24.27,21.28,-17.32,23.27,-9.59
DECK,2009-10-22,Y,30.58,31.21,33.24,31.05,8.69,32.39,5.91,29,33.51,29.34,9.58,31.91,4.34
DECK,2010-02-25,Y,35.39,38.47,40.49,38.02,14.41,40.07,13.22,22,45.64,38.02,28.96,44.34,25.28
DECK,2010-04-22,Y,47.88,50.88,52.82,49.86,10.31,52.4,9.44,29,52.82,40.76,-14.87,44.57,-6.91
DECK,2010-07-22,Y,47.61,47.56,49.2,46.24,3.33,48.65,2.18,29,53.65,44.51,12.68,47.44,-0.35
DECK,2010-10-28,Y,53.99,57.05,58.9,57.05,9.09,58.1,7.61,22,67.7,55.75,25.39,66.81,23.74
DECK,2011-02-24,Y,89.8,94.0,94.7,87.41,5.45,88.3,-1.67,22,94.7,78.0,-13.14,78.79,-12.26
DECK,2011-04-28,Y,94.45,87.19,89.67,84.85,-10.16,84.86,-10.15,22,92.73,82.38,-12.77,89.01,-5.75
DECK,2011-07-28,Y,92.6,90.5,99.48,87.47,7.42,99.25,7.18,22,105.15,72.78,-21.4,73.28,-20.86
DECK,2011-10-27,Y,106.18,110.77,117.94,109.54,11.07,117.66,10.81,22,118.9,98.36,11.97,100.14,-5.68
DECK,2012-02-23,Y,90.21,80.94,81.0,77.23,-14.38,77.72,-13.84,22,81.0,65.4,-27.5,67.91,-24.72
DECK,2012-04-26,Y,69.45,56.58,56.65,51.03,-26.53,51.83,-25.38,22,56.65,50.18,-27.75,53.22,-23.38
