Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DERM,2014-11-12,Y,16.25,16.25,16.35,15.62,-3.87,16.23,-0.06,10,17.32,15.5,6.58,16.6,2.15
DERM,2015-03-25,Y,14.65,15.65,16.2,15.25,10.58,15.93,8.73,23,16.2,14.75,10.58,15.03,2.59
DERM,2015-05-12,Y,14.99,14.94,14.99,14.75,-1.6,14.92,-0.46,3,15.1,14.75,-1.6,14.97,-0.13
DERM,2015-08-11,Y,24.93,24.81,25.9,24.14,3.89,25.05,0.48,10,26.39,23.26,-6.69,24.15,-3.12
DERM,2016-03-03,Y,21.8,21.71,23.27,21.64,6.74,22.59,3.62,15,23.27,17.42,-20.09,19.88,-8.8
DERM,2016-05-10,Y,28.69,28.73,29.31,27.97,-2.5,28.14,-1.91,10,32.07,26.48,11.78,30.87,7.59
DERM,2016-08-08,Y,31.36,31.29,32.08,30.65,2.29,31.09,-0.86,11,32.49,30.44,3.6,32.0,2.04
DERM,2016-11-07,Y,29.62,29.69,30.93,27.92,-5.73,30.57,3.2,11,36.34,27.92,22.68,33.6,13.43
DERM,2017-02-28,Y,33.69,34.28,36.68,32.07,8.87,34.32,1.86,17,38.75,32.07,15.01,34.14,1.33
DERM,2017-05-10,Y,27.27,26.9,26.9,25.82,-5.31,26.41,-3.15,9,28.89,25.82,5.94,28.01,2.71
DERM,2017-11-06,Y,28.91,27.57,28.16,26.03,-9.96,26.79,-7.33,11,28.16,23.3,-19.4,24.44,-15.46
DERM,2018-02-22,Y,26.74,26.9,27.58,25.36,-5.16,26.18,-2.09,22,27.83,8.54,-68.06,9.1,-65.96
DERM,2018-05-07,Y,10.14,10.15,10.4,9.94,2.56,10.34,1.97,11,11.84,9.93,16.76,10.8,6.5
DERM,2018-08-06,Y,10.14,10.11,10.63,9.69,4.83,9.99,-1.47,11,10.63,9.3,-8.28,9.61,-5.22
DERM,2018-11-07,Y,12.5,12.62,12.62,10.5,-16.0,11.88,-4.95,9,12.62,9.21,-26.31,9.71,-22.31
DERM,2019-02-26,Y,7.78,7.83,9.06,7.81,16.45,8.13,4.49,17,9.6,6.74,23.39,6.84,-12.08
DERM,2019-05-07,Y,10.5,10.51,11.4,10.07,8.57,11.2,6.66,10,11.4,9.92,8.57,10.5,0.0
DERM,2019-08-07,Y,7.99,9.4,9.4,8.12,17.64,8.79,10.01,9,9.4,7.85,17.64,8.23,3.0
