Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DESP,2017-11-16,Y,28.65,29.47,30.0,27.25,-6.55,28.5,-2.26,343,36.56,14.8,-48.34,15.62,-45.47
DESP,2018-11-08,N,16.65,15.0,16.78,14.7,-11.71,15.91,-4.44,9,16.78,14.7,-11.71,15.7,-5.7
DESP,2019-03-07,N,17.92,18.75,18.75,17.03,-4.96,17.53,-2.17,9,18.75,16.25,-9.31,16.44,-8.25
DESP,2019-05-09,N,14.17,14.38,14.73,13.51,-4.65,13.57,-4.23,9,14.73,12.73,-10.16,12.75,-10.02
DESP,2019-08-08,N,13.1,12.8,14.18,12.56,8.24,13.78,5.19,9,14.83,9.9,-24.42,10.57,-19.31
DESP,2020-03-05,N,12.0,12.24,12.24,11.01,-8.25,11.19,-6.75,16,12.24,5.08,-57.66,7.0,-41.66
DESP,2020-05-04,N,6.68,6.35,6.41,5.66,-15.26,5.86,-12.27,14,6.41,4.66,-30.23,5.55,-16.91
DESP,2020-08-21,N,8.28,7.9,8.47,7.67,-7.36,8.44,1.93,1,8.47,7.67,-7.36,8.44,1.93
DESP,2020-11-12,N,9.64,9.57,9.57,8.64,-10.37,8.73,-9.43,9,11.04,8.64,14.52,10.71,11.09
DESP,2021-03-11,N,12.79,13.62,14.94,13.28,16.81,14.74,15.24,9,17.66,13.28,38.07,16.74,30.88
DESP,2021-05-19,N,12.62,12.33,12.73,12.05,-4.51,12.55,-0.55,3,13.19,12.05,4.51,13.11,3.88
DESP,2021-08-19,N,10.96,12.09,12.7,11.01,15.87,11.24,2.55,2,12.7,10.97,15.87,11.3,3.1
DESP,2021-11-17,N,11.13,11.84,12.56,11.29,12.84,11.39,2.33,3,12.82,11.29,15.18,12.25,10.06
DESP,2022-03-10,N,11.22,10.64,12.09,10.64,7.75,11.47,2.22,9,12.2,10.64,8.73,11.64,3.74
DESP,2022-05-19,N,8.88,8.98,9.33,8.73,5.06,8.94,0.67,2,9.33,8.73,5.06,8.79,-1.01
DESP,2022-08-18,N,8.84,8.77,9.22,8.35,-5.54,8.74,-1.13,2,9.22,8.13,-8.03,8.27,-6.44
DESP,2022-11-17,N,6.18,6.0,6.12,5.3,-14.23,5.97,-3.39,2,6.12,5.3,-14.23,5.66,-8.41
DESP,2023-03-16,N,5.4,5.33,6.0,5.33,11.11,5.52,2.22,2,6.0,4.91,11.11,5.08,-5.92
