Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DFIN,2017-05-04,N,22.8,23.99,24.0,21.84,5.26,21.95,-3.72,16,24.0,21.4,-6.14,22.75,-0.21
DFIN,2017-08-02,N,23.29,22.81,23.1,21.58,-7.34,22.12,-5.02,17,23.1,19.72,-15.32,20.14,-13.52
DFIN,2017-11-02,N,21.12,19.6,20.77,18.98,-10.13,19.36,-8.33,16,20.77,18.06,-14.48,20.01,-5.25
DFIN,2018-02-28,N,20.02,19.21,19.75,17.25,-13.83,17.31,-13.53,17,19.75,16.5,-17.58,17.68,-11.68
DFIN,2018-05-02,N,18.62,18.85,19.72,18.75,5.9,19.26,3.43,17,19.72,16.67,-10.47,16.96,-8.91
DFIN,2018-08-02,N,20.72,19.95,20.23,18.52,-10.61,20.03,-3.33,16,20.23,17.69,-14.62,19.31,-6.8
DFIN,2018-11-07,N,15.77,18.0,18.0,16.55,14.14,17.48,10.84,10,18.0,16.15,14.14,16.79,6.46
DFIN,2019-02-27,N,16.14,15.0,15.29,13.61,-15.67,14.34,-11.15,17,15.29,13.61,-15.67,14.7,-8.92
DFIN,2019-05-02,N,15.09,15.17,15.88,15.17,5.23,15.73,4.24,16,16.2,13.66,-9.47,13.67,-9.41
DFIN,2019-08-01,Y,13.89,13.64,13.84,12.87,-7.34,13.5,-2.8,15,13.84,10.62,-23.54,11.11,-20.01
DFIN,2020-02-26,N,8.4,10.65,10.65,9.1,26.78,9.19,9.4,24,10.65,4.92,-41.42,5.33,-36.54
DFIN,2020-05-07,N,6.96,7.66,8.5,7.37,22.12,7.78,11.78,9,8.5,5.94,22.12,6.68,-4.02
DFIN,2020-08-05,N,9.85,10.74,12.12,10.5,23.04,11.71,18.88,17,12.78,10.5,29.74,10.57,7.3
DFIN,2020-11-04,N,14.04,14.12,14.59,13.63,3.91,14.0,-0.28,17,16.09,13.63,14.6,15.24,8.54
DFIN,2021-02-25,N,22.71,22.7,24.89,22.6,9.59,23.95,5.46,23,30.24,22.6,33.15,28.76,26.64
DFIN,2021-05-05,N,30.65,33.3,33.3,30.07,8.64,30.1,-1.79,17,33.3,24.67,-19.51,29.68,-3.16
DFIN,2021-08-04,N,31.7,31.5,32.05,30.61,-3.43,31.59,-0.34,17,35.73,30.53,12.71,31.23,-1.48
DFIN,2021-11-03,N,39.58,40.95,43.84,40.93,10.76,42.69,7.85,17,52.33,40.93,32.21,46.16,16.62
DFIN,2022-02-22,N,32.79,32.83,34.34,32.5,4.72,33.31,1.58,28,35.97,29.63,9.69,35.37,7.86
DFIN,2022-05-05,N,30.87,29.92,30.05,27.45,-11.07,27.51,-10.88,16,30.05,24.6,-20.31,29.34,-4.95
DFIN,2022-08-03,N,33.6,37.0,41.62,37.0,23.86,39.57,17.76,17,44.52,37.0,32.5,42.15,25.44
