Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DKS,2002-03-21,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
DKS,2002-05-23,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
DKS,2002-08-22,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
DKS,2002-11-20,N,4.49,4.51,4.51,4.45,-0.89,4.46,-0.66,30,5.79,4.45,28.95,4.9,9.13
DKS,2003-03-13,N,5.51,5.56,5.64,5.17,-6.17,5.36,-2.72,8,5.78,5.17,-6.17,5.78,4.9
DKS,2003-03-20,N,5.74,5.71,5.72,5.61,-2.26,5.64,-1.74,1,5.78,5.4,-5.92,5.78,0.69
DKS,2003-05-22,Y,7.64,7.68,7.92,7.42,3.66,7.55,-1.17,29,8.72,6.57,14.13,8.32,8.9
DKS,2003-08-21,N,10.11,10.06,9.73,9.25,-8.59,9.32,-7.9,29,9.73,8.41,-16.89,9.19,-9.18
DKS,2003-11-18,N,11.06,11.25,11.81,11.25,6.78,11.74,6.14,3,12.35,11.25,11.66,12.26,10.84
DKS,2003-11-20,Y,11.94,11.99,12.35,11.99,3.43,12.26,2.68,1,12.35,11.99,3.43,12.26,2.68
DKS,2004-03-11,N,14.3,13.89,13.89,13.89,2.86,13.89,-2.86,8,14.26,13.39,-6.36,13.48,-5.73
DKS,2004-03-18,Y,13.66,13.68,13.68,13.39,-1.97,13.48,-1.31,1,13.68,13.39,-1.97,13.48,-1.31
DKS,2004-05-18,N,13.26,12.75,13.22,12.32,-7.08,13.0,-1.96,3,13.22,12.0,-9.5,12.68,-4.37
DKS,2004-05-20,Y,12.0,12.62,12.85,12.6,7.08,12.68,5.66,1,12.85,12.6,7.08,12.68,5.66
DKS,2004-08-17,N,14.08,15.25,16.59,15.25,17.82,16.0,13.63,3,16.6,15.25,17.89,16.2,15.05
DKS,2004-11-18,N,18.42,18.42,18.78,17.22,-6.51,17.97,-2.44,1,18.78,17.22,-6.51,17.86,-3.04
DKS,2005-03-07,Y,17.5,17.0,17.8,17.0,-2.85,17.64,0.85,11,18.66,17.0,6.62,17.92,2.4
DKS,2005-05-17,N,17.04,18.12,18.12,17.55,6.33,17.94,5.28,3,18.5,17.55,8.56,18.19,6.74
DKS,2005-08-16,N,19.62,17.5,17.6,16.44,-16.2,16.45,-16.15,3,17.6,15.92,-18.85,16.32,-16.81
DKS,2005-11-15,N,15.38,16.07,16.98,15.75,10.4,16.88,9.75,3,17.38,15.75,13.0,17.16,11.57
DKS,2006-03-07,N,19.3,19.3,19.5,18.35,-4.97,18.98,-1.65,10,20.05,18.35,-4.97,19.98,3.46
DKS,2006-05-16,N,21.1,21.12,21.42,20.6,-2.36,20.76,-1.61,3,21.42,19.35,-8.29,19.46,-7.77
DKS,2006-08-15,N,19.76,20.5,20.6,19.68,4.25,20.13,1.87,3,20.88,19.68,5.66,20.7,4.75
DKS,2006-11-13,Y,24.46,26.22,27.26,26.12,11.44,27.1,10.79,4,28.12,26.12,14.96,27.78,13.57
DKS,2007-03-13,N,26.94,27.48,28.22,27.11,4.75,27.22,1.03,3,28.22,26.71,4.75,27.49,2.04
DKS,2007-05-23,N,27.08,27.0,29.08,26.93,7.38,27.55,1.73,23,29.08,26.14,7.38,27.51,1.58
DKS,2007-08-21,N,27.79,27.79,30.42,28.89,9.46,30.22,8.74,31,36.78,28.89,32.34,34.64,24.64
DKS,2007-11-20,N,29.01,31.4,31.99,29.78,10.27,30.54,5.27,31,32.77,27.48,12.96,28.5,-1.75
DKS,2008-03-11,N,25.69,25.94,26.33,23.81,-7.31,25.36,-1.28,10,28.08,23.81,9.3,27.86,8.44
DKS,2008-05-22,N,26.54,23.01,23.17,21.03,-20.76,22.25,-16.16,29,23.96,20.77,-21.74,20.91,-21.21
DKS,2008-08-21,Y,20.92,20.27,22.35,20.05,6.83,22.23,6.26,29,27.0,20.05,29.06,23.37,11.71
DKS,2008-11-20,N,9.56,9.46,10.4,9.46,8.78,9.63,0.73,1,10.4,9.21,8.78,10.01,4.7
DKS,2009-02-05,Y,11.26,12.12,13.81,12.12,22.64,13.15,16.78,15,13.81,11.27,22.64,12.36,9.76
DKS,2009-03-10,N,10.93,11.0,12.88,10.26,17.84,12.84,17.47,10,14.95,10.26,36.77,14.56,33.21
DKS,2009-05-19,N,19.78,19.59,20.56,18.23,-7.83,18.67,-5.61,31,20.56,15.7,-20.62,16.52,-16.48
DKS,2009-08-20,N,20.27,22.95,23.24,21.67,14.65,21.69,7.0,1,23.24,20.81,14.65,21.73,7.2
DKS,2009-11-19,N,24.82,21.97,23.08,21.75,-12.36,22.52,-9.26,1,23.08,21.34,-14.02,21.58,-13.05
DKS,2010-03-09,N,25.62,25.12,26.24,25.0,2.41,25.45,-0.66,10,26.76,25.0,4.44,26.0,1.48
DKS,2010-05-18,N,28.48,29.94,30.0,26.65,-6.42,27.5,-3.44,3,30.0,26.09,-8.39,27.56,-3.23
DKS,2010-08-19,N,27.32,26.55,27.5,26.25,-3.91,26.57,-2.74,1,27.5,26.25,-3.91,26.47,-3.11
DKS,2010-11-16,N,29.92,32.44,34.18,31.73,14.23,33.51,11.99,3,34.45,31.73,15.14,34.09,13.93
DKS,2011-03-08,N,37.67,39.59,40.26,39.0,6.87,39.94,6.02,10,41.32,38.4,9.68,39.08,3.74
DKS,2011-05-17,N,40.69,38.53,39.97,38.53,-5.3,39.42,-3.12,3,39.97,37.95,-6.73,39.17,-3.73
DKS,2011-08-16,N,32.92,31.26,33.09,31.02,-5.77,32.78,-0.42,3,33.93,30.21,-8.23,30.37,-7.74
DKS,2011-11-15,N,39.58,41.48,41.97,40.26,6.03,41.41,4.62,3,42.11,39.42,6.39,39.81,0.58
DKS,2012-03-06,N,45.57,45.0,47.42,44.8,4.05,46.89,2.89,10,48.46,44.8,6.34,47.45,4.12
DKS,2012-05-15,N,47.24,50.55,51.65,49.35,9.33,50.05,5.94,3,51.65,44.65,9.33,45.33,-4.04
DKS,2012-08-14,N,50.54,49.05,49.74,47.91,-5.2,48.59,-3.85,3,51.13,47.91,-5.2,51.0,0.91
DKS,2012-11-13,N,48.7,50.16,51.78,49.52,6.32,50.97,4.66,3,51.78,49.3,6.32,50.02,2.71
