Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DRIV,2002-01-29,Y,20.91,19.26,19.5,16.7,-20.13,17.73,-15.2,17,19.98,13.7,-34.48,15.04,-28.07
DRIV,2002-04-24,Y,4.86,5.12,5.54,4.86,13.99,5.05,3.9,23,6.35,4.25,30.65,6.35,30.65
DRIV,2002-07-24,Y,8.0,8.26,8.65,8.16,8.12,8.36,4.49,23,8.74,6.4,-19.99,7.61,-4.87
DRIV,2002-10-23,Y,9.96,9.25,10.19,9.11,-8.53,10.02,0.6,23,12.0,9.11,20.48,11.27,13.15
DRIV,2003-01-29,Y,12.1,12.95,13.03,12.28,7.68,12.32,1.81,23,13.03,10.4,-14.04,11.52,-4.79
DRIV,2003-04-23,Y,12.75,13.38,15.34,13.3,20.31,14.79,15.99,23,19.55,13.3,53.33,18.2,42.74
DRIV,2003-07-23,Y,21.83,21.61,22.5,18.93,-13.28,21.51,-1.46,23,23.05,18.93,-13.28,21.75,-0.36
DRIV,2003-10-22,Y,29.82,25.61,28.43,25.3,-15.15,26.6,-10.79,30,30.27,21.1,-29.24,22.49,-24.58
DRIV,2004-01-28,Y,25.44,24.25,24.47,22.3,-12.34,22.86,-10.14,23,24.47,20.35,-20.0,22.63,-11.04
DRIV,2004-04-22,Y,30.02,29.98,30.29,28.2,-6.06,28.96,-3.53,29,33.94,25.75,-14.22,32.38,7.86
DRIV,2004-07-21,Y,27.0,26.22,27.37,24.36,-9.77,27.2,0.74,30,28.5,22.75,-15.74,25.59,-5.22
DRIV,2004-10-20,Y,30.78,31.5,36.22,31.25,17.67,35.5,15.33,30,40.17,31.08,30.5,36.75,19.39
DRIV,2005-01-26,Y,36.26,39.4,40.17,38.27,10.78,39.19,8.08,23,41.15,30.22,-16.65,33.0,-8.99
DRIV,2005-04-27,Y,28.91,28.21,28.3,26.6,-7.99,26.99,-6.64,23,28.3,22.43,-22.41,26.15,-9.54
DRIV,2005-07-27,Y,35.49,40.26,41.75,39.26,17.63,40.35,13.69,23,41.75,35.36,17.63,38.85,9.46
DRIV,2005-10-26,Y,37.47,29.96,29.99,26.15,-30.22,27.71,-26.06,23,29.99,23.86,-36.33,26.21,-30.06
DRIV,2006-02-01,Y,33.38,37.0,37.29,35.49,11.71,35.7,6.95,16,37.29,34.34,11.71,36.86,10.45
DRIV,2006-04-27,Y,47.0,44.51,45.41,43.26,-7.95,43.54,-7.36,22,47.39,43.26,-7.95,44.77,-4.74
DRIV,2006-07-27,Y,40.43,41.65,45.22,41.65,11.84,44.16,9.22,22,49.23,41.65,21.76,49.2,21.69
DRIV,2006-10-26,Y,52.11,56.08,58.6,55.64,12.45,57.5,10.34,22,60.6,55.6,16.29,59.5,14.18
DRIV,2007-02-08,Y,52.0,53.13,56.8,52.72,9.23,54.56,4.92,8,57.95,52.72,11.44,57.58,10.73
DRIV,2007-04-26,Y,57.14,57.25,60.3,57.2,5.53,59.61,4.32,22,60.3,50.36,-11.86,51.78,-9.38
DRIV,2007-07-26,Y,47.0,46.07,46.75,43.75,-6.91,44.8,-4.68,22,49.05,41.71,-11.25,43.97,-6.44
DRIV,2007-10-25,Y,45.11,49.5,50.79,48.3,12.59,50.27,11.43,22,53.52,41.55,18.64,41.85,-7.22
DRIV,2008-01-31,Y,37.5,31.38,32.72,30.11,-19.7,30.68,-18.18,15,34.44,29.17,-22.21,33.64,-10.29
DRIV,2008-05-01,Y,34.2,36.45,36.85,34.88,7.74,36.52,6.78,15,39.09,34.88,14.29,37.86,10.7
DRIV,2008-07-30,Y,39.01,40.9,42.0,39.26,7.66,39.89,2.25,16,44.99,39.26,15.32,44.71,14.61
DRIV,2008-10-28,Y,25.16,23.61,24.18,21.5,-14.54,23.31,-7.35,24,26.62,16.88,-32.9,19.14,-23.92
DRIV,2009-01-29,Y,20.61,23.04,24.94,22.69,21.0,24.77,20.18,22,26.9,22.69,30.51,23.96,16.25
DRIV,2009-04-29,Y,36.35,36.7,39.06,36.64,7.45,38.42,5.69,16,40.11,33.5,10.34,34.6,-4.81
DRIV,2009-07-29,Y,39.99,36.89,38.58,35.54,-11.12,36.04,-9.87,23,38.58,32.9,-17.72,35.47,-11.27
DRIV,2009-11-03,Y,22.32,24.66,25.06,23.22,12.27,24.75,10.88,17,28.15,23.22,26.12,26.04,16.66
DRIV,2010-01-28,Y,25.38,26.33,27.46,24.85,8.19,25.13,-0.98,22,27.46,23.59,8.19,26.72,5.27
DRIV,2010-04-29,Y,31.28,30.36,30.71,27.51,-12.05,28.0,-10.48,22,30.71,25.54,-18.35,26.2,-16.24
DRIV,2010-07-28,Y,27.09,26.54,27.62,25.91,-4.35,27.06,-0.11,23,27.95,25.74,-4.98,27.43,1.25
DRIV,2010-10-25,Y,35.63,35.75,38.49,35.7,8.02,37.08,4.06,25,39.1,35.29,9.73,37.11,4.18
DRIV,2011-01-27,Y,35.51,31.99,33.75,29.77,-16.16,30.78,-13.32,22,36.5,29.77,-16.16,35.69,0.5
DRIV,2011-04-28,Y,36.03,36.29,36.5,32.5,-9.79,32.54,-9.68,22,36.5,30.16,-16.29,31.45,-12.71
DRIV,2011-07-28,Y,30.22,26.0,26.73,24.6,-18.59,25.5,-15.61,22,26.73,18.66,-38.25,18.78,-37.85
DRIV,2011-10-27,Y,23.0,19.51,19.94,18.25,-20.65,18.51,-19.52,22,19.94,16.53,-28.13,17.02,-26.0
DRIV,2012-02-02,Y,16.73,17.75,18.45,17.39,10.21,17.89,6.86,15,18.59,17.12,11.05,18.28,9.19
DRIV,2012-05-03,Y,18.57,16.8,17.39,15.95,-14.1,16.39,-11.73,15,17.39,14.51,-21.86,14.61,-21.32
DRIV,2012-07-31,Y,17.79,14.63,14.67,12.87,-27.65,14.22,-20.06,17,16.57,12.87,-27.65,16.3,-8.31
DRIV,2012-11-01,Y,14.73,14.25,14.69,13.0,-11.74,13.57,-7.87,15,14.97,13.0,-11.74,13.46,-8.62
DRIV,2013-02-06,Y,14.54,14.01,14.47,13.75,-5.43,13.96,-3.98,9,14.47,13.75,-5.43,14.05,-3.37
