Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DSX,2005-08-02,Y,12.6,12.61,13.44,12.6,6.66,13.4,6.34,17,14.83,12.6,17.69,14.4,14.28
DSX,2005-10-28,Y,15.7,15.8,15.93,15.65,1.46,15.65,-0.31,21,16.36,14.22,-9.42,14.58,-7.13
DSX,2006-02-15,N,11.19,11.4,11.65,11.23,4.11,11.51,2.85,2,12.41,11.23,10.9,12.36,10.45
DSX,2006-05-11,Y,12.39,12.15,12.15,11.5,-7.18,11.95,-3.55,8,12.15,11.01,-11.13,11.1,-10.41
DSX,2006-08-09,Y,12.59,12.45,12.78,11.9,-5.48,12.78,1.5,9,13.4,11.9,6.43,12.26,-2.62
DSX,2006-11-07,Y,15.34,15.28,15.28,14.75,-3.84,15.2,-0.91,10,15.93,14.75,3.84,15.43,0.58
DSX,2007-02-21,Y,18.98,19.39,20.2,19.14,6.42,20.13,6.05,23,20.79,16.79,-11.53,19.07,0.47
DSX,2007-05-03,N,19.95,20.6,20.79,20.11,4.21,20.49,2.7,15,23.14,20.11,15.98,21.13,5.91
DSX,2007-08-02,N,26.65,27.64,27.85,25.77,4.5,27.06,1.53,15,27.94,19.5,-26.82,23.02,-13.62
DSX,2007-11-14,N,33.25,36.75,36.99,31.11,11.24,31.5,-5.26,2,36.99,29.64,11.24,30.65,-7.81
DSX,2008-02-15,N,31.1,30.67,30.71,28.9,-7.07,29.93,-3.76,0,30.71,28.9,-7.07,29.93,-3.76
DSX,2008-05-14,Y,34.93,35.97,37.04,35.72,6.04,36.6,4.78,2,39.28,35.72,12.45,39.0,11.65
DSX,2008-07-31,N,30.17,30.67,30.97,29.75,2.65,30.43,0.86,15,32.72,27.57,-8.61,30.34,0.56
DSX,2008-11-12,N,13.93,12.5,12.72,10.28,-26.2,11.0,-21.03,9,12.72,7.31,-47.52,8.06,-42.13
DSX,2009-02-19,Y,14.09,13.97,13.97,12.0,-14.83,12.57,-10.78,1,13.97,12.0,-14.83,12.57,-10.78
DSX,2009-05-06,N,17.2,18.0,18.75,17.12,9.01,18.52,7.67,9,18.75,13.75,-20.05,15.12,-12.09
DSX,2009-08-06,N,14.27,13.99,14.09,13.17,-7.7,13.34,-6.51,15,14.09,12.52,-12.26,13.36,-6.37
DSX,2009-11-09,Y,14.16,14.35,14.43,13.68,-3.38,14.39,1.62,11,18.23,13.68,28.74,17.25,21.82
DSX,2010-02-02,Y,14.34,14.32,14.45,14.16,-1.25,14.3,-0.27,17,14.6,13.08,-8.78,14.51,1.18
DSX,2010-05-26,N,13.22,13.84,13.85,13.3,4.76,13.33,0.83,23,14.16,11.75,-11.11,12.58,-4.84
DSX,2010-08-05,N,13.11,13.14,13.19,12.84,-2.05,13.16,0.38,15,13.41,12.22,-6.78,12.51,-4.57
DSX,2010-11-15,Y,13.55,13.38,13.42,13.0,-4.05,13.15,-2.95,4,13.48,12.9,-4.79,13.16,-2.87
DSX,2011-02-22,N,12.56,12.04,12.45,11.53,-8.2,12.07,-3.9,24,12.66,11.47,-8.67,11.71,-6.76
DSX,2011-04-27,Y,11.25,11.26,11.39,11.24,1.24,11.35,0.88,23,11.5,10.85,-3.55,11.4,1.33
DSX,2011-08-04,N,9.16,9.02,9.02,8.44,-7.86,8.52,-6.87,15,9.02,7.52,-17.9,8.03,-12.22
DSX,2011-11-23,N,7.61,7.65,7.8,7.25,-4.73,7.38,-3.02,23,8.19,7.2,7.62,7.99,4.99
DSX,2012-02-28,N,9.34,9.47,9.47,8.86,-5.13,8.94,-4.28,17,9.47,8.21,-12.09,9.11,-2.35
DSX,2012-05-03,N,7.98,7.84,7.98,7.6,-4.76,7.69,-3.63,15,7.98,7.19,-9.89,7.2,-9.77
DSX,2012-08-02,N,6.55,6.48,7.1,6.44,8.39,7.08,8.09,15,7.25,6.44,10.68,7.03,7.32
DSX,2012-11-20,N,7.15,7.2,7.64,7.14,6.85,7.43,3.91,31,7.76,7.14,8.53,7.47,4.47
DSX,2013-03-14,N,9.1,8.89,9.07,8.38,-7.91,8.75,-3.84,1,9.07,8.38,-7.91,8.88,-2.41
DSX,2013-05-22,N,10.79,10.46,11.09,9.97,-7.59,10.11,-6.3,30,11.09,9.42,-12.69,9.81,-9.08
DSX,2013-07-30,N,10.18,10.24,10.38,9.68,-4.91,9.78,-3.83,17,11.34,9.65,11.39,10.82,6.28
DSX,2013-11-19,N,11.6,11.62,11.74,10.78,-7.06,10.91,-5.94,31,13.42,10.42,15.68,13.25,14.22
DSX,2014-02-18,N,12.69,12.33,12.92,11.89,-6.3,11.9,-6.22,3,12.92,11.86,-6.54,12.14,-4.33
DSX,2014-05-14,N,11.08,11.1,11.32,11.0,2.16,11.07,-0.09,2,11.32,10.46,-5.59,10.92,-1.44
DSX,2014-07-29,N,9.69,9.59,9.59,8.83,-8.87,9.19,-5.05,17,10.94,8.83,12.89,10.69,10.31
DSX,2014-11-25,N,7.88,8.42,8.63,7.66,9.51,7.75,-1.64,25,8.63,6.28,-20.3,6.94,-11.92
DSX,2015-03-04,N,6.91,6.56,7.0,6.45,-6.65,6.95,0.57,16,7.0,6.26,-9.4,6.37,-7.81
DSX,2015-05-13,N,6.91,7.0,7.06,6.86,2.17,7.0,1.3,2,7.34,6.86,6.22,7.23,4.63
DSX,2015-07-31,N,7.55,7.0,7.64,7.0,-7.28,7.55,,21,7.73,6.9,-8.6,7.1,-5.96
DSX,2015-11-12,N,5.97,5.81,5.84,5.01,-16.08,5.3,-11.22,8,5.84,4.7,-21.27,5.05,-15.24
DSX,2016-03-02,N,2.57,2.54,2.76,2.35,-8.56,2.41,-6.22,16,3.7,2.35,43.96,2.78,8.17
DSX,2016-05-18,N,2.68,2.54,2.64,2.41,-10.07,2.42,-9.7,2,2.64,2.33,-13.05,2.34,-12.68
DSX,2016-07-28,N,2.62,2.54,2.77,2.46,-6.1,2.52,-3.81,22,2.77,2.36,-9.92,2.46,-6.1
DSX,2016-11-29,N,3.37,3.45,3.45,3.16,-6.23,3.16,-6.23,17,3.45,2.74,-18.69,3.01,-10.68
DSX,2017-02-14,N,3.95,3.95,4.13,3.72,-5.82,3.8,-3.79,3,4.13,3.7,-6.32,3.74,-5.31
DSX,2017-05-23,N,3.7,3.87,4.05,3.64,9.45,4.0,8.1,25,4.35,3.49,17.56,3.68,-0.54
DSX,2017-07-26,N,4.02,3.89,3.94,3.74,-6.96,3.86,-3.98,24,4.17,3.74,-6.96,3.97,-1.24
DSX,2017-11-21,N,3.9,3.99,4.05,3.85,3.84,3.85,-1.28,25,4.25,3.85,8.97,4.11,5.38
DSX,2018-02-22,N,3.82,3.77,3.91,3.72,-2.61,3.8,-0.52,23,3.99,3.62,-5.23,3.82,0.0
DSX,2018-05-10,N,3.99,4.05,4.12,3.86,3.25,4.04,1.25,9,4.54,3.86,13.78,4.14,3.75
DSX,2018-07-26,N,4.62,4.77,4.77,4.36,-5.62,4.38,-5.19,23,4.77,3.98,-13.85,4.09,-11.47
DSX,2018-11-26,N,3.42,3.62,3.68,3.28,7.6,3.32,-2.92,28,3.68,3.18,7.6,3.29,-3.8
DSX,2019-02-26,N,3.01,2.96,2.99,2.71,-9.96,2.72,-9.63,18,2.99,2.41,-19.93,2.65,-11.96
DSX,2019-05-09,N,3.22,3.19,3.23,3.16,-1.86,3.17,-1.55,9,3.33,2.98,-7.45,3.3,2.48
DSX,2019-07-30,N,3.65,3.59,3.59,3.4,-6.84,3.49,-4.38,18,3.59,2.98,-18.35,3.17,-13.15
DSX,2019-12-02,N,3.48,3.42,3.43,3.1,-10.91,3.3,-5.17,21,3.42,2.94,-15.51,3.1,-10.91
DSX,2020-02-21,N,2.75,2.65,2.72,2.62,-4.72,2.65,-3.63,1,2.72,2.62,-4.72,2.65,-3.63
DSX,2020-05-14,N,1.4,1.36,1.5,1.25,-10.71,1.44,2.85,2,1.56,1.25,11.42,1.53,9.28
DSX,2020-07-27,N,1.4,1.37,1.38,1.35,-3.57,1.37,-2.14,28,1.61,1.35,15.0,1.42,1.42
DSX,2020-11-23,N,1.73,1.72,1.72,1.51,-12.71,1.61,-6.93,28,2.1,1.51,21.38,1.98,14.45
DSX,2021-02-22,N,3.12,3.09,3.36,3.0,7.69,3.02,-3.2,28,3.74,2.52,19.87,3.55,13.78
DSX,2021-05-21,N,4.07,4.15,4.4,4.11,8.1,4.39,7.86,1,4.4,4.11,8.1,4.39,7.86
DSX,2021-08-03,N,4.39,4.45,4.45,4.03,-8.2,4.08,-7.06,18,4.49,4.0,-8.88,4.29,-2.27
DSX,2021-11-17,N,4.55,4.7,4.7,4.2,-7.69,4.26,-6.37,3,4.7,3.92,-13.84,3.97,-12.74
DSX,2022-02-25,N,4.11,4.2,4.78,4.15,16.3,4.75,15.57,22,5.55,4.15,35.03,4.66,13.38
DSX,2022-05-24,N,6.01,6.05,6.49,5.65,7.98,6.36,5.82,25,6.89,4.94,-17.8,5.02,-16.47
DSX,2022-07-28,N,5.17,5.28,5.48,5.16,5.99,5.45,5.41,23,6.34,5.16,22.63,5.51,6.57
DSX,2022-11-17,N,4.04,4.2,4.47,4.04,10.64,4.41,9.15,2,4.5,4.04,11.38,4.3,6.43
DSX,2023-02-22,N,4.18,4.31,4.63,4.27,10.76,4.54,8.61,24,4.85,3.69,16.02,3.71,-11.24
