Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DV,2002-01-22,Y,27.53,29.4,29.4,28.0,6.79,28.0,1.7,24,32.0,28.0,16.23,31.29,13.65
DV,2002-04-17,Y,31.0,27.0,27.5,25.26,-18.51,25.52,-17.67,2,27.5,25.26,-18.51,27.1,-12.58
DV,2002-08-15,Y,19.07,17.75,19.14,17.7,-7.18,18.87,-1.04,1,19.14,17.7,-7.18,18.87,-1.04
DV,2002-10-17,Y,15.42,14.0,14.7,12.8,-16.99,14.34,-7.0,1,14.7,12.8,-16.99,14.34,-7.0
DV,2003-01-21,Y,16.63,16.63,16.93,16.48,1.8,16.5,-0.78,31,17.43,15.9,4.81,17.07,2.7
DV,2003-04-22,Y,19.0,19.71,24.35,19.71,28.15,23.06,21.36,24,25.0,19.71,31.57,24.6,29.47
DV,2003-08-19,Y,29.41,29.41,29.41,25.8,-12.27,26.9,-8.53,31,29.41,21.8,-25.87,24.89,-15.36
DV,2003-10-21,Y,24.04,23.06,23.06,23.06,4.07,23.06,-4.07,31,25.45,22.52,-6.32,25.2,4.82
DV,2004-01-21,Y,29.02,28.47,28.47,28.47,1.89,28.47,-1.89,30,31.89,28.3,9.88,30.47,4.99
DV,2004-04-20,Y,32.1,29.75,29.76,27.28,-15.01,27.54,-14.2,31,29.99,25.94,-19.19,26.03,-18.9
DV,2004-08-18,Y,21.1,19.5,19.54,17.09,-19.0,18.1,-14.21,2,19.91,17.09,-19.0,19.63,-6.96
DV,2004-10-20,Y,19.53,16.95,15.0,13.0,-33.43,14.6,-25.24,30,16.44,13.0,-33.43,15.43,-20.99
DV,2005-01-27,Y,15.45,15.9,18.25,15.85,18.12,17.5,13.26,22,18.68,15.85,20.9,17.77,15.01
DV,2005-04-21,Y,19.76,22.5,23.34,21.98,18.11,23.2,17.4,29,24.48,20.45,23.88,20.95,6.02
DV,2005-08-18,Y,18.01,19.32,19.45,18.2,7.99,18.26,1.38,1,19.45,18.2,7.99,18.26,1.38
DV,2005-10-20,Y,20.71,21.0,21.59,20.65,4.24,20.65,-0.28,1,21.59,20.65,4.24,20.65,-0.28
DV,2006-01-26,Y,20.76,22.0,24.29,21.5,17.0,23.61,13.72,22,24.29,21.5,17.0,22.78,9.73
DV,2006-04-25,Y,21.79,24.5,27.75,23.4,27.35,25.95,19.09,24,27.75,23.4,27.35,24.22,11.15
DV,2006-08-17,Y,23.3,22.8,22.84,20.14,-13.56,20.65,-11.37,1,22.84,20.14,-13.56,20.65,-11.37
DV,2006-10-24,Y,22.49,23.0,25.1,22.95,11.6,23.98,6.62,24,27.08,22.95,20.4,26.71,18.76
DV,2007-01-25,Y,28.75,28.7,28.75,27.7,-3.65,27.79,-3.33,22,29.59,27.45,-4.52,28.98,0.8
DV,2007-04-26,Y,29.81,32.5,34.71,32.0,16.43,34.52,15.8,22,34.99,32.0,17.37,34.29,15.06
DV,2007-08-13,Y,33.68,31.7,35.2,31.7,-5.87,34.43,2.22,4,36.25,31.7,7.63,35.13,4.3
DV,2007-10-25,Y,40.03,50.0,55.47,49.85,38.57,55.09,37.62,22,58.66,49.85,46.54,54.37,35.82
DV,2008-01-24,Y,57.74,59.47,59.47,50.56,-12.43,52.37,-9.3,22,59.47,44.8,-22.41,46.34,-19.74
DV,2008-04-24,Y,53.8,57.0,57.81,54.0,7.45,55.49,3.14,22,60.24,54.0,11.97,56.67,5.33
DV,2008-08-14,Y,55.3,51.25,53.88,49.82,-9.9,51.45,-6.96,1,53.88,49.82,-9.9,51.45,-6.96
DV,2008-10-23,Y,43.25,41.89,47.9,41.16,10.75,46.75,8.09,29,58.77,41.16,35.88,52.02,20.27
DV,2009-01-27,Y,59.57,55.75,56.4,53.3,-10.52,55.3,-7.16,24,59.26,51.84,-12.97,54.06,-9.24
DV,2009-04-23,Y,41.46,42.1,47.0,41.86,13.36,44.43,7.16,22,47.0,38.19,13.36,45.67,10.15
DV,2009-08-13,Y,52.01,52.1,52.93,50.16,-3.55,51.89,-0.23,8,53.3,49.9,-4.05,52.91,1.73
DV,2009-10-27,Y,54.88,54.99,57.85,54.16,5.41,56.13,2.27,24,57.85,52.55,5.41,54.03,-1.54
DV,2010-01-26,Y,56.17,60.0,63.67,58.21,13.35,63.32,12.72,24,63.8,57.86,13.58,60.78,8.2
DV,2010-04-22,Y,74.25,70.01,72.45,68.2,-8.14,69.45,-6.45,29,72.45,57.84,-22.1,62.03,-16.45
DV,2010-08-12,Y,45.31,46.87,47.57,42.01,-7.28,42.71,-5.73,8,47.57,36.34,-19.79,37.97,-16.17
DV,2010-10-26,Y,42.74,43.58,46.26,43.58,8.23,45.75,7.04,24,48.98,43.58,14.59,44.53,4.18
DV,2011-01-25,Y,47.38,50.93,53.9,49.69,13.76,53.36,12.62,24,55.58,49.69,17.3,55.18,16.46
DV,2011-04-26,Y,50.09,50.2,55.52,50.18,10.84,53.7,7.2,24,55.52,50.18,10.84,51.9,3.61
DV,2011-08-11,Y,53.39,48.47,48.64,43.13,-19.21,44.49,-16.66,8,48.64,39.32,-26.35,39.46,-26.09
DV,2011-10-25,Y,46.08,41.91,41.91,37.68,-18.22,38.36,-16.75,24,41.91,34.96,-24.13,34.99,-24.06
DV,2012-01-26,Y,39.7,36.85,38.06,35.46,-10.68,37.57,-5.36,22,40.0,35.46,-10.68,37.67,-5.11
DV,2012-04-24,Y,30.91,30.74,31.03,30.02,-2.87,30.95,0.12,24,32.69,28.56,-7.6,28.64,-7.34
DV,2012-08-09,Y,19.87,19.13,19.55,18.77,-5.53,19.23,-3.22,8,20.29,18.77,-5.53,19.89,0.15
DV,2012-10-25,Y,20.82,23.69,26.68,23.53,28.14,26.01,24.92,22,27.26,23.53,30.93,25.39,21.95
DV,2013-02-06,Y,26.12,31.36,32.2,30.15,23.27,30.41,16.42,9,32.2,29.8,23.27,30.69,17.49
DV,2013-04-23,Y,34.03,28.5,28.5,26.7,-21.53,27.09,-20.39,24,32.09,26.7,-21.53,31.11,-8.58
DV,2013-08-08,Y,31.84,30.27,30.27,29.27,-8.07,29.55,-7.19,8,30.27,28.42,-10.74,28.91,-9.2
DV,2013-10-24,Y,36.19,36.14,37.31,35.75,3.09,37.18,2.73,22,38.84,34.65,7.32,35.82,-1.02
DV,2014-02-04,Y,36.11,36.34,37.17,34.06,-5.7,34.4,-4.73,17,40.9,34.04,13.23,40.26,11.46
DV,2014-04-24,Y,40.36,44.49,47.73,44.4,18.26,45.99,13.94,22,47.73,42.87,18.26,43.64,8.12
DV,2014-08-07,Y,40.59,40.36,40.36,38.36,-5.49,39.6,-2.43,8,42.54,38.36,-5.49,42.24,4.06
DV,2014-10-23,Y,45.92,44.21,45.93,44.0,-4.18,45.81,-0.23,30,49.52,44.0,7.83,48.91,6.51
DV,2015-02-05,Y,44.25,39.5,40.02,36.02,-18.59,36.24,-18.1,15,40.02,35.95,-18.75,36.69,-17.08
