Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
DY,2002-02-18,Y,15.82,15.6,16.09,14.95,-5.49,15.22,-3.79,25,16.25,14.29,-9.67,14.61,-7.64
DY,2002-06-03,Y,12.91,12.91,14.1,12.91,9.21,13.97,8.21,18,15.0,11.57,16.18,12.45,-3.56
DY,2002-08-26,Y,10.95,10.0,11.1,9.44,-13.78,10.46,-4.47,25,11.1,9.44,-13.78,10.02,-8.4
DY,2002-11-25,Y,13.84,13.8,15.2,13.65,9.82,14.96,8.09,25,15.75,13.3,13.8,14.3,3.32
DY,2003-02-24,Y,11.33,11.33,11.33,10.5,-7.32,10.8,-4.67,25,11.33,9.0,-20.56,10.85,-4.23
DY,2003-06-02,Y,13.96,16.5,16.95,16.14,21.41,16.21,16.11,18,18.25,15.87,30.73,16.02,14.75
DY,2003-08-25,Y,18.61,20.62,22.15,19.0,19.02,22.15,19.02,25,23.8,19.0,27.88,21.6,16.06
DY,2003-11-24,Y,25.07,26.0,26.63,25.1,6.22,25.18,0.43,25,27.15,24.96,8.29,26.39,5.26
DY,2004-02-23,Y,22.83,23.55,26.11,23.35,14.36,25.13,10.07,25,27.8,23.35,21.76,24.91,9.11
DY,2004-05-24,Y,23.08,24.2,25.07,23.55,8.62,24.96,8.14,25,25.56,23.55,10.74,25.19,9.14
DY,2004-08-30,Y,25.88,25.63,25.72,25.19,-2.66,25.72,-0.61,18,28.91,25.15,11.7,27.99,8.15
DY,2004-11-22,Y,34.64,28.5,31.24,28.49,-17.75,29.8,-13.97,25,31.49,28.22,-18.53,29.98,-13.45
DY,2005-02-28,Y,26.95,25.0,25.0,21.0,-22.07,24.3,-9.83,18,25.8,21.0,-22.07,23.92,-11.24
DY,2005-05-23,Y,25.26,22.49,23.2,20.05,-20.62,20.34,-19.47,25,23.2,18.48,-26.84,19.27,-23.71
DY,2005-08-29,Y,21.25,18.5,19.51,17.89,-15.81,18.02,-15.2,18,21.21,17.72,-16.61,21.09,-0.75
DY,2005-11-21,Y,20.45,19.89,20.58,19.48,-4.74,20.35,-0.48,25,21.85,19.48,6.84,21.3,4.15
DY,2006-02-27,Y,24.25,22.0,23.01,20.78,-14.3,21.35,-11.95,18,23.01,19.73,-18.63,21.33,-12.04
DY,2006-05-23,Y,19.91,20.75,21.91,20.2,10.04,21.19,6.42,24,22.97,20.2,15.36,21.61,8.53
DY,2006-08-29,Y,18.11,19.84,20.07,18.85,10.82,19.8,9.33,17,21.75,18.85,20.09,21.33,17.78
DY,2006-11-20,Y,23.74,22.14,22.14,20.17,-15.03,20.8,-12.38,25,22.14,19.85,-16.38,20.98,-11.62
DY,2007-02-27,Y,21.86,22.75,25.6,22.61,17.1,24.99,14.31,17,26.83,22.61,22.73,25.5,16.65
DY,2007-05-22,Y,28.22,29.75,30.0,28.64,6.3,28.85,2.23,24,30.8,27.98,9.14,30.0,6.3
