Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EDR,2012-07-26,Y,11.38,11.27,11.69,11.08,2.72,11.45,0.61,22,11.74,11.0,-3.33,11.13,-2.19
EDR,2012-10-25,Y,10.36,10.34,10.63,10.18,2.6,10.44,0.77,22,10.7,9.72,-6.17,10.02,-3.28
EDR,2013-02-18,Y,10.88,11.08,11.27,10.92,3.58,11.1,2.02,25,11.27,10.62,3.58,10.75,-1.19
EDR,2013-04-29,N,10.38,10.44,10.81,10.42,4.14,10.75,3.56,18,11.49,10.42,10.69,11.48,10.59
EDR,2013-07-29,N,10.16,10.18,10.25,9.85,-3.05,9.91,-2.46,18,10.25,8.67,-14.66,8.68,-14.56
EDR,2013-10-28,N,27.9,28.5,28.5,27.27,-2.25,27.33,-2.04,18,28.5,25.64,-8.1,26.4,-5.37
EDR,2014-02-18,N,27.93,28.05,29.1,27.32,4.18,28.62,2.47,3,29.34,27.32,5.04,29.04,3.97
EDR,2014-04-28,N,30.78,30.45,30.81,30.18,-1.94,30.42,-1.16,18,31.74,30.18,3.11,31.68,2.92
EDR,2014-07-28,N,33.0,32.9,33.18,32.67,-0.99,33.03,0.09,18,33.18,31.32,-5.09,31.92,-3.27
EDR,2014-10-27,N,33.36,33.33,33.39,32.4,-2.87,33.39,0.08,26,35.04,32.4,5.03,34.65,3.86
EDR,2015-02-23,N,34.89,35.26,35.92,35.21,2.95,35.9,2.89,25,36.47,34.15,4.52,36.21,3.78
EDR,2015-04-29,N,34.99,34.63,35.34,34.43,-1.6,34.45,-1.54,16,35.34,32.14,-8.14,33.4,-4.51
EDR,2015-07-30,N,32.07,31.94,32.31,31.39,-2.12,31.54,-1.65,22,32.31,29.69,-7.42,31.28,-2.46
EDR,2015-11-02,N,35.9,35.27,35.79,34.94,-2.7,35.47,-1.19,18,36.97,34.0,-5.31,36.88,2.7
EDR,2016-02-22,N,39.36,39.2,40.17,38.79,2.03,39.82,1.14,25,42.03,38.59,6.75,41.94,6.52
EDR,2016-05-02,N,39.77,40.11,41.34,40.01,3.94,40.76,2.48,18,43.22,40.01,8.67,42.1,5.85
EDR,2016-08-01,N,48.14,48.0,48.54,47.71,-0.89,48.47,0.68,18,48.87,45.28,-5.94,45.76,-4.94
EDR,2016-10-31,N,41.7,40.88,42.85,39.88,-4.36,42.59,2.13,18,42.85,39.22,-5.94,39.75,-4.67
EDR,2017-02-21,N,40.69,40.19,41.52,39.71,-2.4,41.27,1.42,24,42.44,38.67,-4.96,39.9,-1.91
EDR,2017-05-01,N,38.77,38.79,39.25,38.31,1.23,38.9,0.36,18,39.25,36.97,-4.64,38.57,-0.51
EDR,2017-07-31,N,38.94,37.38,37.88,37.27,-4.28,37.85,-2.79,18,38.75,37.27,-4.28,37.72,-3.1
EDR,2017-10-30,N,35.27,35.25,35.28,34.67,-1.7,35.14,-0.36,18,37.18,34.67,5.41,36.01,2.09
EDR,2018-04-30,N,32.55,32.73,33.31,32.43,2.33,32.91,1.1,21,34.95,32.43,7.37,33.18,1.93
EDR,2018-08-09,N,41.35,41.35,41.35,41.24,-0.26,41.27,-0.19,9,41.47,41.2,-0.36,41.39,0.09
EDR,2021-06-02,Y,29.39,28.86,30.5,28.51,3.77,29.1,-0.98,16,30.5,25.9,-11.87,26.14,-11.05
EDR,2021-08-16,Y,23.09,23.76,26.0,23.72,12.6,24.91,7.88,4,26.0,23.24,12.6,24.99,8.22
EDR,2021-11-15,Y,26.89,27.53,29.27,27.2,8.85,28.58,6.28,4,31.7,27.2,17.88,29.34,9.11
EDR,2022-03-16,Y,27.87,28.75,30.0,28.3,7.64,29.8,6.92,2,30.01,28.3,7.67,29.99,7.6
EDR,2022-05-12,Y,18.34,22.09,22.64,19.29,23.44,19.3,5.23,8,22.64,19.11,23.44,20.91,14.01
EDR,2022-08-11,Y,23.86,23.37,24.95,23.31,4.56,24.2,1.42,8,24.95,23.21,4.56,23.58,-1.17
EDR,2022-11-10,Y,21.76,21.3,24.19,21.19,11.16,22.44,3.12,8,24.19,21.08,11.16,21.65,-0.5
EDR,2023-02-28,Y,22.31,21.99,22.49,20.7,-7.21,22.05,-1.16,17,24.4,20.7,9.36,22.99,3.04
