Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EEX,2017-05-25,N,22.24,21.78,22.46,21.54,-3.14,22.0,-1.07,23,23.37,20.15,-9.39,22.15,-0.4
EEX,2017-08-03,N,21.95,21.8,22.24,20.99,-4.37,21.08,-3.96,16,22.24,20.99,-4.37,21.45,-2.27
EEX,2017-11-02,N,23.15,23.6,23.67,22.74,2.24,23.47,1.38,16,23.67,21.5,-7.12,22.42,-3.15
EEX,2018-02-22,N,22.05,19.74,22.25,19.74,-10.47,21.97,-0.36,23,22.43,18.19,-17.5,19.35,-12.24
EEX,2018-08-02,N,19.08,19.17,19.38,15.9,-16.66,16.4,-14.04,16,19.38,15.29,-19.86,15.85,-16.92
EEX,2018-11-01,N,14.62,14.75,14.93,11.5,-21.34,12.01,-17.85,16,14.93,10.9,-25.44,11.55,-20.99
EEX,2019-02-14,N,14.43,14.22,14.23,12.15,-15.8,13.18,-8.66,2,14.23,12.15,-15.8,13.31,-7.76
EEX,2019-05-02,N,13.96,13.66,13.92,13.11,-6.08,13.2,-5.44,16,13.92,12.13,-13.1,12.69,-9.09
EEX,2019-08-01,Y,10.01,9.81,10.02,9.68,-3.29,9.72,-2.89,15,10.02,9.24,-7.69,9.58,-4.29
EEX,2020-02-13,Y,10.12,10.06,10.06,9.54,-5.73,9.6,-5.13,8,10.06,9.22,-8.89,9.36,-7.5
EEX,2020-04-30,N,2.61,2.67,2.67,2.27,-13.02,2.28,-12.64,16,2.67,1.5,-42.52,1.55,-40.61
EEX,2020-08-03,Y,2.69,2.8,2.83,2.4,-10.78,2.8,4.08,18,3.01,2.4,11.89,2.65,-1.48
EEX,2020-11-02,Y,2.76,2.62,2.84,2.53,-8.33,2.54,-7.97,18,4.05,2.47,46.73,4.02,45.65
EEX,2021-02-18,N,4.67,4.53,4.76,4.45,-4.71,4.58,-1.92,2,4.91,4.45,5.13,4.77,2.14
EEX,2021-04-30,N,5.58,5.45,5.66,5.24,-6.09,5.61,0.53,22,5.66,4.62,-17.2,5.48,-1.79
EEX,2021-07-30,N,4.1,4.09,4.13,3.77,-8.04,3.95,-3.65,22,4.49,3.77,9.51,4.45,8.53
EEX,2021-11-01,N,4.05,4.07,4.76,4.06,17.53,4.73,16.79,21,5.1,4.06,25.92,4.18,3.2
EEX,2022-02-24,N,3.08,3.1,3.49,3.1,13.31,3.27,6.16,23,3.91,3.1,26.94,3.82,24.02
EEX,2022-05-09,N,2.54,2.65,3.17,2.57,24.8,3.02,18.89,14,3.27,2.57,28.74,3.12,22.83
EEX,2022-08-08,Y,3.41,3.72,3.83,3.2,12.31,3.3,-3.22,11,4.55,3.2,33.43,3.93,15.24
EEX,2023-03-14,N,3.5,4.0,4.0,3.4,14.28,3.4,-2.85,4,4.0,3.28,14.28,3.39,-3.14
