Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EGY,2007-11-09,Y,4.78,4.78,4.78,4.55,-4.81,4.63,-3.13,7,4.93,4.55,-4.81,4.68,-2.09
EGY,2008-03-13,Y,5.05,5.09,5.09,4.86,-3.76,4.9,-2.97,8,5.18,4.72,-6.53,4.88,-3.16
EGY,2008-05-09,N,6.67,6.77,6.88,6.53,3.14,6.8,1.94,7,7.69,6.53,15.29,7.54,13.04
EGY,2008-08-11,Y,5.69,6.09,6.09,5.31,7.02,5.76,1.23,4,6.94,5.31,21.96,6.63,16.52
EGY,2008-11-10,N,4.71,4.99,5.24,4.8,11.25,4.92,4.45,11,5.24,3.83,-18.68,4.3,-8.7
EGY,2009-03-17,Y,5.35,5.21,5.4,4.99,-6.72,5.17,-3.36,3,5.65,4.99,-6.72,5.11,-4.48
EGY,2009-05-12,N,5.11,5.42,5.42,5.01,6.06,5.12,0.19,3,5.42,4.25,-16.82,4.29,-16.04
EGY,2009-08-11,Y,4.84,4.83,4.98,4.68,-3.3,4.88,1.03,10,5.4,4.48,11.57,5.24,8.26
EGY,2009-11-09,Y,4.68,4.66,4.66,4.43,-5.54,4.55,-2.98,11,4.67,4.17,-11.08,4.19,-10.66
EGY,2010-03-16,Y,4.32,4.3,4.44,4.28,2.77,4.38,1.38,3,4.44,4.09,-5.32,4.19,-3.0
EGY,2010-05-11,Y,4.84,4.88,4.97,4.76,2.47,4.95,2.06,10,5.25,4.62,8.24,5.03,3.71
EGY,2010-08-09,Y,6.24,6.18,6.19,5.96,-4.48,6.13,-1.76,11,6.19,5.33,-14.58,5.45,-12.66
EGY,2010-11-08,Y,6.77,6.8,7.14,6.8,5.46,7.08,4.57,11,7.98,6.8,17.87,7.35,8.56
EGY,2011-03-14,Y,7.51,6.89,7.12,6.64,-11.58,6.94,-7.58,4,7.12,6.53,-13.04,6.97,-7.19
EGY,2011-05-10,Y,7.0,6.98,7.01,6.76,-3.42,7.01,0.14,10,7.1,6.42,-8.28,6.91,-1.28
EGY,2011-08-08,Y,5.13,5.11,5.8,5.01,13.06,5.8,13.06,11,7.0,5.01,36.45,6.09,18.71
EGY,2011-11-07,Y,7.12,6.12,6.65,6.09,-14.46,6.41,-9.97,11,6.69,5.75,-19.24,5.91,-16.99
EGY,2012-03-12,Y,7.49,7.53,8.75,7.46,16.82,8.69,16.02,4,9.19,7.46,22.69,8.81,17.62
EGY,2012-05-08,Y,8.18,7.96,8.25,7.61,-6.96,8.13,-0.61,10,8.52,7.56,-7.57,7.75,-5.25
EGY,2012-08-07,Y,8.02,8.02,8.27,7.46,-7.09,7.53,-6.22,10,8.35,7.3,-9.09,7.8,-2.86
EGY,2012-11-09,Y,7.74,7.76,7.76,7.5,-3.1,7.51,-2.97,7,8.08,7.36,-4.9,7.55,-2.45
EGY,2013-03-14,Y,8.98,8.19,8.42,7.67,-14.58,7.9,-12.02,1,8.42,7.67,-14.58,7.9,-12.02
EGY,2013-05-09,Y,7.5,7.42,7.42,6.65,-11.33,6.88,-8.26,8,7.42,6.18,-17.6,6.36,-15.19
EGY,2013-08-09,N,6.28,6.25,6.29,6.15,-2.07,6.23,-0.79,7,6.39,6.03,-3.98,6.04,-3.82
EGY,2013-11-07,Y,5.09,5.09,5.94,5.09,16.47,5.93,16.27,8,6.29,5.09,23.33,6.08,19.21
EGY,2014-03-13,Y,5.98,6.22,7.25,6.19,21.23,7.12,19.06,8,7.34,6.19,22.74,7.29,21.9
EGY,2014-05-07,Y,8.82,8.36,8.42,6.74,-23.58,7.15,-18.93,9,8.42,6.65,-24.6,6.8,-22.9
EGY,2014-08-07,Y,7.9,7.91,8.41,7.86,6.45,8.33,5.44,8,8.77,7.73,11.01,8.6,8.86
EGY,2014-11-10,Y,6.99,6.94,7.24,6.54,-6.43,7.19,2.86,12,7.34,6.08,-13.01,6.5,-7.01
