Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ELF,2016-11-10,Y,25.92,27.23,28.47,25.5,9.83,27.0,4.16,8,31.1,25.5,19.98,29.39,13.38
ELF,2017-03-08,Y,25.3,31.03,31.1,28.01,22.92,28.42,12.33,9,31.1,25.75,22.92,26.31,3.99
ELF,2017-05-10,Y,29.08,27.06,28.0,26.0,-10.59,27.68,-4.81,9,28.0,24.77,-14.82,25.12,-13.61
ELF,2017-08-09,Y,25.17,24.78,25.2,22.98,-8.7,24.76,-1.62,9,26.0,22.5,-10.6,23.01,-8.58
ELF,2017-11-08,Y,19.2,18.89,20.54,18.52,6.97,18.91,-1.51,9,20.54,18.52,6.97,20.08,4.58
ELF,2018-02-27,Y,20.34,18.03,18.95,17.76,-12.68,18.44,-9.34,17,20.51,17.76,-12.68,19.89,-2.21
ELF,2018-05-09,Y,20.0,20.0,20.75,19.25,3.75,19.27,-3.65,9,20.75,18.79,-6.05,19.64,-1.79
ELF,2018-08-08,Y,14.91,11.3,11.39,9.3,-37.62,9.85,-33.93,9,11.77,9.3,-37.62,11.67,-21.73
ELF,2018-11-05,Y,11.1,13.25,13.35,12.32,20.27,13.23,19.18,11,13.99,12.32,26.03,13.0,17.11
ELF,2019-02-26,Y,9.48,7.2,7.99,6.71,-29.21,7.3,-22.99,17,9.25,6.71,-29.21,9.24,-2.53
ELF,2019-05-08,Y,12.37,10.16,11.7,10.0,-19.15,11.47,-7.27,9,12.37,10.0,-19.15,11.97,-3.23
ELF,2019-08-07,Y,16.55,17.4,18.61,17.19,12.44,17.31,4.59,9,18.61,16.17,12.44,16.43,-0.72
ELF,2020-02-05,Y,17.34,19.02,19.1,18.42,10.14,18.93,9.16,16,20.0,18.42,15.34,19.07,9.97
ELF,2020-05-21,Y,14.43,15.87,16.99,15.36,17.74,16.86,16.83,29,18.89,15.36,30.9,18.2,26.12
ELF,2020-08-05,Y,18.96,20.84,21.02,19.3,10.86,20.54,8.33,16,21.02,18.38,10.86,18.55,-2.16
ELF,2020-11-04,Y,21.35,18.95,20.06,18.55,-13.11,19.43,-8.99,16,22.43,18.55,-13.11,21.55,0.93
ELF,2021-02-03,Y,22.94,22.24,24.15,21.29,-7.19,23.12,0.78,16,25.29,21.29,10.24,24.75,7.89
ELF,2021-05-26,Y,29.65,28.06,29.45,27.36,-7.72,28.52,-3.81,23,29.45,26.9,-9.27,27.47,-7.35
ELF,2021-08-04,Y,28.05,30.75,31.23,29.61,11.33,29.83,6.34,16,31.23,27.87,11.33,29.32,4.52
ELF,2021-11-03,Y,33.18,30.0,32.1,29.57,-10.88,30.21,-8.95,16,33.07,29.57,-10.88,32.44,-2.23
ELF,2022-02-02,Y,29.57,29.95,30.65,28.02,-5.24,28.52,-3.55,16,30.65,26.37,-10.82,26.64,-9.9
ELF,2022-05-25,Y,22.15,22.97,24.77,22.97,11.82,24.63,11.19,23,27.72,22.97,25.14,25.63,15.71
ELF,2022-08-03,Y,33.87,36.45,36.74,34.76,8.47,36.18,6.82,16,38.45,34.76,13.52,37.91,11.92
ELF,2022-11-02,Y,41.66,45.31,48.44,44.28,16.27,48.09,15.43,16,55.43,44.28,33.05,54.91,31.8
ELF,2023-02-01,Y,58.51,69.26,69.3,62.35,18.44,67.29,15.0,16,75.41,62.35,28.88,73.65,25.87
