Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EMC,2002-01-24,Y,16.82,16.45,16.89,16.34,-2.91,16.89,0.41,22,17.21,13.02,-22.63,13.19,-21.62
EMC,2002-04-17,Y,10.4,11.1,11.31,10.61,8.75,11.0,5.76,2,11.31,10.6,8.75,10.79,3.74
EMC,2002-07-18,N,8.63,8.0,8.61,7.8,-9.61,8.4,-2.66,1,8.61,7.8,-9.61,8.1,-6.14
EMC,2002-10-17,N,4.76,5.15,5.17,4.5,8.61,4.59,-3.36,1,5.17,4.2,-11.76,4.41,-7.35
EMC,2003-01-23,N,6.98,7.18,7.64,7.07,9.45,7.55,8.16,29,8.59,6.83,23.06,8.03,15.18
EMC,2003-04-16,N,7.77,8.22,8.44,8.07,8.62,8.39,7.97,2,8.55,8.07,10.03,8.5,9.39
EMC,2003-07-16,N,11.07,11.15,11.0,9.99,-9.75,10.17,-8.13,2,11.0,9.65,-12.82,10.0,-9.66
EMC,2003-10-16,Y,13.35,13.47,13.49,13.03,-2.39,13.15,-1.49,1,13.49,13.03,-2.39,13.15,-1.49
EMC,2004-01-22,N,15.1,14.92,14.92,14.92,1.19,14.92,-1.19,29,15.19,13.45,-10.92,13.98,-7.41
EMC,2004-04-15,N,13.2,13.02,13.02,13.02,1.36,13.02,-1.36,1,13.07,12.35,-6.43,12.55,-4.92
EMC,2004-07-20,N,10.36,10.36,10.92,10.25,5.4,10.86,4.82,31,11.31,9.24,-10.81,10.5,1.35
EMC,2004-10-19,N,12.15,12.34,12.75,12.26,4.93,12.28,1.06,31,13.95,12.25,14.81,13.48,10.94
EMC,2005-01-10,N,13.85,13.77,14.1,13.74,1.8,14.08,1.66,11,14.1,12.8,-7.58,13.09,-5.48
EMC,2005-04-19,N,11.47,12.23,13.23,12.19,15.34,12.99,13.25,31,14.25,12.19,24.23,14.09,22.84
EMC,2005-07-21,N,14.42,13.94,14.14,13.6,-5.68,14.09,-2.28,29,14.5,13.12,-9.01,13.17,-8.66
EMC,2005-10-19,N,13.24,13.51,13.8,13.26,4.22,13.76,3.92,2,13.93,13.26,5.21,13.73,3.7
EMC,2006-01-24,N,13.26,13.5,13.73,13.35,3.54,13.65,2.94,24,13.93,13.15,5.05,13.48,1.65
EMC,2006-04-20,N,13.34,13.77,13.99,13.55,4.87,13.87,3.97,1,13.99,13.55,4.87,13.66,2.39
EMC,2006-07-10,N,11.18,10.9,11.08,10.32,-7.69,10.41,-6.88,11,11.08,9.44,-15.56,10.3,-7.87
EMC,2006-07-14,N,9.98,9.86,9.88,9.44,-5.41,9.83,-1.5,7,10.52,9.44,5.41,10.3,3.2
EMC,2006-10-17,N,12.83,12.46,12.82,11.93,-7.01,12.7,-1.01,3,12.82,11.93,-7.01,12.39,-3.42
EMC,2007-01-23,N,13.47,13.66,13.69,13.18,-2.15,13.55,0.59,24,14.79,13.18,9.79,14.6,8.38
EMC,2007-04-17,Y,15.22,15.12,15.37,15.04,-1.18,15.35,0.85,3,15.54,15.04,2.1,15.37,0.98
EMC,2007-07-24,N,19.51,19.5,19.45,18.75,-3.89,19.05,-2.35,24,19.89,16.89,-13.42,18.29,-6.25
EMC,2007-10-25,Y,24.45,24.58,24.85,24.24,1.63,24.53,0.32,22,25.47,18.5,-24.33,19.64,-19.67
EMC,2008-01-29,N,16.91,15.42,16.07,15.3,-9.52,15.89,-6.03,17,16.39,14.94,-11.64,15.9,-5.97
EMC,2008-04-23,N,15.59,16.34,16.36,15.82,4.93,15.89,1.92,23,17.85,15.25,14.49,17.72,13.66
EMC,2008-07-23,N,12.46,12.86,14.27,12.7,14.52,14.17,13.72,23,15.52,12.7,24.55,15.32,22.95
EMC,2008-10-22,Y,9.98,10.08,10.15,9.0,-9.81,9.41,-5.71,30,12.06,8.25,20.84,9.3,-6.81
EMC,2009-01-07,Y,11.18,11.74,12.05,11.45,7.78,11.89,6.35,9,12.05,10.92,7.78,11.27,0.8
EMC,2009-04-23,N,12.7,12.24,12.59,11.93,-6.06,12.17,-4.17,22,13.0,11.51,-9.37,11.94,-5.98
EMC,2009-07-23,N,14.41,15.11,15.46,14.85,7.28,15.0,4.09,29,15.72,14.72,9.09,15.29,6.1
EMC,2009-10-22,N,17.51,17.32,17.43,16.82,-3.94,17.32,-1.02,29,17.75,16.12,-7.93,17.04,-2.68
EMC,2010-01-26,N,16.94,17.5,17.79,17.05,5.01,17.61,3.95,24,17.91,16.45,5.72,17.8,5.13
EMC,2010-04-21,N,19.41,19.85,19.95,19.53,2.78,19.85,2.26,30,20.0,17.1,-11.9,17.96,-7.47
EMC,2010-07-21,N,20.23,19.85,19.89,19.3,-4.64,19.48,-3.75,30,20.97,18.35,-9.33,18.69,-7.65
EMC,2010-10-19,N,20.8,20.65,21.18,20.49,1.82,20.83,0.14,31,22.35,20.49,7.45,21.82,4.9
EMC,2011-01-25,N,23.83,23.69,24.39,23.37,2.34,24.39,2.34,24,27.38,23.37,14.89,27.18,14.05
EMC,2011-04-20,N,26.72,27.1,28.32,27.0,5.98,27.96,4.64,30,28.73,26.78,7.52,28.06,5.01
EMC,2011-07-20,N,27.38,28.1,28.25,27.14,3.17,27.37,-0.03,30,28.25,19.84,-27.53,20.28,-25.93
EMC,2011-10-18,N,22.68,23.61,24.26,23.22,6.96,23.99,5.77,3,24.37,23.22,7.45,24.03,5.95
EMC,2012-01-24,N,23.44,24.31,25.17,24.24,7.38,25.14,7.25,24,27.7,24.24,18.17,27.1,15.61
EMC,2012-04-19,N,29.14,28.29,28.63,27.46,-5.76,28.1,-3.56,1,28.63,27.46,-5.76,27.9,-4.25
EMC,2012-07-24,N,24.8,24.61,25.6,24.48,3.22,25.34,2.17,24,27.09,24.48,9.23,26.85,8.26
EMC,2012-10-24,N,24.68,24.14,25.51,23.76,-3.72,24.46,-0.89,23,25.51,23.23,-5.87,23.56,-4.53
EMC,2013-01-29,N,25.2,23.65,24.39,23.11,-8.29,24.18,-4.04,17,25.02,23.11,-8.29,24.0,-4.76
EMC,2013-04-24,N,22.36,22.17,22.76,21.98,1.78,22.52,0.71,23,24.24,21.98,8.4,24.24,8.4
EMC,2013-07-24,N,25.33,27.11,27.34,26.57,7.93,26.75,5.6,23,27.34,25.85,7.93,25.88,2.17
EMC,2013-10-22,N,25.24,24.1,24.49,23.95,-5.11,24.04,-4.75,24,24.49,23.29,-7.72,24.0,-4.91
EMC,2014-01-29,N,25.38,25.07,25.44,24.45,-3.66,24.65,-2.87,23,25.84,23.47,-7.52,25.5,0.47
EMC,2014-04-23,N,26.76,26.18,26.29,25.43,-4.97,25.91,-3.17,23,26.3,24.92,-6.87,26.25,-1.9
EMC,2014-07-23,N,28.52,28.72,29.59,28.59,3.75,28.75,0.8,23,29.9,28.59,4.83,29.73,4.24
EMC,2014-10-22,N,27.2,26.69,27.88,26.11,-4.0,27.37,0.62,31,30.66,26.11,12.72,29.87,9.81
EMC,2015-01-29,N,26.6,28.06,28.21,26.12,6.05,26.4,-0.75,22,29.11,25.48,9.43,29.04,9.17
EMC,2015-04-22,N,26.32,26.85,27.56,26.65,4.71,27.13,3.07,23,27.56,25.96,4.71,26.88,2.12
EMC,2015-07-22,N,24.93,24.76,25.79,24.74,3.44,25.38,1.8,30,28.0,24.74,12.31,25.06,0.52
EMC,2015-10-21,N,27.49,26.34,26.4,25.61,-6.83,25.77,-6.25,30,26.4,24.89,-9.45,25.33,-7.85
EMC,2016-01-27,N,24.3,23.76,24.21,23.76,-2.22,23.9,-1.64,23,25.36,23.76,4.36,25.03,3.0
EMC,2016-04-20,N,25.55,26.07,26.48,26.06,3.63,26.37,3.2,30,27.97,25.84,9.47,27.81,8.84
EMC,2016-07-18,Y,27.54,28.0,28.14,27.95,2.17,28.11,2.06,32,28.74,27.95,4.35,28.71,4.24
