Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EMKR,2002-02-06,Y,36.28,36.0,36.4,32.24,-11.13,33.4,-7.93,9,36.4,32.24,-11.13,33.04,-8.93
EMKR,2002-04-30,Y,35.4,33.0,35.96,31.28,-11.63,35.84,1.24,17,36.6,31.28,-11.63,32.84,-7.23
EMKR,2002-07-31,Y,13.2,13.04,13.6,12.6,-4.54,13.48,2.12,16,14.0,10.72,-18.78,13.72,3.93
EMKR,2002-11-13,Y,7.04,7.44,9.02,7.2,28.26,9.03,28.4,2,9.84,7.2,39.77,9.56,35.79
EMKR,2003-02-05,Y,8.27,8.19,8.48,8.16,2.41,8.4,1.44,16,9.4,7.88,13.52,8.4,1.44
EMKR,2003-05-07,Y,8.84,8.8,8.84,7.4,-16.28,7.92,-10.4,9,11.6,7.4,31.22,10.03,13.57
EMKR,2003-08-06,Y,12.36,12.36,12.8,12.16,3.55,12.4,0.32,9,12.8,11.68,-5.5,12.4,0.32
EMKR,2003-11-12,Y,20.0,20.52,21.08,19.55,5.39,19.88,-0.6,9,22.04,18.02,10.19,22.0,10.0
EMKR,2004-02-04,Y,25.52,25.4,27.4,25.28,7.36,27.04,5.95,16,28.28,22.52,-11.75,22.8,-10.65
EMKR,2004-05-05,Y,10.96,11.76,12.88,11.4,17.51,12.28,12.04,16,12.88,10.24,17.51,12.2,11.31
EMKR,2004-08-02,Y,10.76,10.6,10.92,10.24,-4.83,10.36,-3.71,18,10.92,8.96,-16.72,9.48,-11.89
EMKR,2004-11-04,Y,6.16,6.8,8.16,6.6,32.46,7.24,17.53,15,12.08,6.6,96.1,10.16,64.93
EMKR,2005-05-04,Y,13.2,13.8,14.4,12.24,9.09,12.84,-2.72,16,15.0,12.24,13.63,14.2,7.57
EMKR,2005-08-02,Y,20.12,19.88,20.04,18.04,-10.33,18.64,-7.35,17,20.44,17.52,-12.92,20.2,0.39
EMKR,2005-11-16,Y,23.88,23.8,26.2,22.56,9.71,25.64,7.37,2,26.2,22.56,9.71,25.28,5.86
EMKR,2006-02-01,Y,32.72,33.6,37.2,32.76,13.69,35.79,9.41,16,37.2,31.92,13.69,32.64,-0.24
EMKR,2006-05-03,Y,45.2,41.24,50.0,40.47,10.61,48.2,6.63,16,50.6,37.32,-17.43,39.64,-12.3
EMKR,2006-08-02,Y,28.28,27.84,29.12,26.28,-7.07,28.2,-0.28,16,30.0,24.28,-14.14,29.36,3.81
EMKR,2007-01-09,Y,18.12,18.28,18.36,17.0,-6.18,17.48,-3.53,10,18.36,15.92,-12.14,16.16,-10.81
EMKR,2007-04-25,Y,20.64,20.64,22.08,20.52,6.97,21.92,6.2,23,23.12,17.28,-16.27,18.28,-11.43
EMKR,2007-07-10,Y,23.96,23.72,25.2,22.0,-8.18,23.0,-4.0,10,30.84,22.0,28.71,30.12,25.7
EMKR,2007-10-10,Y,40.11,41.92,42.16,36.6,-8.77,37.72,-5.98,9,42.16,36.6,-8.77,38.84,-3.19
EMKR,2007-12-17,N,51.16,52.64,54.0,46.12,-9.85,46.56,-8.99,4,57.4,46.12,12.19,53.2,3.98
EMKR,2008-02-06,Y,48.12,49.68,59.92,48.8,24.52,54.8,13.88,9,59.92,48.04,24.52,49.28,2.41
EMKR,2008-05-07,Y,29.48,28.76,30.36,26.8,-9.09,26.92,-8.68,9,33.52,26.32,13.7,32.44,10.04
EMKR,2008-08-07,Y,17.84,16.16,19.52,15.6,-12.55,19.2,7.62,8,24.92,15.6,39.68,23.48,31.61
EMKR,2008-12-11,N,6.16,3.8,4.32,3.64,-40.9,4.08,-33.76,8,4.32,3.64,-40.9,4.0,-35.06
EMKR,2009-02-09,Y,4.36,3.96,4.32,3.68,-15.59,3.76,-13.76,11,4.32,2.48,-43.11,2.8,-35.77
EMKR,2009-05-11,Y,5.36,4.88,5.0,4.32,-19.4,4.44,-17.16,4,5.0,4.0,-25.37,4.16,-22.38
EMKR,2009-08-17,Y,4.76,4.59,4.76,4.2,-11.76,4.36,-8.4,4,4.76,4.12,-13.44,4.48,-5.88
EMKR,2009-12-15,Y,3.76,4.12,4.51,4.0,19.94,4.16,10.63,3,4.51,3.76,19.94,4.32,14.89
EMKR,2010-02-09,Y,4.16,4.2,4.4,4.12,5.76,4.36,4.8,10,5.24,4.12,25.96,4.96,19.23
EMKR,2010-05-10,Y,5.0,4.8,5.2,4.68,-6.4,4.96,-0.8,11,5.2,3.88,-22.4,4.24,-15.19
EMKR,2010-10-05,Y,3.44,3.48,3.56,3.45,3.48,3.48,1.16,10,4.76,3.45,38.37,4.48,30.23
EMKR,2010-12-21,Y,6.36,5.8,5.8,4.76,-25.15,4.92,-22.64,31,6.2,4.2,-33.96,5.76,-9.43
EMKR,2011-02-03,Y,6.16,5.76,7.32,5.68,18.83,7.12,15.58,15,11.0,5.68,78.57,9.6,55.84
EMKR,2011-05-05,Y,9.92,9.68,9.72,9.19,-7.35,9.68,-2.41,15,10.92,9.16,10.08,9.96,0.4
EMKR,2011-08-03,Y,9.72,8.72,8.8,6.44,-33.74,6.68,-31.27,16,8.8,5.96,-38.68,6.0,-38.27
EMKR,2011-12-27,Y,3.46,4.0,4.63,3.6,33.81,3.68,6.35,24,4.92,3.4,42.19,4.88,41.04
EMKR,2012-02-14,Y,5.04,5.04,5.4,4.84,7.14,5.04,,3,5.99,4.66,18.84,5.33,5.75
EMKR,2012-05-03,Y,5.01,5.05,5.05,4.34,-13.37,4.38,-12.57,15,5.05,3.81,-23.95,3.87,-22.75
EMKR,2012-08-07,Y,5.16,5.21,5.46,5.13,5.81,5.37,4.06,10,5.46,4.82,-6.58,5.35,3.68
EMKR,2012-12-06,Y,4.76,3.91,4.62,3.91,-18.02,4.41,-7.54,15,4.62,3.91,-18.02,4.48,-6.07
