Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ENIC,2018-02-27,Y,6.09,6.19,6.27,6.1,2.95,6.12,0.49,17,6.42,5.99,5.41,6.36,4.43
ENIC,2018-05-04,Y,5.96,5.94,6.0,5.92,0.67,5.96,0.0,14,6.0,5.61,-5.87,5.66,-5.03
ENIC,2018-07-26,Y,5.28,5.27,5.31,5.14,-2.65,5.17,-2.08,22,5.35,4.72,-10.6,4.84,-8.33
ENIC,2018-10-30,Y,4.27,4.27,4.33,4.2,-1.63,4.3,0.7,17,4.76,4.2,11.47,4.65,8.89
ENIC,2019-02-28,Y,5.22,5.22,5.34,5.18,2.29,5.19,-0.57,15,5.34,5.04,-3.44,5.12,-1.91
ENIC,2019-05-07,Y,4.71,4.77,4.8,4.57,-2.97,4.65,-1.27,10,4.8,4.3,-8.7,4.35,-7.64
ENIC,2019-07-30,Y,4.49,4.45,4.63,4.35,3.11,4.6,2.44,17,4.63,4.11,-8.46,4.22,-6.01
ENIC,2019-10-30,Y,4.25,4.25,4.4,4.14,3.52,4.15,-2.35,16,4.4,3.58,-15.76,4.21,-0.94
ENIC,2020-02-25,Y,4.54,4.61,4.62,4.46,1.76,4.47,-1.54,24,4.62,2.95,-35.02,3.16,-30.39
ENIC,2020-07-27,Y,3.99,3.99,4.14,3.97,3.75,4.09,2.5,25,4.22,3.71,-7.01,3.83,-4.01
ENIC,2020-10-29,Y,3.33,3.3,3.35,3.22,-3.3,3.33,0.0,22,3.69,3.22,10.81,3.54,6.3
ENIC,2021-02-26,Y,3.6,3.89,3.97,3.65,10.27,3.67,1.94,21,4.06,3.65,12.77,3.9,8.33
ENIC,2021-05-04,Y,3.64,3.68,3.8,3.65,4.39,3.77,3.57,17,3.8,2.94,-19.23,2.98,-18.13
ENIC,2021-07-27,Y,2.7,2.71,2.74,2.64,-2.22,2.66,-1.48,24,2.74,2.34,-13.33,2.51,-7.03
ENIC,2021-10-29,Y,2.17,2.19,2.22,2.18,2.3,2.18,0.46,21,2.28,1.9,-12.44,1.98,-8.75
ENIC,2022-02-28,Y,1.71,1.67,1.67,1.57,-8.18,1.62,-5.26,18,1.77,1.36,-20.46,1.68,-1.75
ENIC,2022-05-03,Y,1.39,1.4,1.41,1.36,-2.15,1.41,1.43,17,1.46,1.28,-7.91,1.36,-2.15
ENIC,2022-07-26,Y,1.23,1.26,1.3,1.22,5.69,1.29,4.87,24,1.64,1.22,33.33,1.49,21.13
ENIC,2022-10-28,Y,1.69,1.55,1.7,1.55,-8.28,1.69,0.0,21,1.99,1.55,17.75,1.89,11.83
