Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ENLC,2014-05-06,Y,36.4,36.4,36.78,35.76,-1.75,36.09,-0.85,10,38.47,35.5,5.68,38.14,4.78
ENLC,2014-08-05,Y,37.51,37.4,38.5,36.82,2.63,37.35,-0.42,10,41.56,36.82,10.79,41.11,9.59
ENLC,2014-11-04,Y,36.4,37.0,37.0,35.97,1.64,36.75,0.96,18,38.5,35.03,5.76,37.96,4.28
ENLC,2015-02-18,N,36.47,36.67,37.0,35.31,-3.2,35.4,-2.93,2,37.0,34.54,-5.31,35.44,-2.85
ENLC,2015-05-06,N,34.79,35.15,35.15,34.35,-1.29,34.54,-0.71,9,35.15,33.03,-5.08,33.82,-2.81
ENLC,2015-08-05,N,25.29,25.4,25.84,23.68,-6.36,23.83,-5.77,16,25.84,22.59,-10.67,22.61,-10.59
ENLC,2015-11-04,N,20.89,20.2,20.78,19.1,-8.56,20.07,-3.87,16,20.78,16.02,-23.31,16.05,-23.12
ENLC,2016-02-17,N,8.91,8.1,8.23,7.15,-19.75,7.18,-19.41,2,8.23,6.78,-23.9,7.29,-18.18
ENLC,2016-05-03,N,14.15,13.9,13.9,13.22,-6.57,13.5,-4.59,17,15.42,12.51,-11.59,15.25,7.77
ENLC,2016-08-02,N,14.81,15.21,15.6,14.76,5.33,15.06,1.68,17,16.97,14.76,14.58,16.93,14.31
ENLC,2016-11-01,N,15.25,15.35,15.4,14.7,-3.6,14.95,-1.96,17,18.0,14.7,18.03,17.85,17.04
ENLC,2017-02-14,Y,19.3,18.95,19.55,18.39,-4.71,19.14,-0.77,3,19.55,18.39,-4.71,19.0,-1.55
ENLC,2017-05-02,Y,18.5,17.8,18.55,17.25,-6.75,17.8,-3.78,17,18.85,16.8,-9.18,18.1,-2.16
ENLC,2017-08-01,Y,17.45,17.6,17.8,17.25,2.0,17.7,1.43,17,18.0,15.95,-8.59,16.35,-6.3
ENLC,2017-10-31,Y,15.5,16.1,16.2,15.7,4.51,16.0,3.22,17,16.65,15.0,7.41,15.55,0.32
ENLC,2018-02-20,Y,16.9,17.0,17.0,15.75,-6.8,15.75,-6.8,24,17.0,14.25,-15.68,15.35,-9.17
ENLC,2018-05-01,Y,14.8,14.5,16.0,14.5,8.1,15.2,2.7,17,17.1,14.5,15.54,16.65,12.49
ENLC,2018-07-31,Y,15.95,16.3,17.55,16.0,10.03,17.35,8.77,17,18.0,16.0,12.85,17.35,8.77
ENLC,2018-11-06,Y,13.08,12.9,13.45,12.11,-7.41,12.5,-4.43,10,13.45,11.15,-14.75,11.58,-11.46
ENLC,2019-02-19,Y,11.39,11.49,11.82,11.32,3.77,11.37,-0.17,24,12.09,10.78,6.14,12.09,6.14
ENLC,2019-04-30,Y,11.69,11.62,11.62,10.97,-6.15,11.08,-5.21,17,11.74,10.58,-9.49,11.55,-1.19
ENLC,2019-08-06,Y,8.41,8.04,8.25,7.2,-14.38,7.41,-11.89,10,8.25,6.6,-21.52,7.75,-7.84
ENLC,2020-02-25,Y,4.02,4.09,4.12,3.8,-5.47,3.9,-2.98,24,4.12,0.9,-77.61,1.15,-71.39
ENLC,2020-05-07,Y,1.71,1.88,1.89,1.6,10.52,1.76,2.92,8,1.89,1.45,-15.2,1.66,-2.92
ENLC,2020-08-04,Y,2.53,2.78,3.3,2.78,30.43,2.98,17.78,17,3.3,2.78,30.43,2.93,15.81
ENLC,2020-11-04,Y,2.61,2.8,2.99,2.73,14.55,2.9,11.11,16,3.82,2.73,46.36,3.62,38.69
ENLC,2021-02-16,Y,4.73,4.54,4.55,4.09,-13.53,4.29,-9.3,3,4.55,3.95,-16.49,4.09,-13.53
ENLC,2021-05-04,Y,4.57,4.67,4.72,4.47,3.28,4.47,-2.18,17,5.14,4.36,12.47,5.0,9.4
ENLC,2021-08-03,Y,5.42,5.41,5.49,5.15,-4.98,5.16,-4.79,17,5.67,4.79,-11.62,5.04,-7.01
ENLC,2021-11-02,Y,7.9,7.82,7.86,7.24,-8.35,7.45,-5.69,17,7.86,6.77,-14.3,6.83,-13.54
ENLC,2022-02-15,Y,8.33,8.46,9.02,8.46,8.28,8.59,3.12,3,9.02,8.36,8.28,8.45,1.44
ENLC,2022-05-03,Y,10.46,10.52,11.2,10.44,7.07,11.17,6.78,17,11.27,9.28,-11.28,10.18,-2.67
ENLC,2022-08-03,Y,9.5,9.49,9.77,9.02,-5.05,9.1,-4.21,16,11.14,8.89,17.26,10.5,10.52
ENLC,2022-11-01,Y,11.98,11.99,12.65,11.92,5.59,12.05,0.58,17,12.75,11.62,6.42,12.63,5.42
ENLC,2023-02-14,Y,12.83,12.52,12.84,12.29,-4.2,12.53,-2.33,3,12.84,11.62,-9.43,11.65,-9.19
