Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ENS,2004-09-09,Y,13.28,13.4,13.47,13.35,1.43,13.4,0.9,8,14.4,13.35,8.43,13.95,5.04
ENS,2004-11-16,Y,13.95,13.6,14.39,13.3,-4.65,14.0,0.35,3,14.39,13.3,-4.65,13.63,-2.29
ENS,2005-02-16,Y,14.5,14.25,14.26,13.6,-6.2,13.69,-5.58,2,14.26,13.59,-6.27,13.72,-5.37
ENS,2005-06-20,Y,13.01,13.04,13.04,12.75,-1.99,12.85,-1.22,25,15.1,12.23,16.06,14.22,9.3
ENS,2005-08-17,Y,13.05,12.75,13.36,12.51,-4.13,13.22,1.3,2,13.36,12.51,-4.13,13.1,0.38
ENS,2005-11-15,Y,14.56,14.25,14.42,13.5,-7.28,13.89,-4.6,3,14.42,13.5,-7.28,13.95,-4.18
ENS,2006-02-15,Y,12.43,12.47,15.7,12.47,26.3,14.4,15.84,2,15.7,12.47,26.3,14.06,13.11
ENS,2006-06-14,Y,16.11,16.12,17.25,16.12,7.07,17.25,7.07,2,17.5,16.1,8.62,16.57,2.85
ENS,2006-11-08,Y,15.24,15.05,15.72,15.05,3.14,15.44,1.31,9,16.95,14.8,11.22,16.41,7.67
ENS,2007-02-08,N,16.25,16.64,16.82,16.3,3.5,16.61,2.21,8,17.0,16.05,4.61,16.61,2.21
ENS,2007-06-14,Y,18.89,19.62,19.7,18.98,4.28,19.03,0.74,1,19.7,18.98,4.28,19.03,0.74
ENS,2007-08-09,Y,18.64,18.78,19.85,18.72,6.49,19.38,3.96,8,19.85,18.0,6.49,19.01,1.98
ENS,2007-11-07,Y,17.55,18.67,19.23,18.64,9.57,19.2,9.4,9,20.8,18.64,18.51,20.8,18.51
ENS,2008-02-06,Y,25.37,26.31,27.72,24.15,9.26,27.63,8.9,9,28.25,24.15,11.35,26.34,3.82
ENS,2008-08-05,Y,32.81,32.01,32.4,26.81,-18.28,28.23,-13.95,10,32.4,25.93,-20.96,31.0,-5.51
ENS,2008-11-05,Y,12.04,10.98,11.3,9.26,-23.08,10.03,-16.61,16,11.3,5.71,-52.57,6.57,-45.43
ENS,2009-02-05,Y,11.14,11.16,12.73,11.16,14.27,12.55,12.65,15,12.73,10.19,14.27,10.58,-5.02
ENS,2009-06-01,Y,17.23,15.88,18.89,15.61,9.63,18.82,9.22,18,20.58,15.61,19.44,18.41,6.84
ENS,2009-08-06,Y,21.81,22.11,22.36,21.51,2.52,21.98,0.77,15,23.89,19.6,-10.13,21.44,-1.69
ENS,2009-10-30,Y,22.1,22.23,22.29,21.1,-4.52,21.65,-2.03,21,24.49,21.1,10.81,23.79,7.64
ENS,2010-02-03,Y,20.82,20.71,22.38,20.6,7.49,21.19,1.77,16,23.19,20.6,11.38,23.07,10.8
ENS,2010-06-01,Y,21.78,22.03,22.61,21.37,3.81,22.61,3.81,17,24.87,21.37,14.18,24.06,10.46
ENS,2010-08-11,Y,23.77,22.99,22.99,21.93,-7.74,22.52,-5.25,9,23.93,21.92,-7.78,22.99,-3.28
ENS,2010-11-09,Y,27.75,28.21,29.9,27.99,7.74,29.78,7.31,10,30.88,27.99,11.27,30.74,10.77
