Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ENTR,2008-04-28,Y,4.63,4.5,4.67,3.98,-14.22,4.53,-2.37,18,5.36,3.98,15.51,5.28,13.79
ENTR,2008-08-05,Y,2.2,1.9,1.9,1.35,-38.63,1.48,-32.72,10,1.9,1.35,-38.63,1.7,-22.72
ENTR,2008-10-28,Y,1.1,0.91,1.05,0.88,-20.0,0.97,-11.81,24,1.17,0.88,-20.0,1.08,-1.81
ENTR,2009-02-05,Y,0.66,0.66,0.77,0.56,16.66,0.68,3.03,15,0.77,0.52,-21.21,0.52,-21.21
ENTR,2009-04-30,Y,1.83,1.43,1.77,1.03,-43.71,1.72,-6.01,15,2.49,1.03,-43.71,1.99,8.74
ENTR,2009-07-30,Y,3.1,3.1,3.47,3.03,11.93,3.15,1.61,22,3.47,2.73,11.93,2.9,-6.45
ENTR,2009-10-26,Y,2.54,2.75,2.8,2.52,9.8,2.72,6.66,25,3.07,2.31,20.39,2.96,16.07
ENTR,2010-02-03,Y,3.4,3.33,3.34,2.95,-13.23,3.21,-5.58,16,3.72,2.95,-13.23,3.56,4.7
ENTR,2010-04-28,Y,5.27,5.44,5.87,5.3,11.38,5.73,8.72,23,5.87,4.3,-18.4,4.93,-6.26
ENTR,2010-07-28,Y,6.83,7.38,8.0,7.2,17.13,7.96,16.54,23,8.35,6.62,22.25,7.5,9.8
ENTR,2010-10-27,Y,9.01,9.44,9.55,7.86,-12.76,8.18,-9.21,23,9.55,7.86,-12.76,9.07,0.66
ENTR,2011-02-02,Y,11.01,12.0,12.04,10.3,9.35,10.75,-2.36,16,12.04,9.58,-12.98,9.65,-12.35
ENTR,2011-04-26,Y,8.46,8.23,8.94,7.81,-7.68,8.85,4.6,24,9.58,7.81,13.23,8.53,0.94
ENTR,2011-08-03,Y,6.68,4.97,5.05,4.01,-39.97,4.13,-38.02,16,5.05,3.36,-49.7,3.61,-45.95
ENTR,2011-11-03,Y,5.93,5.5,5.95,5.34,-9.94,5.56,-6.23,15,5.95,4.72,-20.4,4.83,-18.54
ENTR,2012-02-01,Y,6.05,6.21,7.03,6.1,16.19,7.0,15.7,16,7.38,6.1,21.98,7.12,17.68
ENTR,2012-04-24,Y,4.75,4.13,4.22,4.01,-15.57,4.19,-11.78,24,4.25,3.51,-26.1,3.56,-25.05
ENTR,2012-08-01,Y,5.85,6.0,6.0,5.37,-8.2,5.67,-3.07,16,6.0,5.37,-8.2,5.91,1.02
ENTR,2012-10-24,Y,5.62,5.46,5.46,4.63,-17.61,4.93,-12.27,23,5.46,4.09,-27.22,4.5,-19.92
ENTR,2013-02-05,Y,5.13,4.75,4.93,4.61,-10.13,4.79,-6.62,10,4.93,4.47,-12.86,4.71,-8.18
ENTR,2013-04-30,Y,4.24,3.77,3.9,3.57,-15.8,3.72,-12.26,17,4.49,3.57,-15.8,4.48,5.66
ENTR,2013-07-31,Y,4.43,3.81,3.99,3.65,-17.6,3.98,-10.15,16,3.99,3.58,-19.18,3.86,-12.86
ENTR,2013-10-29,Y,4.38,4.36,4.36,4.04,-7.97,4.15,-5.46,17,4.83,4.04,10.02,4.72,7.51
ENTR,2014-02-05,Y,4.15,4.01,4.01,3.74,-9.87,3.9,-6.02,16,4.26,3.74,-9.87,4.25,2.4
ENTR,2014-05-01,Y,3.58,3.45,3.5,3.27,-8.65,3.39,-5.3,15,3.5,3.05,-14.8,3.14,-12.29
ENTR,2014-07-30,Y,3.08,2.95,3.06,2.77,-10.06,2.79,-9.41,16,3.06,2.46,-20.12,2.66,-13.63
ENTR,2014-11-10,N,2.5,2.46,2.77,2.42,10.8,2.71,8.39,11,2.77,2.35,10.8,2.37,-5.19
ENTR,2015-02-03,Y,2.7,2.96,3.07,2.89,13.7,3.06,13.33,16,3.08,2.89,14.07,2.99,10.74
ENTR,2015-04-22,Y,3.08,3.12,3.14,3.07,1.94,3.14,1.94,22,3.15,3.02,2.27,3.02,-1.94
