Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EOG,2002-01-30,N,15.97,15.6,16.64,15.25,-4.5,16.45,3.0,16,17.18,15.25,7.57,16.32,2.19
EOG,2002-04-29,Y,21.06,21.18,21.48,21.0,1.99,21.28,1.04,18,22.08,20.6,4.84,21.2,0.66
EOG,2002-08-12,Y,18.0,17.63,17.89,17.23,-4.27,17.23,-4.22,4,17.98,16.98,-5.66,17.55,-2.49
EOG,2002-10-21,Y,18.89,18.48,18.62,17.96,-4.97,18.62,-1.48,25,19.66,17.64,-6.66,18.8,-0.52
EOG,2003-02-03,Y,19.34,19.34,19.98,19.1,3.3,19.94,3.1,18,20.44,18.89,5.68,20.3,4.96
EOG,2003-05-05,N,18.64,18.73,19.22,18.68,3.05,18.88,1.23,11,20.05,18.36,7.5,20.05,7.56
EOG,2003-08-06,Y,19.5,19.5,20.3,19.5,4.1,20.02,2.66,9,20.97,19.5,7.53,20.72,6.25
EOG,2003-11-03,Y,21.12,21.25,21.28,20.74,-1.79,21.02,-0.47,18,21.83,20.74,3.36,21.02,-0.47
EOG,2004-02-05,N,22.22,21.4,21.4,21.4,3.69,21.4,-3.69,15,22.08,21.22,-4.5,21.5,-3.24
EOG,2004-05-03,N,24.62,24.72,26.08,24.56,5.93,26.08,5.93,18,27.64,24.56,12.26,26.34,6.98
EOG,2004-08-02,Y,31.77,32.18,33.04,31.86,3.99,32.44,2.1,18,33.04,27.7,-12.81,28.6,-9.97
EOG,2004-10-27,N,34.86,34.94,35.61,33.25,-4.61,33.94,-2.63,23,36.13,32.08,-7.97,35.67,2.32
EOG,2005-02-02,Y,38.31,39.25,39.35,37.96,2.71,38.64,0.86,16,43.06,37.9,12.39,42.78,11.66
EOG,2005-04-27,N,47.75,48.8,48.8,46.04,-3.58,47.78,0.06,23,50.4,42.4,-11.2,47.86,0.23
EOG,2005-07-26,Y,65.34,65.3,65.88,63.67,-2.57,63.79,-2.38,24,65.88,58.75,-10.09,61.08,-6.53
EOG,2005-11-01,Y,67.93,68.25,71.0,68.25,4.51,70.5,3.78,17,72.55,62.13,-8.53,68.87,1.38
EOG,2006-02-01,Y,82.95,82.7,82.7,78.72,-5.09,80.7,-2.7,16,82.7,65.98,-20.45,71.55,-13.74
EOG,2006-05-05,Y,76.31,74.09,74.77,73.11,-4.19,74.55,-2.3,14,77.29,61.45,-19.47,62.7,-17.83
EOG,2006-07-31,Y,74.15,72.17,73.65,71.06,-4.16,71.43,-3.66,18,73.65,64.2,-13.41,66.34,-10.53
EOG,2006-10-30,Y,67.0,66.9,67.33,65.05,-2.91,66.53,-0.7,18,69.98,64.58,4.44,68.3,1.94
EOG,2007-02-01,N,69.13,69.5,69.95,68.09,-1.5,69.59,0.66,15,69.95,64.4,-6.84,67.0,-3.08
EOG,2007-04-30,Y,73.44,74.73,77.31,73.8,5.26,75.78,3.18,18,78.66,73.8,7.1,78.47,6.84
EOG,2007-08-02,Y,73.14,71.8,73.53,70.23,-3.97,70.47,-3.65,15,75.83,65.59,-10.32,71.58,-2.13
EOG,2007-10-29,Y,82.51,84.09,86.32,83.93,4.61,85.95,4.16,18,90.73,82.76,9.96,85.28,3.35
EOG,2008-02-07,Y,90.09,91.38,95.31,91.25,5.79,94.12,4.47,8,100.75,91.25,11.83,96.03,6.59
EOG,2008-05-02,Y,127.75,128.77,133.6,128.47,4.57,132.54,3.74,14,141.88,128.47,11.06,140.99,10.36
EOG,2008-07-29,Y,100.01,98.32,105.33,98.0,5.31,105.15,5.13,17,107.64,91.06,-8.94,95.6,-4.4
