Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EQNR,2018-07-25,N,26.14,26.18,26.36,26.06,0.84,26.36,0.84,24,26.77,24.58,-5.96,25.14,-3.82
EQNR,2018-10-24,N,25.66,25.98,26.03,25.02,-2.49,25.03,-2.45,24,26.21,23.51,-8.37,24.78,-3.42
EQNR,2019-02-06,N,23.47,22.91,23.27,22.91,-2.38,23.19,-1.19,10,23.28,22.23,-5.28,23.1,-1.57
EQNR,2019-05-03,N,21.66,22.07,22.15,21.8,2.26,21.81,0.69,15,22.15,20.71,-4.38,20.93,-3.37
EQNR,2019-07-25,N,18.97,18.73,18.73,18.06,-4.79,18.15,-4.32,23,18.73,16.24,-14.39,16.55,-12.75
EQNR,2019-10-24,N,19.04,19.28,19.31,19.01,1.41,19.08,0.21,23,19.81,18.41,4.04,19.56,2.73
EQNR,2020-02-06,N,18.61,18.14,18.23,17.83,-4.19,17.9,-3.81,16,18.23,16.65,-10.53,17.14,-7.89
EQNR,2020-05-07,N,12.86,13.47,13.61,13.3,5.83,13.35,3.81,9,13.99,13.04,8.78,13.48,4.82
EQNR,2020-07-24,N,15.24,15.73,15.87,15.53,4.13,15.63,2.55,29,16.93,14.71,11.08,15.85,4.0
EQNR,2020-10-29,N,12.96,12.28,12.83,12.11,-6.55,12.72,-1.85,23,15.54,12.11,19.9,15.07,16.28
EQNR,2021-02-10,N,18.45,18.22,18.34,17.95,-2.71,18.05,-2.16,10,18.46,17.61,-4.55,17.89,-3.03
EQNR,2021-04-29,N,21.01,21.3,21.4,20.89,1.85,21.19,0.85,23,22.39,20.27,6.56,21.15,0.66
EQNR,2021-07-28,N,19.85,19.59,20.08,19.29,-2.82,19.92,0.35,24,21.35,19.29,7.55,19.89,0.2
EQNR,2021-10-27,N,28.02,27.07,27.26,25.56,-8.77,26.04,-7.06,24,27.29,24.66,-11.99,24.69,-11.88
EQNR,2022-02-09,N,29.03,29.27,29.89,29.22,2.96,29.59,1.92,10,32.17,28.58,10.81,30.02,3.41
EQNR,2022-05-04,N,34.7,36.37,36.63,35.2,5.56,35.98,3.68,17,36.63,32.34,-6.8,33.98,-2.07
EQNR,2022-07-27,N,36.27,36.38,37.18,35.74,2.5,36.92,1.79,24,38.74,35.21,6.81,38.44,5.98
EQNR,2022-10-28,N,35.87,36.85,37.14,36.04,3.54,36.81,2.62,22,38.66,33.35,7.77,33.9,-5.49
EQNR,2023-02-08,N,29.28,31.39,31.68,30.59,8.19,31.36,7.1,10,33.03,30.59,12.8,30.65,4.67
