Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ERF,2002-03-08,Y,16.07,16.1,16.19,16.05,0.74,16.14,0.49,7,16.19,15.76,-1.92,16.0,-0.43
ERF,2002-05-21,Y,17.1,17.1,17.12,16.97,-0.76,17.05,-0.29,31,18.07,16.8,5.67,18.05,5.55
ERF,2002-08-16,N,18.07,18.18,18.27,17.89,1.05,17.91,-0.94,0,18.27,17.89,1.05,17.91,-0.94
ERF,2002-11-11,Y,17.8,17.82,17.82,17.6,-1.12,17.64,-0.84,4,17.82,17.3,-2.8,17.41,-2.19
ERF,2003-03-07,N,19.48,19.41,19.48,18.72,-3.95,18.88,-3.12,14,19.48,17.5,-10.21,18.11,-7.08
ERF,2003-05-20,Y,22.71,22.8,23.21,22.7,2.2,23.11,1.76,31,25.16,20.05,-11.71,22.77,0.26
ERF,2003-08-15,N,25.2,25.27,25.5,25.2,1.19,25.5,1.19,0,25.5,25.2,1.19,25.5,1.19
ERF,2003-11-13,Y,28.04,28.16,28.25,27.91,0.74,28.02,-0.07,8,28.25,27.25,-2.81,27.68,-1.28
ERF,2004-03-18,Y,29.68,29.5,29.83,29.2,-1.61,29.27,-1.38,1,29.83,29.2,-1.61,29.27,-1.38
ERF,2004-05-06,N,25.85,25.67,25.78,25.14,-2.74,25.67,-0.69,15,25.9,23.61,-8.66,25.51,-1.31
ERF,2004-08-04,N,30.33,30.35,30.54,29.61,-2.37,29.98,-1.15,16,30.54,29.26,-3.52,29.53,-2.63
ERF,2004-11-05,N,33.47,33.49,33.85,33.4,1.13,33.77,0.89,14,33.85,31.71,-5.25,33.74,0.8
ERF,2005-02-25,Y,37.13,37.15,38.0,37.15,2.34,37.59,1.23,21,39.22,36.67,5.62,38.32,3.2
ERF,2005-05-06,N,36.29,36.27,36.47,36.07,-0.63,36.08,-0.6,14,36.47,32.0,-11.84,33.89,-6.63
ERF,2005-08-04,N,41.39,41.59,41.66,41.45,0.65,41.52,0.31,15,41.8,36.76,-11.18,39.22,-5.24
ERF,2005-11-08,Y,41.78,41.71,42.35,41.45,1.36,41.8,0.04,10,42.39,40.19,-3.8,42.08,0.71
ERF,2006-02-24,Y,51.54,51.53,51.84,51.0,-1.04,51.1,-0.85,21,52.1,48.11,-6.65,50.3,-2.4
ERF,2006-05-05,Y,54.35,53.55,53.96,53.04,-2.41,53.9,-0.82,14,55.88,47.4,-12.78,49.48,-8.96
ERF,2006-08-03,Y,58.0,58.18,58.4,57.76,0.68,58.27,0.46,15,59.45,55.55,-4.22,56.77,-2.12
ERF,2006-11-10,Y,41.35,40.47,40.82,39.0,-5.68,40.79,-1.33,7,42.55,38.47,-6.96,42.17,1.98
ERF,2007-02-22,Y,43.46,43.96,44.0,43.59,1.24,43.96,1.15,22,44.4,40.0,-7.96,40.15,-7.61
ERF,2007-05-04,Y,44.92,45.1,45.37,44.92,1.0,45.37,1.0,14,48.21,44.85,7.32,47.2,5.07
ERF,2007-08-02,N,44.37,44.9,44.9,43.4,-2.18,43.95,-0.94,15,44.9,38.1,-14.13,41.32,-6.87
ERF,2007-11-09,N,46.98,47.11,47.11,43.93,-6.49,44.47,-5.34,7,47.11,41.04,-12.64,41.44,-11.79
ERF,2008-02-28,N,42.95,42.9,43.46,42.9,1.18,43.15,0.46,22,44.31,39.15,-8.84,40.21,-6.37
ERF,2008-05-09,Y,47.93,47.56,47.6,47.0,-1.94,47.12,-1.68,7,48.74,46.63,-2.71,48.64,1.48
ERF,2008-08-07,N,39.86,40.4,40.65,39.77,1.95,39.99,0.3,8,40.65,37.61,-5.66,38.95,-2.3
ERF,2008-11-07,N,25.06,25.07,25.73,24.08,-3.91,24.61,-1.79,14,25.73,17.07,-31.88,18.57,-25.89
ERF,2009-02-26,N,16.67,17.05,17.63,16.87,5.75,17.19,3.11,22,17.96,12.85,-22.91,16.87,1.19
ERF,2009-05-08,N,21.88,22.41,24.05,22.28,9.91,23.64,8.04,7,24.05,20.6,9.91,20.78,-5.02
ERF,2009-08-10,N,21.52,21.35,21.66,21.34,-0.83,21.6,0.37,11,21.66,19.52,-9.29,20.49,-4.78
ERF,2009-11-13,N,22.77,22.41,23.11,22.41,-1.58,22.98,0.92,7,23.48,22.41,3.11,22.79,0.08
ERF,2010-02-25,N,21.98,21.76,22.03,21.41,-2.59,22.03,0.22,22,23.75,21.41,8.05,23.08,5.0
ERF,2010-05-07,N,21.76,21.81,22.58,21.69,3.76,22.26,2.29,14,23.65,20.1,8.68,21.18,-2.66
ERF,2010-08-06,N,23.68,23.43,23.43,22.93,-3.16,23.17,-2.15,14,23.43,22.27,-5.95,22.62,-4.47
ERF,2010-11-12,N,29.06,28.78,28.8,27.51,-5.33,28.16,-3.09,7,28.8,26.18,-9.91,27.88,-4.06
ERF,2011-02-25,N,31.96,32.22,32.22,31.31,-2.03,31.74,-0.68,21,32.79,27.75,-13.17,31.02,-2.94
ERF,2011-05-13,N,30.24,30.16,30.44,29.85,-1.28,30.12,-0.39,7,32.1,29.75,6.15,31.86,5.35
ERF,2011-08-05,N,22.73,22.91,22.96,20.93,-7.91,21.88,-3.73,14,25.01,20.07,-11.65,22.35,-1.67
ERF,2011-11-10,N,23.26,23.53,23.53,22.36,-3.86,22.67,-2.53,8,23.53,21.69,-6.74,21.75,-6.49
ERF,2012-02-24,N,21.1,21.05,21.11,20.35,-3.55,20.52,-2.74,21,21.11,19.82,-6.06,20.5,-2.84
ERF,2012-05-11,N,14.8,14.7,14.86,14.08,-4.86,14.16,-4.32,7,14.86,12.04,-18.64,12.06,-18.51
ERF,2012-08-10,N,13.11,13.02,13.07,12.73,-2.89,12.82,-2.21,7,14.06,12.73,7.24,13.97,6.55
ERF,2012-11-09,N,13.78,13.18,13.21,11.66,-15.38,11.78,-14.51,7,13.21,10.52,-23.65,10.83,-21.4
ERF,2013-02-22,N,11.44,11.6,12.02,11.52,5.06,11.92,4.19,21,14.18,11.52,23.95,14.16,23.77
ERF,2013-05-10,N,13.61,13.64,14.38,13.5,5.65,14.35,5.43,7,15.28,13.5,12.27,15.15,11.31
ERF,2013-08-09,Y,16.54,16.52,16.57,16.23,-1.81,16.37,-1.02,7,16.72,16.11,-2.59,16.5,-0.24
ERF,2013-11-08,Y,17.28,17.45,18.03,17.41,4.34,17.77,2.83,7,18.39,17.3,6.42,18.34,6.13
ERF,2014-02-21,N,19.82,19.82,19.86,19.13,-3.53,19.3,-2.62,0,19.86,19.13,-3.53,19.3,-2.62
ERF,2014-05-09,N,21.91,22.02,22.02,20.18,-7.89,21.09,-3.74,7,22.02,20.18,-7.89,21.17,-3.37
ERF,2014-08-08,N,22.18,22.24,22.73,21.89,2.47,22.58,1.8,7,22.87,21.32,-3.87,21.79,-1.75
ERF,2014-11-07,N,13.31,13.95,15.03,13.87,12.92,14.78,11.04,15,16.35,13.87,22.83,15.21,14.27
ERF,2015-05-08,N,11.4,11.39,11.53,10.95,-3.94,11.41,0.08,7,11.53,10.29,-9.73,10.72,-5.96
ERF,2015-08-07,N,6.09,6.24,6.47,6.03,6.23,6.1,0.16,14,7.02,5.19,15.27,5.27,-13.46
ERF,2015-11-06,N,5.16,4.98,5.57,4.79,7.94,5.4,4.65,14,5.72,4.79,10.85,5.01,-2.9
ERF,2016-02-19,N,3.0,2.83,3.05,2.73,-9.0,2.95,-1.66,0,3.05,2.73,-9.0,2.95,-1.66
ERF,2016-05-06,N,4.95,4.72,5.36,4.72,8.28,5.08,2.62,14,5.74,4.68,15.95,5.05,2.02
ERF,2016-08-05,N,6.28,6.18,6.59,6.08,4.93,6.49,3.34,14,7.82,6.08,24.52,7.67,22.13
ERF,2016-11-14,N,6.4,6.26,6.8,6.26,6.24,6.73,5.15,4,7.64,6.26,19.37,7.44,16.25
