Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ESE,2002-02-05,Y,18.02,18.14,18.62,17.89,3.32,17.89,-0.66,10,19.6,17.66,8.76,19.14,6.21
ESE,2002-05-08,N,19.45,19.48,19.62,18.62,-4.26,19.05,-2.0,9,19.95,18.62,-4.26,19.46,0.05
ESE,2002-08-07,N,14.65,14.65,14.8,13.0,-11.26,13.7,-6.48,9,14.8,13.0,-11.26,14.03,-4.23
ESE,2002-11-15,N,18.39,17.75,17.75,16.76,-8.91,16.76,-8.91,0,17.75,16.76,-8.91,16.76,-8.91
ESE,2003-02-06,Y,17.18,17.3,17.39,17.28,1.22,17.38,1.16,15,17.52,16.89,1.97,17.1,-0.46
ESE,2003-05-13,N,19.54,19.0,19.46,18.28,-6.44,19.44,-0.51,3,19.5,18.28,-6.44,18.72,-4.19
ESE,2003-08-12,N,22.25,22.4,23.6,21.25,6.06,21.25,-4.49,3,23.6,20.98,6.06,21.05,-5.39
ESE,2003-11-20,N,21.74,19.96,19.96,19.96,8.18,19.96,-8.18,1,20.82,19.96,-8.18,20.65,-5.01
ESE,2004-02-05,Y,23.12,23.12,23.56,23.05,1.9,23.36,1.03,15,23.92,22.55,3.46,23.32,0.86
ESE,2004-05-11,N,24.18,24.15,24.65,23.93,1.94,24.2,0.08,10,24.65,23.6,-2.39,24.38,0.82
ESE,2004-08-10,N,24.98,27.45,28.15,27.3,12.69,27.88,11.6,10,30.68,27.3,22.81,30.5,22.09
ESE,2004-11-16,N,37.36,35.04,35.04,32.25,-13.7,34.58,-7.46,3,35.49,32.25,-13.7,34.79,-6.87
ESE,2005-02-04,N,36.54,36.1,37.79,36.1,3.39,37.7,3.14,14,40.1,36.1,9.71,39.02,6.75
ESE,2005-05-10,N,39.04,39.28,39.79,37.97,-2.74,38.14,-2.3,10,43.6,37.97,11.68,42.84,9.73
ESE,2005-08-09,N,53.26,54.62,54.62,51.81,-2.72,52.03,-2.3,10,56.22,51.81,5.55,52.7,-1.05
ESE,2005-11-15,N,40.93,35.1,36.13,32.57,-20.42,35.93,-12.21,3,40.06,32.57,-20.42,40.02,-2.22
ESE,2006-02-02,Y,46.3,48.75,52.45,48.64,13.28,51.56,11.36,15,52.76,45.17,13.95,50.35,8.74
ESE,2006-05-09,Y,55.68,54.62,55.7,54.01,-2.99,54.76,-1.65,10,55.7,49.5,-11.09,50.51,-9.28
ESE,2006-08-08,Y,52.11,52.5,55.5,52.5,6.5,54.5,4.58,10,58.42,52.5,12.1,57.18,9.72
ESE,2006-11-14,Y,43.1,42.48,49.28,41.98,14.33,47.89,11.11,3,49.28,41.98,14.33,46.49,7.86
ESE,2007-02-05,Y,48.58,46.2,46.9,44.85,-7.67,45.01,-7.34,11,46.9,42.6,-12.3,43.4,-10.66
ESE,2007-05-08,Y,45.75,48.95,50.86,47.67,11.16,50.3,9.94,10,50.86,47.67,11.16,49.86,8.98
ESE,2007-08-07,Y,37.96,38.6,43.5,38.5,14.59,41.04,8.11,10,43.5,29.63,-21.94,32.76,-13.69
ESE,2007-11-12,Y,36.13,36.86,36.86,33.89,-6.19,35.38,-2.07,4,37.17,33.89,-6.19,34.46,-4.62
ESE,2008-02-07,Y,36.29,34.94,35.94,34.0,-6.33,34.85,-3.99,8,35.94,33.97,-6.41,34.34,-5.39
ESE,2008-05-06,Y,47.59,46.7,48.18,43.1,-9.43,46.55,-2.18,10,50.65,43.1,-9.43,49.02,3.0
ESE,2008-08-07,Y,41.75,39.84,42.4,39.5,-5.38,41.6,-0.35,8,47.83,39.5,14.56,46.73,11.92
ESE,2008-11-12,Y,30.39,32.25,35.0,31.65,15.16,34.78,14.44,9,35.0,24.84,-18.26,27.2,-10.49
ESE,2009-02-05,Y,33.39,32.19,35.42,31.15,-6.7,34.46,3.2,15,37.88,31.15,13.44,35.22,5.51
ESE,2009-05-05,Y,42.46,42.01,45.99,42.01,8.31,43.74,3.01,10,45.99,37.54,-11.58,37.92,-10.69
ESE,2009-08-04,Y,41.29,54.49,39.78,38.46,-6.85,38.65,-6.36,17,39.95,36.02,-12.76,39.45,-4.45
ESE,2009-11-12,Y,37.36,31.2,,31.2,100.0,33.27,-10.94,8,33.6,31.2,-16.48,31.61,-15.39
ESE,2010-02-04,Y,31.45,31.85,32.61,31.28,3.68,32.38,2.95,15,33.76,30.76,7.34,33.13,5.34
ESE,2010-05-04,Y,28.75,31.4,33.78,31.4,17.49,32.4,12.69,17,33.78,26.4,17.49,26.92,-6.36
ESE,2010-08-03,Y,30.21,32.25,34.04,32.02,12.67,34.01,12.57,17,34.75,29.57,15.02,31.19,3.24
ESE,2010-11-11,Y,36.46,38.1,39.0,37.2,6.96,37.42,2.63,8,39.0,35.77,6.96,35.86,-1.64
ESE,2011-02-03,Y,36.96,38.11,43.15,38.11,16.74,40.51,9.6,15,43.15,38.11,16.74,39.9,7.98
