Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ETRN,2019-02-14,N,19.66,19.43,20.17,18.79,-4.42,19.52,-0.71,2,20.17,18.79,-4.42,19.52,-0.71
ETRN,2019-04-30,N,21.58,21.75,21.87,20.74,-3.89,20.83,-3.47,18,22.29,20.0,-7.32,21.67,0.41
ETRN,2019-07-30,N,17.94,17.28,17.92,16.9,-5.79,17.15,-4.4,18,17.92,12.94,-27.87,13.8,-23.07
ETRN,2020-02-27,N,8.68,8.4,8.4,6.97,-19.7,7.41,-14.63,23,8.4,3.75,-56.79,5.43,-37.44
ETRN,2020-05-14,N,6.92,7.01,7.43,6.44,7.36,7.22,4.33,2,7.91,6.44,14.3,7.72,11.56
ETRN,2020-08-04,N,9.75,9.5,10.38,9.29,6.46,10.38,6.46,18,11.66,9.29,19.58,10.6,8.71
ETRN,2020-11-03,N,7.17,7.28,7.28,6.84,-4.6,7.08,-1.25,18,8.01,6.67,11.71,7.8,8.78
ETRN,2021-02-23,N,7.33,7.35,7.36,6.81,-7.09,7.28,-0.68,25,8.44,6.81,15.14,8.25,12.55
ETRN,2021-05-04,N,8.09,7.93,7.96,7.6,-6.05,7.77,-3.95,18,8.91,7.53,10.13,8.67,7.16
ETRN,2021-08-03,N,8.14,8.04,8.32,7.72,-5.15,8.26,1.47,18,8.77,7.71,7.73,8.2,0.73
ETRN,2021-11-02,N,10.35,10.0,10.73,9.97,3.67,10.51,1.54,18,10.73,9.95,-3.86,10.21,-1.35
ETRN,2022-02-22,N,7.16,7.13,7.15,6.0,-16.2,6.33,-11.59,28,7.95,5.87,-18.01,7.84,9.49
ETRN,2022-05-03,N,7.83,7.51,8.18,7.43,-5.1,8.04,2.68,18,8.29,6.93,-11.49,7.57,-3.32
ETRN,2022-08-02,N,7.83,8.45,8.84,8.25,12.89,8.65,10.47,18,9.89,8.25,26.3,9.71,24.01
ETRN,2022-11-01,N,8.42,8.05,8.2,7.82,-7.12,7.92,-5.93,18,8.54,7.71,-8.43,7.98,-5.22
ETRN,2023-02-21,N,6.49,6.44,6.5,5.98,-7.85,6.1,-6.0,28,6.5,5.08,-21.72,5.29,-18.48
