Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EURN,2015-02-11,N,12.25,12.18,12.54,11.96,2.36,12.01,-1.95,9,12.54,10.92,-10.85,11.2,-8.57
EURN,2015-04-30,N,12.15,13.75,14.23,13.63,17.11,13.8,13.58,15,14.4,12.83,18.51,13.53,11.35
EURN,2015-07-30,N,14.79,13.4,13.54,12.95,-12.44,13.05,-11.76,22,16.39,12.95,-12.44,16.02,8.31
EURN,2015-10-29,N,13.74,13.69,13.74,13.29,-3.27,13.59,-1.09,22,15.38,13.26,11.93,14.86,8.15
EURN,2016-01-28,N,13.19,11.09,11.14,10.72,-18.72,11.02,-16.45,22,12.42,10.31,-21.83,10.93,-17.13
EURN,2016-04-27,N,9.94,10.0,10.01,9.68,-2.71,9.73,-2.21,23,11.73,9.68,17.88,10.96,10.15
EURN,2016-07-28,N,8.78,9.01,9.11,8.96,3.64,9.11,3.64,22,9.19,8.35,-5.0,8.84,0.56
EURN,2016-10-31,N,7.83,7.55,7.65,7.4,-5.49,7.4,-5.49,18,8.1,7.0,-10.6,7.7,-1.66
EURN,2017-01-26,N,8.05,8.05,8.19,8.02,1.73,8.1,0.62,22,8.3,7.6,-5.59,8.15,1.24
EURN,2017-04-26,N,7.9,7.85,7.96,7.75,-1.89,7.8,-1.26,23,8.4,7.75,6.32,8.25,4.43
EURN,2017-08-10,N,7.7,7.15,7.2,6.9,-10.38,6.9,-10.38,8,7.7,6.9,-10.38,7.55,-1.94
EURN,2017-10-31,N,8.05,8.44,8.5,8.35,5.59,8.35,3.72,17,8.6,8.11,6.83,8.19,1.86
EURN,2018-04-25,N,8.44,8.35,8.44,8.15,-3.55,8.25,-2.36,23,8.97,8.05,6.15,8.85,4.73
EURN,2018-10-30,N,9.07,8.36,8.73,8.35,-7.93,8.56,-5.62,17,9.59,8.19,-9.7,9.14,0.77
EURN,2019-01-24,N,6.99,7.91,8.1,7.9,15.87,7.98,14.16,22,8.1,7.42,15.87,7.82,11.87
EURN,2019-04-30,N,8.42,10.03,10.21,9.89,21.25,10.09,19.83,17,10.21,9.23,21.25,9.44,12.23
EURN,2019-08-08,N,8.9,7.26,7.57,7.21,-18.98,7.25,-18.53,8,8.0,7.21,-18.98,7.97,-10.44
EURN,2019-10-29,N,9.19,10.75,11.05,10.73,20.1,10.84,17.82,17,11.79,10.28,28.15,11.25,22.28
EURN,2020-01-30,N,12.28,9.9,9.92,9.43,-23.2,9.68,-21.17,22,10.51,9.3,-24.26,10.26,-16.44
EURN,2020-05-07,N,9.63,10.33,10.33,9.75,7.26,10.03,4.15,9,10.51,9.51,9.13,9.81,1.86
EURN,2020-08-06,N,9.88,9.91,10.0,9.79,1.21,9.88,0.0,16,10.33,9.19,-6.98,9.45,-4.35
EURN,2020-11-05,N,7.41,7.45,7.7,7.39,3.91,7.66,3.37,16,8.32,7.39,12.28,8.0,7.96
EURN,2021-02-04,N,8.2,8.11,8.2,7.97,-2.8,8.1,-1.21,16,9.68,7.97,18.04,9.51,15.97
EURN,2021-05-06,N,8.7,8.56,8.81,8.4,-3.44,8.75,0.57,16,9.88,8.4,13.56,9.75,12.06
EURN,2021-08-12,N,8.22,8.04,8.05,7.83,-4.74,7.9,-3.89,9,8.28,7.55,-8.15,7.96,-3.16
EURN,2021-11-04,N,10.64,10.65,10.67,10.28,-3.38,10.34,-2.81,16,10.67,9.64,-9.39,9.71,-8.74
EURN,2022-02-03,N,8.54,8.22,8.7,8.2,-3.98,8.54,0.0,16,10.59,8.2,24.0,10.25,20.02
EURN,2022-05-12,N,10.54,10.35,10.53,9.94,-5.69,10.49,-0.47,9,11.81,9.94,12.04,11.69,10.91
EURN,2022-08-04,N,14.52,14.08,14.62,14.05,-3.23,14.32,-1.37,16,16.99,14.0,17.01,16.37,12.74
EURN,2022-11-03,N,18.56,18.32,18.78,18.26,-1.61,18.44,-0.64,16,20.55,18.26,10.72,20.18,8.72
EURN,2023-02-02,N,15.96,16.33,16.42,15.89,2.88,16.18,1.37,16,17.25,15.59,8.08,16.46,3.13
