Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EVC,2002-02-12,Y,12.2,14.15,15.0,13.98,22.95,14.85,21.72,3,15.05,13.98,23.36,14.8,21.31
EVC,2002-05-09,Y,15.85,15.85,16.25,15.66,2.52,16.25,2.52,8,17.25,15.66,8.83,16.94,6.87
EVC,2002-08-08,Y,10.0,10.0,10.19,9.4,-5.99,9.96,-0.39,8,11.4,9.4,14.0,11.24,12.4
EVC,2002-11-06,Y,11.99,11.1,11.1,9.3,-22.43,9.55,-20.35,9,11.1,9.3,-22.43,10.15,-15.34
EVC,2003-02-10,Y,10.0,8.75,10.0,7.99,-20.09,8.08,-19.2,11,10.0,6.75,-32.5,7.5,-25.0
EVC,2003-05-07,N,8.5,8.25,8.9,7.48,-11.99,8.83,3.88,9,9.86,7.48,15.99,9.71,14.23
EVC,2003-08-07,N,10.6,10.19,10.19,9.5,-10.37,9.8,-7.54,8,10.19,9.0,-15.09,9.9,-6.6
EVC,2003-11-13,Y,10.17,10.17,11.0,10.17,8.16,10.6,4.22,8,11.0,9.05,-11.01,9.05,-11.01
EVC,2004-02-12,Y,10.76,10.75,10.75,9.69,-9.94,10.5,-2.41,8,10.77,9.69,-9.94,10.1,-6.13
EVC,2004-05-05,Y,8.93,8.67,8.67,8.67,2.91,8.67,-2.91,16,8.67,7.68,-13.99,7.9,-11.53
EVC,2004-08-05,Y,7.41,7.8,8.11,7.59,9.44,8.08,9.04,15,8.48,7.59,14.43,8.27,11.74
EVC,2004-11-04,Y,8.36,8.57,8.57,8.33,2.38,8.36,0.11,15,8.57,8.02,-4.18,8.27,-1.07
EVC,2005-02-17,N,7.92,8.18,8.6,8.14,8.58,8.3,4.79,1,8.6,8.14,8.58,8.41,6.18
EVC,2005-05-03,Y,7.54,7.48,8.05,7.44,6.76,7.9,4.77,17,8.05,7.26,6.76,7.5,-0.53
EVC,2005-08-03,Y,8.61,8.61,8.76,8.19,-4.87,8.21,-4.64,16,8.76,7.6,-11.73,7.8,-9.4
EVC,2005-11-03,Y,8.4,8.25,8.26,7.85,-6.54,7.94,-5.47,15,8.26,7.37,-12.26,7.65,-8.92
EVC,2006-02-23,Y,7.1,7.23,7.47,7.16,5.21,7.4,4.22,22,8.38,7.16,18.02,7.87,10.84
EVC,2006-05-04,N,8.5,8.6,8.8,8.44,3.52,8.59,1.05,15,8.99,7.81,-8.11,8.03,-5.41
EVC,2006-08-03,Y,7.62,7.72,7.84,7.33,-3.8,7.48,-1.83,15,7.84,6.59,-13.51,6.95,-8.79
EVC,2006-11-02,Y,7.13,7.17,7.3,7.15,2.38,7.17,0.56,15,7.43,6.86,4.2,7.4,3.78
