Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EVLO,2020-02-13,Y,4.39,4.27,5.18,4.26,17.99,5.02,14.35,8,6.82,4.26,55.35,5.88,33.94
EVLO,2020-07-30,N,3.87,4.1,4.33,3.9,11.88,3.98,2.84,23,5.38,3.65,39.01,4.95,27.9
EVLO,2020-10-29,N,4.56,4.53,4.53,4.15,-8.99,4.34,-4.82,23,4.98,3.82,-16.22,4.78,4.82
EVLO,2021-03-09,N,9.86,10.22,11.65,9.94,18.15,10.95,11.05,11,14.58,9.94,47.87,12.87,30.52
EVLO,2021-04-29,N,12.09,12.4,12.5,11.83,3.39,12.24,1.24,23,13.17,9.22,-23.73,12.09,0.0
EVLO,2021-07-29,N,9.29,9.41,10.39,8.94,11.84,10.11,8.82,23,10.75,8.94,15.71,9.42,1.39
EVLO,2021-10-28,N,8.03,8.12,8.35,7.75,3.98,8.27,2.98,23,12.74,7.75,58.65,9.66,20.29
EVLO,2022-03-24,N,3.27,3.41,4.17,3.31,27.52,4.12,25.99,22,4.36,2.41,33.33,2.54,-22.32
EVLO,2022-05-12,N,2.07,2.07,2.09,1.7,-17.87,1.87,-9.66,9,2.09,1.59,-23.18,1.83,-11.59
EVLO,2022-07-28,N,2.21,2.22,2.22,2.08,-5.88,2.1,-4.97,23,3.29,2.06,48.86,2.59,17.19
EVLO,2022-08-11,N,2.95,2.95,3.29,2.75,11.52,2.89,-2.03,9,3.29,2.51,-14.91,2.59,-12.2
EVLO,2022-11-14,Y,2.13,2.11,2.24,2.03,5.16,2.19,2.81,4,2.4,2.0,12.67,2.05,-3.75
EVLO,2023-03-16,N,0.32,0.32,0.34,0.29,-9.37,0.3,-6.25,2,0.34,0.26,-18.75,0.26,-18.75
