Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
EVRG,2018-08-09,N,56.37,55.6,57.32,55.51,1.68,57.02,1.15,9,58.22,55.51,3.28,57.87,2.66
EVRG,2018-11-07,Y,57.18,58.01,58.01,56.2,-1.71,57.14,-0.06,9,61.1,56.2,6.85,60.12,5.14
EVRG,2019-02-21,Y,59.87,57.01,57.09,54.57,-8.85,55.49,-7.31,22,57.93,54.57,-8.85,57.67,-3.67
EVRG,2019-05-08,Y,57.11,58.14,58.48,56.65,2.39,56.94,-0.29,9,59.02,56.65,3.34,58.7,2.78
EVRG,2019-08-07,Y,61.01,61.13,62.25,60.71,2.03,61.93,1.5,9,64.92,60.71,6.4,64.45,5.63
EVRG,2020-03-02,N,65.35,66.8,69.85,65.85,6.88,69.39,6.18,21,73.16,46.8,-28.38,47.18,-27.8
EVRG,2020-05-06,Y,54.93,54.24,57.76,54.0,5.15,55.87,1.71,9,58.71,54.0,6.88,56.54,2.93
EVRG,2020-08-05,N,55.4,56.0,56.03,53.33,-3.73,53.53,-3.37,17,56.03,49.8,-10.1,50.41,-9.0
EVRG,2020-11-05,N,55.77,56.62,57.85,54.64,3.72,55.19,-1.03,16,62.53,53.27,12.12,54.51,-2.25
EVRG,2021-02-26,N,53.69,54.83,55.44,53.43,3.25,53.63,-0.11,22,59.81,52.87,11.39,59.54,10.89
EVRG,2021-05-06,N,63.53,63.85,64.0,62.41,-1.76,63.7,0.26,16,65.0,61.39,-3.36,62.53,-1.57
EVRG,2021-08-05,N,66.24,66.87,67.09,66.12,1.28,67.05,1.22,16,69.29,66.12,4.6,69.26,4.55
EVRG,2021-11-03,N,63.91,63.9,64.67,63.51,1.18,63.82,-0.14,17,66.07,62.32,3.37,65.61,2.65
EVRG,2022-02-25,N,60.59,61.83,63.12,61.21,4.17,62.55,3.23,22,65.5,60.57,8.1,64.77,6.89
EVRG,2022-05-05,N,68.73,68.68,69.94,67.67,1.76,68.28,-0.65,16,69.94,65.11,-5.26,67.43,-1.89
EVRG,2022-08-04,N,68.37,67.28,68.77,66.75,-2.36,68.24,-0.19,16,71.58,66.75,4.69,71.33,4.32
EVRG,2022-11-04,N,61.54,61.85,62.69,60.31,-1.99,62.6,1.72,15,62.69,57.42,-6.69,58.65,-4.69
EVRG,2023-02-24,N,60.76,58.2,61.2,58.16,-4.27,60.63,-0.21,22,61.2,57.28,-5.72,59.87,-1.46
