Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
FAST,2002-01-21,Y,8.05,8.27,8.52,8.08,5.83,8.48,5.34,25,9.09,8.08,12.91,8.78,9.19
FAST,2002-04-10,N,9.68,9.77,10.31,9.74,6.5,10.25,5.88,9,10.4,9.74,7.43,10.16,4.95
FAST,2002-07-10,N,9.73,9.8,10.45,9.8,7.39,10.09,3.69,9,10.45,9.11,7.39,9.19,-5.54
FAST,2002-10-11,Y,7.8,7.74,7.97,7.59,-2.69,7.74,-0.76,7,8.35,7.59,7.05,8.14,4.35
FAST,2003-01-21,Y,8.5,8.56,8.77,8.39,3.29,8.55,0.58,31,8.77,7.66,-9.88,8.18,-3.76
FAST,2003-04-11,N,8.19,8.09,8.34,8.08,1.83,8.25,0.73,7,8.72,8.08,6.47,8.58,4.76
FAST,2003-07-11,N,8.84,8.8,9.02,8.61,-2.6,8.86,0.22,7,9.24,8.41,-4.86,8.68,-1.8
FAST,2003-10-10,N,10.7,10.82,10.91,10.5,1.96,10.7,,7,11.51,10.5,7.57,10.84,1.3
FAST,2004-01-20,N,12.75,12.72,13.04,12.53,2.27,12.89,1.09,31,13.04,11.77,-7.68,12.12,-4.94
FAST,2004-04-13,N,13.68,13.82,14.2,13.71,3.8,13.8,0.87,3,14.2,13.42,3.8,13.8,0.87
FAST,2004-07-13,N,13.6,14.01,15.08,14.01,10.88,14.91,9.63,3,15.36,14.01,12.94,15.2,11.76
FAST,2004-10-12,N,14.47,13.45,13.8,12.85,-11.19,12.9,-10.85,3,13.8,12.78,-11.67,13.15,-9.12
FAST,2005-01-19,N,15.6,15.81,15.94,14.63,-6.21,14.79,-5.19,2,15.94,14.63,-6.21,14.95,-4.16
FAST,2005-04-13,N,13.74,13.43,13.5,13.02,-5.24,13.29,-3.27,2,13.5,12.77,-7.05,12.78,-6.98
FAST,2005-07-13,N,15.62,15.75,16.07,15.62,2.88,15.69,0.44,2,16.07,15.61,2.88,15.85,1.47
FAST,2005-10-12,N,15.32,16.36,16.66,16.07,8.74,16.53,7.89,9,17.48,16.07,14.09,17.16,12.01
FAST,2006-01-20,N,21.04,19.5,19.85,18.28,-13.11,19.18,-8.84,0,19.85,18.28,-13.11,19.18,-8.84
FAST,2006-04-12,N,23.23,23.25,23.8,22.56,-2.88,22.87,-1.54,9,24.32,22.56,4.69,23.55,1.37
FAST,2006-07-12,N,19.28,18.12,18.48,17.66,-8.4,17.98,-6.69,9,18.48,16.59,-13.95,16.62,-13.79
FAST,2006-10-11,N,20.23,20.85,21.08,20.21,4.2,20.9,3.31,9,21.58,20.21,6.67,20.7,2.32
FAST,2007-01-19,Y,18.37,18.45,18.45,17.88,-2.66,17.89,-2.61,28,19.12,17.68,4.08,18.36,-0.05
FAST,2007-04-12,Y,19.14,19.12,19.79,19.04,3.39,19.73,3.13,8,20.62,19.04,7.73,20.26,5.85
FAST,2007-07-12,N,21.12,22.35,23.25,22.26,10.08,23.21,9.89,8,24.46,22.26,15.81,23.75,12.45
FAST,2007-10-11,N,24.64,22.94,24.07,22.08,-10.38,22.12,-10.22,8,24.07,20.84,-15.42,20.84,-15.42
FAST,2008-01-22,N,16.8,18.38,20.14,16.14,19.88,19.98,18.92,24,21.7,16.14,29.16,20.52,22.14
FAST,2008-04-11,Y,24.84,24.12,24.71,24.06,-3.14,24.42,-1.69,7,25.4,23.97,-3.5,25.0,0.64
FAST,2008-07-11,N,22.72,22.1,22.75,21.22,-6.6,21.98,-3.25,7,25.0,21.22,10.03,24.64,8.45
FAST,2008-10-13,N,18.61,19.78,20.44,18.72,9.83,20.23,8.75,4,21.74,16.8,16.81,18.91,1.61
FAST,2009-01-20,N,16.57,16.3,17.48,15.51,-6.45,16.14,-2.65,31,18.93,15.51,14.17,16.1,-2.89
FAST,2009-04-14,N,19.09,18.53,18.68,17.34,-9.16,17.48,-8.43,3,18.68,17.2,-9.9,17.82,-6.65
FAST,2009-07-13,N,15.86,15.14,15.94,14.62,-7.81,15.76,-0.63,4,16.66,14.62,-7.81,16.54,4.28
FAST,2009-10-12,N,19.7,19.89,20.84,19.1,5.78,19.22,-2.43,4,20.84,19.03,5.78,19.38,-1.62
FAST,2010-01-19,N,22.93,22.28,23.24,21.56,-5.97,22.13,-3.48,31,23.24,20.48,-10.68,21.94,-4.31
FAST,2010-04-13,N,25.95,27.1,27.48,26.32,5.89,26.5,2.11,3,27.61,26.24,6.39,27.16,4.66
FAST,2010-07-13,N,26.31,25.74,26.42,25.12,-4.52,25.22,-4.14,3,26.42,23.77,-9.65,23.83,-9.42
FAST,2010-10-12,N,27.38,26.77,26.88,25.74,-5.98,26.02,-4.96,3,26.88,25.74,-5.98,26.05,-4.85
FAST,2011-01-18,N,29.94,29.77,30.59,29.14,-2.67,29.88,-0.2,3,30.59,29.14,-2.67,29.76,-0.6
FAST,2011-04-12,N,33.75,33.19,33.61,32.02,-5.12,32.27,-4.38,3,33.61,32.02,-5.12,32.47,-3.76
FAST,2011-07-12,N,36.0,35.72,35.99,34.4,-4.44,34.47,-4.22,3,35.99,34.02,-5.49,34.29,-4.72
FAST,2011-10-13,N,34.61,34.38,34.45,32.26,-6.81,33.7,-2.65,8,35.65,32.26,-6.81,35.51,2.57
FAST,2012-01-18,N,46.79,45.4,46.11,44.79,-4.27,45.53,-2.69,2,46.11,44.79,-4.27,45.86,-1.98
FAST,2012-04-12,N,49.63,48.5,49.47,47.73,-3.82,48.87,-1.53,8,49.49,47.28,-4.73,48.21,-2.86
FAST,2012-07-12,N,39.81,39.77,42.7,39.75,7.25,42.31,6.27,8,45.44,39.75,14.14,43.96,10.42
FAST,2012-10-11,N,42.32,44.69,47.17,44.0,11.46,45.89,8.43,8,47.17,43.56,11.46,43.76,3.4
FAST,2013-01-17,N,47.0,48.25,48.77,45.71,3.76,46.91,-0.19,1,48.77,45.71,3.76,48.6,3.4
FAST,2013-04-10,N,50.88,48.92,50.32,48.1,-5.46,49.12,-3.45,9,50.32,47.01,-7.6,48.14,-5.38
FAST,2013-07-10,N,47.1,46.68,46.83,44.9,-4.67,45.77,-2.82,9,47.59,44.9,-4.67,46.81,-0.61
FAST,2013-10-09,N,49.98,48.13,48.52,45.85,-8.26,46.85,-6.26,9,49.28,45.85,-8.26,49.2,-1.56
FAST,2014-01-15,N,48.21,46.05,46.77,44.42,-7.86,46.06,-4.45,2,47.75,44.42,-7.86,47.61,-1.24
FAST,2014-04-11,N,50.73,52.16,52.21,48.63,-4.13,49.86,-1.71,10,52.21,48.63,-4.13,50.0,-1.43
FAST,2014-07-11,N,48.16,46.25,46.37,45.17,-6.2,46.15,-4.17,7,46.41,44.76,-7.05,45.36,-5.81
