Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
FATE,2014-02-26,Y,6.26,6.68,7.1,6.27,13.41,7.1,13.41,23,12.81,6.27,104.63,11.45,82.9
FATE,2014-05-13,Y,6.56,6.62,6.98,6.54,6.4,6.55,-0.15,3,6.99,6.43,6.55,6.65,1.37
FATE,2014-08-12,Y,6.0,5.7,5.98,5.3,-11.66,5.51,-8.16,3,6.0,5.3,-11.66,5.5,-8.33
FATE,2014-11-11,Y,3.95,4.0,4.29,4.0,8.6,4.04,2.27,11,4.29,3.53,-10.63,3.99,1.01
FATE,2015-03-12,Y,5.08,5.2,5.21,4.76,-6.29,5.05,-0.59,8,5.21,4.76,-6.29,4.93,-2.75
FATE,2015-05-07,Y,7.19,6.87,7.83,6.87,8.9,7.22,0.41,8,7.83,6.8,8.9,6.8,-5.42
FATE,2015-08-05,Y,6.87,6.91,7.39,6.82,7.56,6.82,-0.72,16,8.05,5.69,17.17,6.24,-9.17
FATE,2015-11-03,Y,4.51,4.8,4.8,4.54,6.19,4.76,5.53,17,5.01,3.78,-16.37,3.78,-16.37
FATE,2016-05-09,Y,1.73,1.6,1.73,1.6,-7.51,1.72,-0.57,11,1.75,1.48,-14.45,1.51,-12.71
FATE,2016-08-08,Y,2.59,2.65,2.65,2.31,-10.81,2.5,-3.08,11,3.0,2.2,15.83,2.92,12.74
FATE,2016-11-07,Y,1.97,2.0,2.31,1.99,17.25,2.16,9.64,11,3.2,1.99,62.43,2.75,39.59
FATE,2017-03-16,Y,4.63,4.76,4.97,4.51,7.11,4.95,6.68,1,4.97,4.51,7.11,4.95,6.68
FATE,2017-05-15,Y,4.11,4.01,4.18,3.43,-16.54,4.05,-1.21,4,4.18,3.43,-16.54,3.97,-3.4
FATE,2017-08-14,Y,3.09,3.25,3.34,3.07,8.09,3.18,2.91,4,3.34,2.85,8.09,2.88,-6.79
FATE,2017-11-01,Y,4.69,4.34,4.79,4.05,-13.64,4.72,0.63,16,5.0,3.99,-14.92,4.37,-6.82
FATE,2018-03-05,Y,13.77,12.65,13.3,12.21,-11.32,13.06,-5.15,11,14.25,11.46,-16.77,11.83,-14.08
FATE,2018-05-10,Y,10.96,10.27,10.47,8.96,-18.24,9.31,-15.05,8,10.86,8.35,-23.81,10.86,-0.91
FATE,2018-08-06,Y,10.17,9.12,11.49,9.0,12.97,11.31,11.2,11,12.0,9.0,17.99,11.2,10.12
FATE,2018-11-01,Y,13.61,12.96,16.44,12.62,20.79,14.75,8.37,15,16.44,11.55,20.79,12.7,-6.68
FATE,2019-03-05,Y,16.03,16.25,17.71,15.65,10.48,15.7,-2.05,10,19.0,15.63,18.52,18.71,16.71
FATE,2019-05-07,Y,16.98,16.66,17.03,16.0,-5.77,16.52,-2.7,10,20.04,16.0,18.02,18.74,10.36
FATE,2019-08-06,Y,19.82,20.31,21.02,17.04,-14.02,18.53,-6.5,10,21.02,17.04,-14.02,18.57,-6.3
FATE,2020-03-02,Y,31.01,31.79,32.39,28.16,-9.19,28.25,-8.9,18,32.39,16.75,-45.98,22.38,-27.82
FATE,2020-05-11,Y,30.22,29.15,32.05,28.5,6.05,28.75,-4.86,4,32.05,25.6,-15.28,28.45,-5.85
FATE,2020-08-05,Y,32.84,32.0,36.0,31.89,9.62,33.42,1.76,16,37.25,31.89,13.42,36.12,9.98
FATE,2020-11-05,Y,49.92,51.12,51.15,47.2,-5.44,48.28,-3.28,15,54.63,47.2,9.43,52.65,5.46
FATE,2021-02-24,Y,95.27,97.6,100.74,85.72,-10.02,86.27,-9.44,23,100.74,73.0,-23.37,90.29,-5.22
FATE,2021-05-05,Y,77.73,73.5,76.72,70.25,-9.62,76.55,-1.51,16,82.82,68.27,-12.17,73.81,-5.04
FATE,2021-08-04,Y,85.73,85.69,95.88,85.29,11.83,95.54,11.44,16,97.43,66.76,-22.12,67.01,-21.83
FATE,2021-11-04,Y,59.65,59.36,63.28,57.63,6.08,61.42,2.96,15,65.15,52.58,-11.85,55.97,-6.16
FATE,2022-02-28,Y,34.55,35.18,38.29,33.91,10.82,34.42,-0.37,18,38.95,29.4,-14.9,37.75,9.26
FATE,2022-05-04,Y,30.69,31.38,31.5,26.82,-12.6,27.19,-11.4,16,31.5,20.49,-33.23,23.1,-24.73
FATE,2022-08-03,Y,32.81,33.66,36.0,29.76,9.72,32.55,-0.79,16,37.13,28.79,13.16,29.03,-11.52
FATE,2022-11-03,Y,19.45,20.52,21.95,18.7,12.85,19.84,2.0,15,23.96,18.54,23.18,19.87,2.15
FATE,2023-02-28,Y,6.12,6.16,6.99,6.09,14.21,6.09,-0.49,17,6.99,4.78,-21.89,5.54,-9.47
