Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
FBIO,2015-05-11,N,2.95,2.95,3.05,2.92,3.38,3.04,3.05,4,3.21,2.92,8.81,3.14,6.44
FBIO,2015-08-10,N,3.25,3.29,3.37,3.05,-6.15,3.15,-3.07,11,3.37,2.5,-23.07,2.5,-22.76
FBIO,2015-11-09,N,2.94,2.89,3.01,2.86,-2.72,2.88,-2.04,11,3.3,2.8,12.24,3.0,2.04
FBIO,2016-03-14,N,3.25,3.25,3.38,3.22,3.99,3.29,1.23,4,3.38,2.77,-14.76,3.04,-6.46
FBIO,2016-05-09,N,2.98,2.95,3.09,2.95,3.69,3.08,3.35,11,3.11,2.69,-9.73,2.76,-7.38
FBIO,2016-08-08,N,3.0,2.92,3.0,2.86,-4.66,3.0,,11,3.0,2.73,-9.0,2.84,-5.33
FBIO,2016-11-09,Y,2.5,2.54,2.74,2.43,9.6,2.69,7.59,9,2.79,2.43,11.6,2.59,3.59
FBIO,2017-03-15,Y,3.65,3.68,3.71,3.6,1.64,3.61,-1.09,2,4.13,3.5,13.15,3.91,7.12
FBIO,2017-05-10,Y,3.62,3.79,3.82,3.55,5.52,3.79,4.69,9,4.42,3.55,22.09,4.23,16.85
FBIO,2017-08-09,Y,4.05,3.95,4.08,3.8,-6.17,3.83,-5.43,9,4.6,3.78,13.58,4.25,4.93
FBIO,2017-11-09,Y,3.78,3.75,3.96,3.7,4.76,3.9,3.17,8,3.96,3.66,4.76,3.88,2.64
FBIO,2018-03-14,N,5.31,5.34,5.54,5.25,4.33,5.35,0.75,3,5.54,4.81,-9.41,5.16,-2.82
FBIO,2018-08-09,Y,2.13,2.25,2.4,2.08,12.67,2.09,-1.87,8,2.4,1.91,12.67,1.91,-10.32
FBIO,2018-11-08,Y,1.09,1.14,1.14,1.04,4.58,1.1,0.91,8,1.28,1.01,17.43,1.23,12.84
FBIO,2019-05-09,N,1.68,1.66,1.7,1.52,-9.52,1.61,-4.16,9,2.04,1.52,21.42,1.9,13.09
FBIO,2019-08-12,Y,1.33,1.33,1.5,1.3,12.78,1.5,12.78,4,1.67,1.3,25.56,1.6,20.3
FBIO,2020-05-08,Y,2.22,2.24,2.67,2.2,20.27,2.64,18.91,7,2.75,2.2,23.87,2.57,15.76
FBIO,2020-08-05,Y,2.93,2.93,3.1,2.9,5.8,2.94,0.34,16,3.77,2.9,28.66,3.65,24.57
FBIO,2021-03-23,Y,3.94,3.99,4.0,3.64,-7.61,3.64,-7.61,24,6.1,3.27,54.82,4.12,4.56
FBIO,2021-05-06,Y,3.83,3.88,3.97,3.83,3.65,3.94,2.87,15,4.05,3.45,-9.92,3.83,0.0
FBIO,2021-08-05,Y,3.23,3.23,3.36,3.16,4.02,3.34,3.4,15,3.36,2.8,-13.31,3.06,-5.26
FBIO,2021-11-15,Y,3.36,3.44,3.44,3.22,-4.16,3.27,-2.67,4,3.44,3.02,-10.11,3.09,-8.03
FBIO,2022-03-28,Y,1.42,1.43,1.53,1.43,7.74,1.45,2.11,17,1.53,1.08,-23.94,1.08,-23.94
FBIO,2022-05-16,N,0.86,0.85,0.9,0.83,4.65,0.86,0.0,7,0.98,0.83,13.95,0.89,3.48
FBIO,2022-08-10,N,1.11,1.13,1.22,1.13,9.9,1.21,9.0,10,1.33,1.12,19.81,1.14,2.7
FBIO,2022-11-14,Y,0.86,0.88,0.88,0.84,2.32,0.88,2.32,4,0.88,0.8,-6.97,0.81,-5.81
