Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
FENC,2018-08-13,N,10.01,10.11,10.61,9.79,5.99,10.44,4.29,7,10.61,9.52,5.99,9.73,-2.79
FENC,2018-11-14,N,6.74,6.91,6.91,5.94,-11.86,6.77,0.44,3,7.5,5.94,-11.86,6.93,2.81
FENC,2019-03-26,N,5.25,5.14,5.17,4.68,-10.85,4.72,-10.09,24,5.48,4.44,-15.42,4.7,-10.47
FENC,2020-05-07,N,6.35,6.59,6.96,6.45,9.6,6.7,5.51,9,7.97,6.45,25.51,7.34,15.59
FENC,2020-08-07,N,8.67,8.7,9.09,8.56,4.84,9.01,3.92,15,10.67,5.36,-38.17,5.59,-35.52
FENC,2020-11-16,N,8.55,8.69,8.75,7.81,-8.65,8.2,-4.09,7,8.75,7.72,-9.7,7.96,-6.9
FENC,2021-03-31,N,6.45,6.48,6.57,6.16,-4.49,6.21,-3.72,17,6.97,5.9,-8.52,6.27,-2.79
FENC,2021-05-13,N,5.98,5.98,6.23,5.92,4.18,6.2,3.67,9,6.9,5.92,15.38,6.78,13.37
FENC,2021-08-10,N,6.97,6.99,6.99,6.83,-2.0,6.99,0.28,11,7.4,6.75,6.16,6.97,0.0
FENC,2022-03-01,N,5.59,5.7,5.78,5.47,3.39,5.56,-0.53,18,5.78,4.82,-13.77,5.58,-0.17
FENC,2022-05-12,N,5.17,5.1,5.42,5.0,4.83,5.3,2.51,9,6.05,5.0,17.02,5.8,12.18
FENC,2022-08-12,N,7.04,6.99,7.05,6.91,-1.84,6.94,-1.42,8,7.05,6.23,-11.5,6.36,-9.65
FENC,2022-11-11,N,8.18,8.0,8.36,8.0,2.2,8.22,0.48,8,8.63,7.7,-5.86,8.58,4.88
FENC,2023-03-29,N,8.4,8.51,8.51,8.12,-3.33,8.32,-0.95,24,9.15,7.66,8.92,7.7,-8.33
