Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
FFIV,2002-01-23,Y,9.51,9.11,9.64,8.89,-6.51,9.13,-3.99,23,12.18,8.89,28.07,11.58,21.76
FFIV,2002-04-24,Y,6.54,5.71,6.38,5.63,-13.91,6.3,-3.66,23,7.08,5.32,-18.65,6.59,0.76
FFIV,2002-07-24,Y,5.45,5.44,5.97,5.0,9.54,5.51,1.1,23,7.1,5.0,30.27,7.02,28.8
FFIV,2002-10-29,Y,5.25,4.84,5.08,4.55,-13.14,4.76,-9.33,17,6.73,4.53,28.19,6.56,24.95
FFIV,2003-01-22,Y,6.06,6.74,7.34,6.65,21.12,6.99,15.34,30,7.34,6.31,21.12,6.98,15.18
FFIV,2003-04-23,Y,7.1,6.82,7.08,6.5,-8.45,7.05,-0.7,23,8.69,6.5,22.39,8.34,17.46
FFIV,2003-07-23,Y,8.5,8.44,8.94,8.31,5.17,8.69,2.35,23,9.61,8.3,13.05,8.81,3.64
FFIV,2003-10-29,Y,12.14,13.3,13.72,12.25,13.01,12.6,3.78,23,13.72,11.65,13.01,11.72,-3.45
FFIV,2004-01-21,Y,15.52,18.0,19.6,17.73,26.28,18.02,16.1,30,19.6,15.08,26.28,17.76,14.43
FFIV,2004-04-21,Y,15.92,16.09,16.14,14.72,-7.53,15.54,-2.38,30,16.14,12.53,-21.29,13.78,-13.44
FFIV,2004-07-21,Y,11.2,11.88,12.99,11.06,15.98,12.84,14.64,30,13.6,10.81,21.42,12.45,11.16
FFIV,2004-10-26,Y,16.42,18.39,20.6,18.23,25.45,20.02,21.92,24,22.25,18.23,35.5,20.3,23.62
FFIV,2005-01-19,Y,22.34,23.58,25.5,22.84,14.14,25.38,13.6,2,25.5,22.84,14.14,24.86,11.28
FFIV,2005-04-20,Y,23.59,22.5,22.94,21.12,-10.47,22.89,-2.96,30,25.41,20.65,-12.46,24.8,5.12
FFIV,2005-07-20,Y,24.88,22.8,22.8,20.1,-19.21,20.46,-17.76,30,22.8,17.67,-28.97,18.92,-23.95
FFIV,2005-10-25,Y,20.7,23.89,25.82,23.8,24.73,25.57,23.52,24,28.49,23.8,37.63,27.56,33.14
FFIV,2006-01-19,Y,29.76,30.42,31.85,30.4,7.02,30.8,3.49,1,31.85,30.4,7.02,30.8,3.49
FFIV,2006-04-20,Y,32.74,28.74,28.99,28.02,-14.41,28.95,-11.57,1,28.99,28.02,-14.41,28.95,-11.57
