Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
FLEX,2002-01-23,Y,23.72,24.11,24.59,23.07,3.66,23.42,-1.26,23,24.59,17.38,-26.72,17.72,-25.29
FLEX,2002-04-25,Y,13.47,14.31,14.74,13.45,9.42,13.46,-0.07,22,16.95,12.28,25.83,15.7,16.55
FLEX,2002-07-23,Y,7.12,6.95,7.97,6.57,11.93,7.8,9.55,24,9.36,6.57,31.46,9.11,27.94
FLEX,2002-10-24,Y,8.52,7.99,8.52,7.7,-9.62,8.44,-0.93,22,10.19,7.51,19.6,9.47,11.15
FLEX,2003-01-23,Y,8.17,8.56,8.8,8.02,7.71,8.18,0.12,29,8.8,7.15,-12.48,8.11,-0.61
FLEX,2003-04-24,Y,9.08,8.56,8.8,8.05,-11.34,8.35,-8.03,22,10.0,8.05,-11.34,9.73,7.15
FLEX,2003-07-24,Y,11.2,11.0,11.24,10.93,-2.41,11.14,-0.53,22,11.99,10.58,7.05,11.25,0.44
FLEX,2003-10-22,Y,15.02,14.29,14.42,14.11,-6.05,14.18,-5.59,30,15.45,13.54,-9.85,14.43,-3.92
FLEX,2004-01-27,Y,17.07,18.76,18.77,18.25,9.95,18.44,8.02,24,19.62,17.6,14.93,18.55,8.72
FLEX,2004-04-27,Y,18.46,17.34,17.5,16.48,-10.72,17.19,-6.87,24,17.5,15.23,-17.49,16.27,-11.86
FLEX,2004-07-19,Y,14.06,13.0,13.65,12.82,-8.81,13.59,-3.34,32,13.84,10.06,-28.44,11.48,-18.34
FLEX,2004-10-25,Y,12.54,11.26,11.72,11.02,-12.12,11.67,-6.93,25,15.0,11.02,19.61,14.51,15.7
FLEX,2005-01-25,Y,12.42,13.23,14.01,13.17,12.8,13.94,12.23,24,14.44,13.17,16.26,13.49,8.61
FLEX,2005-04-28,Y,10.64,11.05,11.24,10.89,5.63,11.15,4.79,22,12.86,10.89,20.86,12.86,20.86
FLEX,2005-07-26,Y,13.7,13.5,13.82,13.4,-2.18,13.51,-1.38,24,13.84,12.67,-7.51,13.36,-2.48
FLEX,2005-10-25,Y,12.1,9.77,9.8,8.97,-25.86,9.19,-23.96,24,10.28,8.97,-25.86,10.0,-17.35
FLEX,2006-01-31,Y,10.46,9.78,10.77,9.63,-7.93,10.76,2.86,17,10.77,9.63,-7.93,10.41,-0.47
FLEX,2006-04-27,Y,11.47,11.24,11.71,11.2,-2.35,11.36,-0.95,22,12.55,10.93,9.41,11.14,-2.87
FLEX,2006-07-25,Y,10.6,10.99,11.51,10.79,8.58,11.29,6.5,24,12.1,10.79,14.15,12.08,13.96
FLEX,2006-10-24,Y,12.47,11.86,12.22,11.81,-5.29,12.1,-2.96,24,12.25,11.2,-10.18,11.61,-6.89
FLEX,2007-01-30,Y,11.4,11.61,11.71,11.34,2.71,11.63,2.01,17,12.08,11.09,5.96,11.96,4.91
FLEX,2007-04-26,Y,11.26,11.51,12.15,11.51,7.9,11.62,3.19,22,12.15,10.99,7.9,11.21,-0.44
FLEX,2007-07-26,Y,11.16,11.32,11.42,11.13,2.32,11.17,0.08,22,11.85,10.81,6.18,11.15,-0.08
FLEX,2007-10-23,Y,11.84,11.82,11.92,11.6,-2.02,11.82,-0.16,24,13.6,11.42,14.86,11.98,1.18
FLEX,2008-01-29,Y,10.31,10.6,11.98,10.57,16.19,11.6,12.51,17,12.17,10.57,18.04,10.89,5.62
FLEX,2008-04-29,Y,10.36,10.86,10.93,10.38,5.5,10.39,0.28,17,11.1,10.34,7.14,10.71,3.37
FLEX,2008-07-24,Y,8.99,8.91,8.96,8.52,-5.22,8.78,-2.22,22,9.57,8.52,6.45,9.44,5.0
FLEX,2008-10-23,Y,3.74,3.38,4.29,3.36,14.7,3.83,2.4,29,4.59,1.23,-67.11,1.99,-46.79
FLEX,2009-01-28,Y,2.72,2.45,2.74,2.44,-10.29,2.67,-1.83,23,3.06,2.23,-18.01,2.48,-8.82
FLEX,2009-04-29,Y,3.89,3.94,4.05,3.79,4.11,3.88,-0.25,16,4.3,3.12,-19.79,3.5,-10.02
FLEX,2009-07-29,Y,5.13,4.82,5.11,4.5,-12.28,5.01,-2.14,23,5.99,4.5,16.76,5.83,13.64
FLEX,2009-10-26,Y,7.11,7.18,7.32,6.68,-6.04,6.73,-5.34,25,7.36,6.32,-11.11,7.17,0.84
FLEX,2010-01-27,Y,7.1,6.9,6.91,6.32,-10.98,6.6,-7.04,23,7.38,6.32,-10.98,7.27,2.39
FLEX,2010-04-27,Y,7.94,7.78,7.99,7.55,-4.91,7.91,-0.37,24,8.14,6.08,-23.42,6.42,-19.14
FLEX,2010-07-22,Y,6.56,6.25,6.32,6.02,-8.23,6.25,-4.72,29,6.52,5.15,-21.49,5.35,-18.44
FLEX,2010-10-27,Y,6.4,7.0,7.15,6.78,11.71,7.11,11.09,23,7.34,6.54,14.68,7.1,10.93
FLEX,2011-01-20,Y,8.22,8.34,8.46,7.86,-4.37,8.01,-2.55,1,8.46,7.86,-4.37,8.01,-2.55
FLEX,2011-04-27,Y,7.51,7.05,7.32,7.0,-6.79,7.2,-4.12,23,7.32,6.59,-12.25,6.8,-9.45
