Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
FORTY,2013-08-21,Y,24.1,22.75,24.13,22.75,-5.6,22.84,-5.22,30,25.08,22.68,-5.89,25.06,3.98
FORTY,2013-11-12,Y,24.86,25.18,25.18,24.3,-2.25,24.48,-1.52,3,25.4,24.3,-2.25,24.97,0.44
FORTY,2014-03-13,N,27.18,27.51,27.87,27.51,2.53,27.62,1.61,8,31.03,27.51,14.16,29.99,10.33
FORTY,2014-11-13,N,23.24,23.98,24.77,23.98,6.58,24.77,6.58,9,25.86,23.34,11.27,23.52,1.2
FORTY,2015-03-12,Y,25.45,25.7,25.7,24.52,-3.65,24.52,-3.65,8,26.8,24.51,5.3,25.36,-0.35
FORTY,2015-05-12,N,27.2,27.06,27.3,26.86,-1.24,27.1,-0.36,3,28.0,26.83,2.94,27.71,1.87
FORTY,2015-08-13,N,33.5,33.9,35.14,33.75,4.89,33.99,1.46,8,35.64,31.81,6.38,32.4,-3.28
FORTY,2015-11-12,N,28.2,28.77,28.91,27.22,-3.47,27.73,-1.66,8,29.52,27.22,4.68,28.5,1.06
FORTY,2016-03-10,N,30.79,28.87,28.87,28.87,6.23,28.87,-6.23,8,30.06,28.87,-6.23,30.05,-2.4
FORTY,2016-08-17,N,36.2,36.9,37.68,36.0,4.08,36.9,1.93,2,37.68,36.0,4.08,36.9,1.93
FORTY,2016-11-14,N,38.9,38.9,39.38,38.7,1.23,38.9,,4,40.47,38.7,4.03,40.0,2.82
FORTY,2017-11-20,N,42.1,42.05,42.05,41.6,-1.18,41.65,-1.06,25,42.4,40.11,-4.72,41.2,-2.13
