Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GASS,2005-11-14,Y,11.3,11.7,11.7,10.8,-4.42,11.32,0.17,4,11.75,10.8,-4.42,11.5,1.76
GASS,2006-03-02,Y,12.5,12.5,12.98,12.05,3.84,12.35,-1.2,15,13.8,12.05,10.4,13.8,10.4
GASS,2006-05-22,Y,14.0,14.7,14.79,13.5,5.64,13.54,-3.28,25,14.79,12.5,-10.71,13.16,-5.99
GASS,2006-08-21,Y,13.5,12.25,13.23,11.82,-12.44,13.08,-3.11,25,14.0,11.82,-12.44,12.72,-5.77
GASS,2006-11-21,Y,12.75,12.4,12.57,12.15,-4.7,12.25,-3.92,24,12.57,11.5,-9.8,11.96,-6.19
GASS,2007-02-23,Y,12.94,13.15,13.15,12.5,-3.4,13.05,0.85,21,13.15,12.5,-3.4,12.9,-0.3
GASS,2007-05-21,N,16.44,16.64,17.67,16.6,7.48,16.6,0.97,25,18.02,16.18,9.61,17.75,7.96
GASS,2007-08-14,N,17.18,17.14,17.69,16.8,2.96,17.1,-0.46,3,17.69,15.36,-10.59,16.13,-6.11
GASS,2007-11-13,N,16.17,16.8,16.82,15.7,4.01,16.32,0.92,3,17.25,15.67,6.67,16.43,1.6
GASS,2008-02-20,N,15.0,14.16,15.05,14.16,-5.59,14.99,-0.06,30,16.3,13.1,-12.66,13.76,-8.26
GASS,2008-05-27,N,17.1,17.79,17.91,16.6,4.73,17.67,3.33,24,17.91,14.81,-13.39,15.02,-12.16
GASS,2008-08-19,N,16.23,14.8,16.69,14.75,-9.17,16.07,-1.04,31,17.09,13.15,-19.02,14.5,-10.71
GASS,2008-11-13,N,4.68,4.66,5.12,3.56,-23.93,3.97,-15.17,8,5.12,2.6,-44.44,2.72,-41.88
GASS,2009-02-19,N,5.57,5.93,6.28,5.78,12.74,6.04,8.43,1,6.28,5.62,12.74,5.95,6.82
GASS,2009-05-14,N,5.6,4.99,4.99,4.05,-27.67,4.57,-18.39,1,4.99,4.05,-27.67,4.25,-24.1
GASS,2009-08-20,N,4.95,5.29,5.29,4.88,6.86,4.97,0.4,1,5.29,4.86,6.86,5.0,1.01
GASS,2009-11-17,Y,6.4,6.33,6.39,6.06,-5.31,6.23,-2.65,3,6.39,5.65,-11.71,5.8,-9.37
GASS,2010-03-22,Y,5.12,5.03,5.12,5.01,-2.14,5.12,,25,5.13,4.53,-11.52,4.8,-6.25
GASS,2010-05-12,Y,5.5,5.38,5.5,5.29,-3.81,5.39,-2.0,9,5.5,4.78,-13.09,4.88,-11.09
GASS,2010-08-23,N,4.83,4.83,4.99,4.8,3.31,4.88,1.03,25,5.03,4.34,-10.14,4.55,-5.79
GASS,2010-11-16,N,5.09,5.01,5.01,4.73,-7.07,4.96,-2.55,3,5.01,4.73,-7.07,4.9,-3.73
GASS,2011-02-23,N,6.56,6.7,7.25,6.7,10.51,6.85,4.42,23,7.25,5.5,-16.15,5.93,-9.6
GASS,2011-08-25,N,4.17,4.18,4.22,3.87,-7.19,4.04,-3.11,22,4.38,3.87,-7.19,4.19,0.47
GASS,2011-11-16,N,3.97,3.87,4.04,3.78,-4.78,3.95,-0.5,2,4.04,3.77,-5.03,3.98,0.25
GASS,2012-02-23,N,4.63,4.68,4.75,4.51,-2.8,4.55,-1.93,22,5.9,4.51,27.15,5.9,27.15
GASS,2012-05-22,Y,5.99,6.15,6.15,5.85,2.67,5.89,-1.66,24,6.15,5.17,-13.68,5.57,-7.01
GASS,2012-08-17,N,6.05,6.12,6.29,6.03,3.96,6.07,0.33,0,6.29,6.03,3.96,6.07,0.33
GASS,2012-11-26,Y,7.55,7.42,7.42,6.95,-7.94,7.22,-4.37,25,8.4,6.95,11.25,8.23,9.0
GASS,2013-02-21,N,9.73,9.85,10.18,9.52,4.62,10.08,3.59,22,11.8,9.4,21.27,11.59,19.11
GASS,2013-05-23,Y,9.89,9.88,9.88,9.61,-2.83,9.69,-1.92,29,11.49,9.61,16.17,10.4,5.15
GASS,2013-08-20,N,9.5,9.34,9.35,5.34,-43.78,8.57,-9.78,31,9.38,5.34,-43.78,9.25,-2.63
GASS,2013-11-22,N,12.27,12.0,12.11,11.52,-6.11,11.83,-3.58,28,12.52,9.8,-20.13,10.02,-18.25
GASS,2014-02-20,N,10.31,10.37,10.44,10.06,-2.42,10.13,-1.74,1,10.44,10.0,-3.0,10.11,-1.93
GASS,2014-05-22,N,9.94,10.45,10.5,10.24,5.52,10.39,4.42,29,11.24,10.01,12.96,11.15,12.06
GASS,2014-08-28,N,9.67,9.61,10.24,9.55,5.89,9.73,0.62,22,10.24,8.88,-8.16,9.72,0.51
GASS,2014-11-21,N,7.58,7.49,7.83,7.36,3.29,7.56,-0.26,1,7.83,7.21,-4.88,7.61,0.39
GASS,2015-02-26,N,6.05,6.05,6.17,5.71,-5.61,6.05,,22,6.62,5.67,9.42,6.61,9.25
GASS,2015-05-26,N,6.57,6.5,6.72,6.4,-2.58,6.67,1.52,24,7.0,6.4,6.54,6.56,-0.15
GASS,2015-08-27,N,4.37,4.36,4.68,4.3,7.09,4.68,7.09,22,5.01,4.26,14.64,4.38,0.45
GASS,2015-11-24,N,3.79,4.34,4.34,3.83,14.51,3.93,3.69,24,4.34,2.97,-21.63,3.1,-18.2
GASS,2016-02-25,N,3.06,3.0,3.22,2.97,5.22,3.11,1.63,22,3.69,2.93,20.58,3.42,11.76
GASS,2016-05-25,N,5.05,5.05,5.07,4.93,-2.37,5.0,-0.99,23,5.07,4.05,-19.8,4.61,-8.71
GASS,2016-08-25,N,3.32,3.5,3.5,3.28,5.42,3.35,0.9,22,3.92,3.28,18.07,3.3,-0.6
GASS,2016-11-29,N,3.4,3.75,3.75,3.45,10.29,3.46,1.76,17,4.0,3.0,17.64,4.0,17.64
GASS,2017-02-23,N,4.09,4.25,4.25,4.11,3.65,4.18,1.95,22,4.78,3.86,16.58,4.13,0.97
GASS,2017-05-23,N,3.19,3.23,3.25,3.14,1.88,3.14,-1.56,25,3.55,3.0,11.28,3.07,-3.76
GASS,2017-08-24,N,3.17,3.25,3.43,3.15,8.2,3.2,0.94,23,3.43,3.0,8.2,3.29,3.78
GASS,2017-11-22,N,3.71,3.8,4.28,3.6,15.36,4.07,9.7,24,4.44,3.6,19.67,3.96,6.73
GASS,2018-02-22,N,4.44,4.0,4.46,4.0,-9.9,4.37,-1.57,23,4.5,4.0,-9.9,4.21,-5.18
GASS,2018-05-24,N,4.06,4.01,4.09,3.97,-2.21,4.01,-1.23,23,4.18,3.79,-6.65,3.79,-6.65
GASS,2018-08-23,N,3.55,3.84,3.84,3.57,8.16,3.59,1.12,30,3.84,3.38,8.16,3.6,1.4
GASS,2018-11-23,N,3.32,3.32,3.52,3.24,6.02,3.52,6.02,30,3.69,2.8,-15.66,2.8,-15.66
GASS,2019-02-21,N,3.44,3.31,3.35,3.16,-8.13,3.3,-4.06,23,3.4,3.02,-12.2,3.06,-11.04
GASS,2019-05-23,N,3.15,3.2,3.35,3.17,6.34,3.26,3.49,30,3.48,3.17,10.47,3.22,2.22
GASS,2019-08-22,N,3.32,3.2,3.5,3.2,5.42,3.5,5.42,30,3.5,3.02,-9.03,3.07,-7.53
GASS,2020-02-21,N,2.9,2.92,2.94,2.88,1.37,2.91,0.34,1,2.94,2.88,1.37,2.91,0.34
GASS,2020-05-26,N,2.54,2.64,2.88,2.51,13.38,2.58,1.57,28,3.07,2.36,20.86,2.65,4.33
GASS,2020-08-21,N,2.58,2.73,3.18,2.68,23.25,2.84,10.07,1,3.18,2.68,23.25,2.84,10.07
GASS,2020-11-19,N,2.45,2.49,2.57,2.42,4.89,2.5,2.04,2,2.6,2.42,6.12,2.46,0.4
GASS,2020-11-25,N,2.49,2.5,2.5,2.27,-8.83,2.31,-7.22,24,2.52,2.06,-17.26,2.06,-17.26
GASS,2021-02-25,N,3.12,3.18,3.18,2.8,-10.25,2.94,-5.76,23,3.18,2.62,-16.02,2.98,-4.48
