Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GBLI,2004-02-18,Y,38.72,38.42,38.76,38.4,-0.82,38.47,-0.61,2,38.76,35.92,-7.23,37.24,-3.82
GBLI,2004-05-04,Y,34.52,34.65,34.65,33.84,-1.96,34.15,-1.04,17,34.65,29.64,-14.13,33.0,-4.4
GBLI,2004-08-03,Y,29.24,29.2,30.1,28.4,2.94,30.1,2.94,17,31.9,27.88,9.09,29.1,-0.47
GBLI,2004-11-03,Y,31.0,31.3,31.58,31.22,1.87,31.58,1.87,16,34.88,31.22,12.51,34.02,9.74
GBLI,2005-02-16,Y,36.79,37.36,37.72,35.2,-4.34,36.9,0.27,2,37.72,35.2,-4.34,36.5,-0.81
GBLI,2005-05-05,Y,35.9,36.08,36.2,35.29,-1.69,35.38,-1.44,15,36.2,32.82,-8.57,33.47,-6.74
GBLI,2005-08-02,Y,38.79,40.32,40.44,38.0,4.22,38.5,-0.77,17,40.44,35.46,-8.6,35.97,-7.26
GBLI,2005-11-02,Y,37.7,37.94,37.94,37.4,-0.79,37.44,-0.68,16,39.0,36.64,3.44,38.22,1.37
GBLI,2006-02-16,N,42.8,44.58,44.9,43.92,4.9,44.0,2.8,1,44.9,43.44,4.9,43.54,1.72
GBLI,2006-04-27,Y,48.8,48.64,48.96,46.86,-3.97,47.5,-2.66,22,49.31,45.1,-7.58,45.1,-7.58
GBLI,2006-07-26,Y,38.36,39.14,40.4,39.08,5.31,40.4,5.31,23,44.0,39.08,14.7,43.04,12.2
GBLI,2006-10-25,Y,41.86,42.3,44.5,42.3,6.3,44.18,5.54,23,50.56,42.3,20.78,49.82,19.01
GBLI,2007-02-08,Y,47.0,47.74,48.78,47.04,3.78,47.44,0.93,8,48.78,46.88,3.78,47.14,0.29
GBLI,2007-04-25,Y,50.4,50.16,50.94,50.16,1.07,50.32,-0.15,23,52.97,49.2,5.09,50.74,0.67
GBLI,2007-07-25,Y,44.98,44.76,45.48,42.04,-6.53,42.96,-4.49,23,45.48,36.61,-18.6,42.6,-5.29
GBLI,2007-10-24,Y,44.12,44.44,44.88,42.52,-3.62,43.22,-2.03,23,45.92,40.0,-9.33,42.16,-4.44
GBLI,2008-02-11,Y,39.52,40.61,42.88,39.5,8.5,39.72,0.5,4,42.88,37.74,8.5,39.1,-1.06
GBLI,2008-04-28,Y,39.14,36.88,36.88,31.7,-19.0,33.1,-15.43,18,36.88,27.42,-29.94,28.0,-28.46
GBLI,2008-07-28,Y,27.98,27.12,27.2,23.92,-14.51,24.26,-13.29,18,30.88,23.5,-16.01,30.38,8.57
GBLI,2008-10-30,Y,23.02,18.52,25.4,18.39,-20.11,23.96,4.08,22,26.74,16.92,-26.49,22.74,-1.21
GBLI,2009-02-17,N,21.0,21.18,21.24,18.82,-10.38,20.38,-2.95,3,21.24,16.54,-21.23,17.73,-15.52
GBLI,2009-05-06,Y,11.68,12.12,12.94,9.86,-15.58,10.82,-7.36,9,12.94,8.16,-30.13,8.5,-27.22
GBLI,2009-08-04,Y,10.7,11.26,11.5,11.02,7.47,11.1,3.73,17,14.18,10.72,32.52,12.7,18.69
GBLI,2009-10-22,Y,14.54,16.48,17.82,14.82,22.55,14.96,2.88,29,17.82,13.3,22.55,14.02,-3.57
GBLI,2010-02-16,Y,15.1,15.4,15.7,14.26,-5.56,14.42,-4.5,3,16.18,14.02,7.15,16.04,6.22
GBLI,2010-05-03,Y,19.94,19.55,19.55,16.52,-17.15,16.88,-15.34,18,19.55,15.02,-24.67,15.42,-22.66
GBLI,2010-08-03,Y,15.15,15.17,15.33,14.9,-1.65,15.32,1.12,17,15.9,14.2,-6.27,15.4,1.65
GBLI,2010-11-09,Y,18.29,18.45,19.23,17.88,5.13,19.0,3.88,10,19.53,17.88,6.77,19.19,4.92
GBLI,2011-02-16,Y,20.07,20.25,21.5,20.25,7.12,21.49,7.07,2,21.97,20.25,9.46,21.82,8.71
GBLI,2011-05-05,Y,24.65,24.91,24.95,24.54,1.21,24.62,-0.12,15,24.95,22.76,-7.66,23.01,-6.65
GBLI,2011-08-03,Y,21.14,20.97,21.47,20.48,-3.12,20.48,-3.12,16,21.47,16.59,-21.52,17.7,-16.27
GBLI,2011-11-07,Y,19.7,19.8,19.86,17.89,-9.18,18.72,-4.97,11,19.86,17.64,-10.45,18.71,-5.02
GBLI,2012-02-13,Y,20.9,20.64,20.98,19.79,-5.31,20.14,-3.63,4,20.98,19.32,-7.55,20.18,-3.44
GBLI,2012-05-02,Y,18.05,18.5,19.01,18.5,5.31,18.62,3.15,16,21.23,18.32,17.61,20.94,16.01
GBLI,2012-08-07,Y,19.32,19.26,20.05,19.01,3.72,19.68,1.81,10,20.05,19.0,3.72,19.48,0.82
GBLI,2012-11-07,Y,21.81,21.9,22.23,21.9,1.92,21.93,0.55,9,22.32,21.34,2.33,21.75,-0.27
GBLI,2013-02-25,Y,21.01,21.12,23.89,21.12,13.7,23.38,11.28,18,23.89,21.12,13.7,23.28,10.8
GBLI,2013-05-07,Y,22.81,22.85,22.93,22.53,-1.22,22.73,-0.35,10,23.5,22.25,3.02,23.3,2.14
GBLI,2013-08-07,N,25.4,25.62,25.89,25.08,1.92,25.68,1.1,9,26.88,25.08,5.82,25.16,-0.94
GBLI,2013-11-06,N,24.36,24.54,25.39,24.54,4.22,24.99,2.58,9,25.39,24.54,4.22,24.7,1.39
GBLI,2014-02-20,Y,23.89,25.48,26.17,24.3,9.54,25.82,8.07,1,26.17,24.3,9.54,25.82,8.07
GBLI,2014-05-05,Y,26.33,26.39,26.39,25.09,-4.7,25.63,-2.65,11,27.42,25.09,-4.7,25.96,-1.4
GBLI,2014-08-06,Y,25.76,26.1,26.1,24.9,-3.33,24.91,-3.29,9,26.1,24.77,-3.84,25.45,-1.2
