Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GCO,2012-11-22,Y,58.41,59.37,62.2,58.06,6.48,59.68,2.17,29,62.2,50.33,-13.83,53.78,-7.92
GCO,2012-11-30,Y,55.33,55.33,55.62,53.5,-3.3,54.25,-1.95,21,55.94,50.33,-9.03,53.78,-2.8
GCO,2013-03-08,N,61.17,61.41,62.52,60.04,2.2,60.43,-1.2,7,63.43,59.61,3.69,62.25,1.76
GCO,2013-05-31,N,69.06,69.45,69.84,67.58,-2.15,67.58,-2.15,21,71.83,66.51,3.99,66.73,-3.38
GCO,2013-08-29,N,69.55,61.5,64.89,60.03,-13.68,63.24,-9.07,22,65.73,60.03,-13.68,64.73,-6.91
GCO,2013-12-06,N,71.37,73.27,79.31,68.63,11.12,69.39,-2.77,14,79.31,68.63,11.12,73.13,2.46
GCO,2014-03-13,N,72.95,72.44,74.05,70.77,-2.98,73.51,0.76,8,80.52,70.77,10.37,78.79,8.0
GCO,2014-05-30,N,71.01,73.04,76.81,73.04,8.16,74.89,5.46,21,81.88,72.26,15.3,80.83,13.82
GCO,2014-08-28,N,88.67,80.5,83.77,79.67,-10.14,81.94,-7.58,22,83.77,77.08,-13.07,78.61,-11.34
GCO,2014-12-05,N,80.62,72.56,75.68,69.52,-13.76,69.98,-13.18,15,76.73,69.52,-13.76,74.17,-8.0
GCO,2015-03-12,N,73.28,69.33,69.33,66.34,-9.47,67.56,-7.79,8,70.34,65.59,-10.49,69.91,-4.59
GCO,2015-05-29,N,67.79,62.31,66.98,61.07,-9.91,66.19,-2.36,21,68.5,61.07,-9.91,67.37,-0.61
GCO,2015-09-03,N,58.7,64.01,65.78,61.75,12.06,62.71,6.83,15,65.78,56.87,12.06,57.7,-1.7
GCO,2015-12-04,N,52.24,51.65,58.08,50.64,11.17,57.6,10.26,14,58.98,50.64,12.9,54.98,5.24
GCO,2016-03-11,N,67.7,63.42,67.2,63.04,-6.88,65.29,-3.55,7,71.28,63.04,-6.88,70.91,4.74
GCO,2016-05-26,N,58.88,65.66,69.89,63.34,18.69,64.26,9.13,22,69.89,63.34,18.69,66.14,12.33
GCO,2016-09-01,N,72.64,56.25,57.98,48.43,-33.32,48.79,-32.83,15,57.98,47.66,-34.38,50.36,-30.67
GCO,2016-12-02,N,63.25,62.85,68.34,62.15,8.04,65.0,2.76,14,72.0,62.15,13.83,65.5,3.55
GCO,2017-03-10,N,56.4,61.0,63.5,60.3,12.58,61.3,8.68,7,63.5,57.5,12.58,59.15,4.87
GCO,2017-05-25,N,44.55,38.15,38.2,33.54,-24.71,34.4,-22.78,23,38.2,33.55,-24.69,34.6,-22.33
GCO,2017-08-31,N,25.5,23.95,25.15,20.9,-18.03,21.15,-17.05,16,26.45,20.9,-18.03,26.25,2.94
GCO,2017-12-01,N,31.1,25.5,26.0,24.5,-21.22,25.55,-17.84,15,31.3,24.5,-21.22,31.05,-0.16
GCO,2018-03-15,N,40.5,38.9,41.28,38.0,-6.17,38.95,-3.82,2,41.27,36.6,-9.62,39.85,-1.6
GCO,2018-06-05,N,45.0,44.55,44.55,37.92,-15.73,40.95,-8.99,11,44.55,37.92,-15.73,40.5,-10.0
GCO,2018-09-07,N,47.0,50.1,50.25,43.9,6.91,47.5,1.06,15,50.25,43.9,6.91,47.05,0.1
GCO,2018-12-06,N,42.91,41.65,44.05,37.51,-12.58,43.93,2.37,17,46.54,37.51,-12.58,41.31,-3.72
GCO,2019-03-14,N,46.51,45.06,46.4,42.93,-7.69,43.13,-7.26,2,46.4,41.83,-10.06,41.9,-9.91
GCO,2019-05-31,N,40.26,45.79,47.85,44.78,18.85,44.98,11.72,22,48.07,41.56,19.39,44.45,10.4
GCO,2019-09-06,N,35.35,40.77,42.3,35.92,19.66,36.14,2.23,15,44.28,35.92,25.26,39.05,10.46
GCO,2019-12-06,N,36.91,42.33,49.69,42.27,34.62,48.82,32.26,15,53.2,42.27,44.13,48.82,32.26
GCO,2020-03-12,N,24.11,22.64,25.45,21.11,-12.44,22.14,-8.17,9,25.45,5.51,-77.14,11.73,-51.34
GCO,2020-06-09,N,28.05,25.25,29.72,23.76,-15.29,27.38,-2.38,11,29.72,20.1,-28.34,20.47,-27.02
GCO,2020-09-03,N,21.86,22.29,24.96,22.1,14.18,22.69,3.79,16,27.31,19.4,24.93,26.17,19.71
GCO,2020-12-04,N,30.75,33.04,33.7,30.49,9.59,32.1,4.39,15,34.31,27.81,11.57,27.84,-9.46
GCO,2021-03-11,N,50.87,51.72,52.37,48.31,-5.03,49.91,-1.88,9,52.37,44.06,-13.38,46.91,-7.78
GCO,2021-05-27,N,58.32,60.37,60.37,54.06,-7.3,56.63,-2.89,23,63.29,53.61,8.52,55.18,-5.38
GCO,2021-09-02,N,62.94,61.98,62.02,56.8,-9.75,57.75,-8.24,16,62.02,54.82,-12.9,58.98,-6.29
GCO,2021-12-03,N,63.76,66.73,67.5,64.04,5.86,65.57,2.83,15,67.94,57.25,-10.21,59.42,-6.8
GCO,2022-03-10,N,63.06,65.5,71.74,65.0,13.76,70.49,11.78,9,72.34,65.0,14.71,71.2,12.9
GCO,2022-05-26,N,54.93,57.53,61.27,56.13,11.54,59.33,8.01,23,61.27,51.74,11.54,53.34,-2.89
GCO,2022-09-01,N,56.58,51.33,52.09,45.96,-18.76,46.16,-18.41,16,52.09,42.71,-24.51,44.87,-20.69
GCO,2022-12-02,N,48.41,46.34,47.54,43.57,-9.99,45.61,-5.78,15,47.54,40.79,-15.74,40.83,-15.65
