Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GDEN,2015-11-04,Y,9.44,9.5,9.9,9.5,4.87,9.75,3.28,16,10.35,9.5,9.63,10.3,9.11
GDEN,2016-03-09,Y,10.3,10.45,10.45,10.1,-1.94,10.25,-0.48,9,10.62,10.1,3.1,10.45,1.45
GDEN,2016-05-05,Y,12.68,12.2,12.65,11.96,-5.67,12.3,-2.99,15,12.97,11.7,-7.72,12.09,-4.65
GDEN,2016-08-03,Y,13.4,13.35,13.35,13.01,-2.91,13.17,-1.71,16,13.66,12.39,-7.53,12.41,-7.38
GDEN,2016-11-03,Y,10.87,9.6,10.52,8.65,-20.42,10.51,-3.31,15,12.3,8.65,-20.42,12.27,12.87
GDEN,2017-03-13,Y,13.08,13.09,13.61,12.38,-5.35,13.25,1.29,4,14.31,12.38,9.4,13.99,6.95
GDEN,2017-05-09,Y,15.18,15.2,16.67,15.2,9.81,16.23,6.98,10,18.03,15.2,18.77,16.11,6.12
GDEN,2017-08-04,N,20.13,19.44,21.5,19.41,6.8,20.95,4.07,15,22.28,19.41,10.68,21.99,9.23
GDEN,2017-11-08,Y,28.79,28.8,31.59,28.01,9.72,30.91,7.36,9,31.84,28.01,10.59,30.9,7.32
GDEN,2018-03-15,Y,29.21,28.0,29.5,27.95,-4.31,28.43,-2.67,1,29.5,27.95,-4.31,28.43,-2.67
GDEN,2018-05-09,Y,27.61,27.52,29.97,26.89,8.54,29.0,5.03,9,31.05,26.89,12.45,30.9,11.91
GDEN,2018-08-08,Y,28.51,28.57,28.64,25.57,-10.31,25.69,-9.89,9,28.64,25.14,-11.82,26.61,-6.66
GDEN,2018-11-08,Y,17.69,17.35,17.66,13.25,-25.09,14.44,-18.37,8,17.66,13.25,-25.09,16.03,-9.38
GDEN,2019-03-14,Y,16.45,16.06,16.06,13.0,-20.97,13.0,-20.97,1,16.06,13.0,-20.97,13.0,-20.97
GDEN,2019-05-09,Y,14.49,14.46,15.4,14.19,6.28,14.7,1.44,8,15.4,13.7,6.28,13.75,-5.1
GDEN,2020-03-12,Y,7.89,9.8,10.0,6.74,26.74,8.86,12.29,8,10.0,3.75,-52.47,3.78,-52.09
GDEN,2020-05-07,Y,7.86,8.0,9.2,7.76,17.04,8.79,11.83,8,9.2,7.11,17.04,8.23,4.7
GDEN,2020-08-06,Y,10.49,9.98,11.56,9.98,10.2,10.72,2.19,15,12.78,9.98,21.83,12.04,14.77
GDEN,2020-11-05,N,15.65,16.11,17.38,15.73,11.05,16.0,2.23,16,19.81,14.62,26.58,16.28,4.02
GDEN,2021-03-11,Y,26.06,26.13,29.11,26.13,11.7,29.0,11.28,8,30.89,26.13,18.53,27.92,7.13
GDEN,2021-05-06,Y,35.75,40.28,42.97,38.51,20.19,41.91,17.23,15,44.28,37.19,23.86,40.7,13.84
GDEN,2021-08-05,Y,47.25,50.42,54.86,49.48,16.1,51.5,8.99,15,54.86,42.77,16.1,45.39,-3.93
GDEN,2021-11-03,Y,53.0,53.0,53.0,48.72,-8.07,50.24,-5.2,16,53.0,48.58,-8.33,50.13,-5.41
GDEN,2022-02-17,Y,56.85,56.6,56.6,51.75,-8.97,52.15,-8.26,1,56.6,51.75,-8.97,52.15,-8.26
GDEN,2022-05-05,Y,45.93,48.09,48.99,45.39,6.66,46.1,0.37,15,48.99,41.1,-10.51,42.5,-7.46
GDEN,2022-08-04,Y,45.37,43.29,44.28,40.4,-10.95,41.11,-9.38,15,44.28,40.4,-10.95,40.99,-9.65
