Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GIII,2002-03-20,N,4.9,4.76,5.27,4.76,7.55,5.27,7.55,30,5.56,4.47,13.46,5.4,10.2
GIII,2002-05-30,Y,5.6,5.53,5.54,5.53,-1.24,5.54,-1.07,22,5.54,4.8,-14.28,5.34,-4.64
GIII,2002-09-05,Y,4.4,4.2,4.4,4.0,-9.09,4.26,-2.95,15,4.93,4.0,12.04,4.05,-7.72
GIII,2002-12-11,Y,4.78,4.17,4.5,3.89,-18.61,4.17,-12.76,9,4.5,3.88,-18.82,4.07,-14.85
GIII,2003-03-20,N,3.17,3.15,3.33,3.15,5.04,3.33,5.04,1,3.72,3.15,17.35,3.64,14.82
GIII,2003-05-29,Y,4.0,4.66,5.0,4.2,25.0,4.97,24.24,22,5.5,4.2,37.5,5.3,32.49
GIII,2003-09-04,Y,5.33,7.9,8.0,6.5,50.09,6.83,28.14,15,8.0,5.65,50.09,6.63,24.39
GIII,2003-12-04,Y,6.33,7.16,7.16,6.22,13.11,6.28,-0.78,15,7.16,5.61,13.11,6.19,-2.21
GIII,2004-03-30,Y,6.61,5.95,6.08,4.8,-27.23,5.17,-21.78,17,6.08,4.8,-27.23,5.4,-18.3
GIII,2004-06-03,Y,6.06,5.68,5.68,4.88,-19.47,5.16,-14.85,15,5.68,4.86,-19.8,5.23,-13.69
GIII,2004-09-09,Y,4.2,4.2,4.2,4.03,-4.04,4.17,-0.71,8,4.33,4.0,-4.76,4.11,-2.14
GIII,2004-12-07,Y,3.97,3.87,4.37,3.83,10.07,4.18,5.28,10,4.61,3.83,16.12,4.37,10.07
GIII,2005-03-17,Y,4.99,4.93,5.26,4.87,5.41,4.87,-2.4,1,5.26,4.87,5.41,4.87,-2.4
GIII,2005-06-08,Y,4.9,4.88,5.33,4.88,8.77,5.33,8.77,9,6.0,4.88,22.44,5.62,14.69
GIII,2005-09-08,Y,6.67,6.54,7.29,6.54,9.29,7.23,8.39,8,7.3,6.54,9.44,7.21,8.09
GIII,2005-12-06,N,7.09,7.8,7.8,6.33,-10.71,7.1,0.14,10,7.8,6.33,-10.71,7.32,3.24
GIII,2006-03-30,Y,11.95,11.8,11.8,10.02,-16.15,11.07,-7.36,22,11.97,9.5,-20.5,9.86,-17.48
GIII,2006-06-06,N,9.41,9.25,9.25,7.93,-15.72,8.32,-11.58,10,9.25,7.91,-15.94,8.94,-4.88
GIII,2006-09-07,Y,9.86,9.86,10.39,9.86,5.37,10.36,5.07,8,11.98,9.65,21.5,11.03,11.86
GIII,2006-12-06,Y,18.45,22.0,22.5,20.56,21.95,20.94,13.49,9,22.5,20.22,21.95,21.58,16.96
GIII,2007-03-22,Y,19.87,20.1,20.74,20.0,4.37,20.01,0.7,29,20.74,17.17,-13.58,18.37,-7.54
GIII,2007-06-06,Y,20.7,19.41,19.44,17.16,-17.1,18.05,-12.75,9,19.44,17.12,-17.29,17.17,-17.05
GIII,2007-09-10,Y,17.11,18.85,20.65,18.62,20.68,19.97,16.71,11,20.96,18.62,22.5,20.3,18.64
GIII,2007-12-05,Y,14.86,13.89,14.3,13.6,-8.47,14.04,-5.51,16,17.28,12.89,16.28,15.74,5.92
GIII,2008-03-31,Y,13.42,13.95,14.04,12.69,-5.43,13.46,0.29,18,14.22,12.61,-6.03,14.0,4.32
GIII,2008-06-05,Y,16.66,16.17,16.95,15.17,-8.94,15.42,-7.44,15,16.95,13.04,-21.72,13.38,-19.68
GIII,2008-09-09,Y,18.0,18.01,20.3,18.0,12.77,20.1,11.66,10,23.0,18.0,27.77,19.89,10.55
GIII,2008-12-09,Y,5.65,5.66,6.33,5.66,12.03,6.0,6.19,10,7.33,4.76,29.73,6.52,15.39
GIII,2009-03-31,Y,5.52,5.46,5.93,4.8,-13.04,5.88,6.52,17,6.91,4.8,25.18,5.95,7.78
GIII,2009-06-03,Y,8.44,9.77,10.47,9.16,24.05,10.37,22.86,16,11.99,9.16,42.06,11.26,33.41
GIII,2009-09-03,Y,15.93,15.9,15.9,14.2,-10.86,14.44,-9.35,15,15.9,12.83,-19.46,13.83,-13.18
GIII,2009-12-02,N,17.5,19.13,19.51,18.12,11.48,18.53,5.88,16,22.25,18.12,27.14,19.01,8.62
GIII,2010-03-25,N,23.22,25.07,27.17,25.07,17.01,25.83,11.24,22,28.9,25.07,24.46,28.72,23.68
GIII,2010-06-07,N,27.6,28.4,29.0,26.17,-5.18,26.24,-4.92,11,29.0,24.0,-13.04,26.58,-3.69
GIII,2010-09-01,N,24.14,28.56,29.03,27.03,20.25,28.01,16.03,16,32.35,27.03,34.0,31.4,30.07
GIII,2010-12-08,N,30.9,31.25,31.75,28.49,-7.79,31.61,2.29,9,35.6,28.49,15.21,34.52,11.71
GIII,2011-03-22,Y,35.44,36.5,36.6,34.15,-3.63,34.39,-2.96,24,39.21,33.34,10.63,39.0,10.04
GIII,2011-06-06,Y,38.47,35.0,35.25,31.85,-17.2,33.97,-11.67,11,35.25,31.85,-17.2,34.19,-11.12
GIII,2011-09-07,Y,28.66,24.26,25.2,23.1,-19.39,23.82,-16.88,9,25.2,20.44,-28.68,24.15,-15.73
GIII,2011-12-07,Y,20.36,24.01,25.33,22.66,24.41,24.02,17.97,9,25.64,22.66,25.93,24.15,18.61
GIII,2012-03-22,N,26.61,26.59,29.14,25.59,9.5,28.36,6.57,29,29.62,25.59,11.31,28.69,7.81
GIII,2012-06-05,N,24.0,23.73,24.99,22.94,-4.41,24.93,3.87,10,25.79,22.44,7.45,23.4,-2.5
GIII,2012-09-05,N,32.88,35.0,36.47,34.24,10.91,36.17,10.0,16,37.92,34.24,15.32,36.02,9.54
GIII,2012-12-05,N,36.96,37.22,38.15,35.58,-3.73,36.17,-2.13,16,38.15,31.52,-14.71,34.19,-7.49
GIII,2013-04-02,Y,39.34,39.13,39.13,37.0,-5.94,37.72,-4.09,17,40.5,37.0,-5.94,37.34,-5.08
GIII,2013-06-03,Y,42.74,46.48,51.97,46.22,21.59,51.81,21.22,18,52.26,45.37,22.27,46.87,9.66
GIII,2013-09-04,N,47.01,49.25,54.0,49.25,14.86,54.0,14.86,16,55.42,49.25,17.88,55.21,17.44
GIII,2013-12-04,N,58.29,63.7,66.34,63.08,13.81,66.05,13.31,16,69.34,63.08,18.95,69.18,18.68
GIII,2014-03-25,N,74.46,68.82,72.32,67.66,-9.13,71.79,-3.58,26,75.69,67.66,-9.13,72.79,-2.24
GIII,2014-06-03,N,75.92,79.08,83.31,76.71,9.73,82.54,8.71,19,83.75,76.71,10.31,80.59,6.15
GIII,2014-09-03,N,84.18,86.5,92.0,86.15,9.28,88.0,4.53,18,92.0,82.56,9.28,86.07,2.24
GIII,2014-12-03,N,84.36,90.1,98.09,89.7,16.27,96.78,14.72,18,98.36,89.7,16.59,97.04,15.03
GIII,2015-03-24,N,112.83,115.28,115.28,109.1,-3.3,112.92,0.07,25,120.32,108.05,6.63,116.07,2.87
GIII,2015-06-02,Y,60.09,64.38,67.34,63.5,12.06,67.15,11.74,17,69.86,63.5,16.25,69.17,15.11
GIII,2015-09-02,Y,67.86,69.62,71.1,68.52,4.77,70.03,3.19,16,71.18,65.81,4.89,67.36,-0.73
GIII,2015-12-02,N,47.39,50.59,53.43,48.65,12.74,52.02,9.76,17,53.43,45.23,12.74,45.26,-4.49
GIII,2016-03-22,N,55.23,42.04,46.99,41.14,-25.51,44.52,-19.39,25,49.9,41.14,-25.51,46.26,-16.24
GIII,2016-06-01,N,39.12,41.96,43.43,38.15,11.01,39.39,0.69,17,44.8,38.15,14.51,44.21,13.01
GIII,2016-08-30,N,41.77,33.39,36.32,32.22,-22.86,33.14,-20.66,18,36.32,28.77,-31.12,29.47,-29.44
GIII,2016-12-01,N,27.16,27.6,28.23,26.57,3.93,26.88,-1.03,16,32.59,24.41,19.99,30.44,12.07
GIII,2017-03-27,N,22.92,20.25,20.75,19.11,-16.62,19.69,-14.09,28,24.93,19.11,-16.62,23.59,2.92
GIII,2017-06-06,N,19.89,25.6,25.79,22.19,29.66,22.92,15.23,11,26.66,22.19,34.03,25.3,27.19
GIII,2017-09-06,N,27.54,29.3,31.19,28.2,13.25,30.29,9.98,10,31.19,28.2,13.25,30.0,8.93
GIII,2017-12-05,N,30.14,33.16,35.03,32.5,16.22,34.3,13.8,11,35.95,32.5,19.27,33.83,12.24
GIII,2018-03-22,N,37.51,35.0,35.8,32.06,-14.52,33.01,-11.99,30,40.48,32.06,-14.52,35.04,-6.58
GIII,2018-06-05,N,42.88,50.0,51.2,45.71,19.4,47.53,10.84,11,51.2,45.71,19.4,47.05,9.72
GIII,2018-09-06,N,44.06,48.33,50.83,44.29,15.36,46.05,4.51,16,50.83,43.67,15.36,47.5,7.8
GIII,2018-12-06,N,40.76,37.0,37.02,30.36,-25.51,34.91,-14.35,17,37.2,26.57,-34.81,26.65,-34.61
GIII,2019-03-21,N,35.16,38.2,40.53,36.58,15.27,39.07,11.12,29,42.71,36.58,21.47,42.38,20.53
GIII,2019-06-05,N,27.05,26.34,26.5,23.99,-11.31,24.51,-9.39,17,28.08,23.34,-13.71,27.89,3.1
GIII,2019-09-05,N,18.84,21.71,24.14,21.2,28.13,23.84,26.53,16,28.09,21.2,49.09,24.06,27.7
GIII,2019-12-04,N,28.51,25.61,28.05,25.2,-11.6,27.89,-2.17,17,34.08,25.2,19.53,32.5,13.99
GIII,2020-03-19,N,4.5,5.0,7.72,4.89,71.55,7.61,69.11,2,9.03,4.89,100.66,6.06,34.66
GIII,2020-06-04,N,13.43,14.5,15.68,13.49,16.75,15.66,16.6,16,18.61,12.76,38.57,12.99,-3.27
